Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Don Diego,4.294,4.235,4.153,4.182,4.22,4.265,4.065,3.891,3.901,3.913,3.916,3.881,3.83,3.904,4.025,4.079,4.115,4.31,5.191,5.707,5.497,5.058,4.69,4.409,103.729,5.728,19:15,2024-09-01
Don Diego,4.234,4.16,4.092,4.085,4.134,4.275,4.168,4.172,3.956,3.848,4.048,4.094,3.964,3.938,3.973,4.024,4.065,4.211,5.277,5.982,5.815,5.408,4.937,4.606,105.464,6.018,19:45,2024-09-02
Don Diego,4.386,4.209,4.173,4.161,4.215,4.339,4.225,4.086,3.93,3.909,3.967,3.928,3.799,3.77,3.901,4.012,4.09,4.194,5.226,6.078,5.901,5.48,4.992,4.615,105.584,6.089,19:15,2024-09-03
Don Diego,4.33,4.193,4.149,4.154,4.267,4.391,4.269,4.098,4.005,3.992,4.02,4.056,3.945,4.004,4.154,4.251,4.177,4.302,5.262,6.111,5.939,5.401,4.925,4.578,106.972,6.136,19:45,2024-09-04
Don Diego,4.371,4.19,4.118,4.151,4.321,4.52,4.512,4.332,3.869,3.072,3.582,4.253,4.214,4.258,4.249,4.357,4.362,4.555,5.476,6.209,6,5.471,4.937,4.61,107.986,6.245,19:45,2024-09-05
Don Diego,4.418,4.394,4.328,4.328,4.409,4.572,4.463,4.244,4.065,4.1,4.069,4.074,4.102,4.132,4.204,4.384,4.492,4.449,5.36,5.962,5.773,5.349,4.894,4.563,109.125,6.006,19:30,2024-09-06
Don Diego,4.405,4.363,4.306,4.326,4.41,4.581,4.301,4.127,4.031,4.053,3.759,3.596,4.041,4.072,4.187,3.881,3.739,3.937,5.066,5.563,5.441,5.083,4.695,4.408,104.366,5.616,19:30,2024-09-07
Don Diego,4.244,4.186,4.134,4.169,4.188,4.319,4.04,3.87,3.89,3.904,3.893,3.869,3.827,3.889,4.007,4.02,3.828,4.055,4.873,5.451,5.24,4.889,4.487,4.258,101.528,5.504,19:45,2024-09-08
Don Diego,4.119,4.003,3.946,3.947,4.017,4.177,4.138,4.122,3.766,3.68,3.831,3.874,3.864,3.87,3.955,3.87,4.198,4.336,5.253,6.03,5.833,5.345,4.8,4.524,103.494,6.063,20:00,2024-09-09
Don Diego,4.341,4.169,4.133,4.098,4.171,4.172,3.46,2.635,2.384,2.215,2.251,2.221,2.235,2.316,2.389,2.385,2.478,2.552,3.543,4.26,4.167,3.719,3.209,3.804,77.304,4.395,00:15,2024-09-10
