Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
EMDEECRUZ,25.166,19.172,25.004,24.032,28.651,21.366,26.75,27.468,28.827,28.815,29.827,31.091,29.278,28.717,29.587,30.337,19.452,8.712,5.844,5.569,5.401,5.382,5.544,21.428,511.42,32.954,14:45,2024-11-25
EMDEECRUZ,25.433,26.543,26.639,26.728,28.351,29.774,24.538,30.466,26.753,27.743,25.991,28.693,26.861,29.128,28.893,30.975,18.14,8.378,5.769,5.464,5.389,5.323,5.385,21.64,518.994,33.773,07:30,2024-11-26
EMDEECRUZ,24.708,26.58,25.118,24.257,26.252,28.864,31.088,29.211,32.679,32.979,32.171,33.355,30.875,29.889,25.691,28.495,22.751,8.754,5.991,5.829,5.746,5.64,5.794,18.036,540.749,36.732,13:45,2024-11-27
EMDEECRUZ,22.355,23.14,24.152,22.32,26.011,29.691,26.653,30.07,29.818,30.514,30.937,30.088,31.032,32.547,32.435,31.335,25.865,9.839,5.904,5.636,5.557,5.522,5.702,24.143,541.26,34.533,13:45,2024-11-28
EMDEECRUZ,27.254,29.887,19.428,24.325,26.619,30.801,27.238,28.523,24.618,29.827,29.66,30.405,30.092,29.242,29.462,29.954,18.764,8.924,5.783,5.622,5.532,5.451,5.632,16.447,519.488,32.949,12:00,2024-11-29
EMDEECRUZ,23.942,23.499,23.837,24.228,26.615,28.893,29.022,30.954,30.767,31.387,31.4,32.24,31.107,30.901,28.605,19.751,10.476,7.944,4.792,4.748,4.656,4.75,4.851,19.737,509.099,33.447,12:00,2024-11-30
EMDEECRUZ,23.924,18.118,22.913,24.419,26.968,30.547,26.924,29.11,27.975,28.816,26.538,26.86,23.849,28.603,19.762,8.4,4.232,4.128,4.009,4.123,4.245,4.428,4.586,17.901,441.374,32.657,10:00,2024-12-01
EMDEECRUZ,23.624,23.882,23.394,25.59,24.228,25.193,29.033,28.486,30.041,30.208,31.752,28.524,28.731,26.502,30.442,30.038,17.066,7.525,5.628,5.409,5.258,5.278,5.39,21.581,512.799,34.486,11:00,2024-12-02
EMDEECRUZ,25.275,26.764,19.868,20.9,25.757,27.991,28.834,30.255,30.431,30.683,30.233,28.866,29.344,29.013,28.791,31.527,18.498,8.533,5.114,4.997,5.178,5.098,5.205,17.849,515,33.636,15:15,2024-12-03
EMDEECRUZ,25.307,22.133,25.814,23.787,26.223,29.469,28.244,27.189,29.742,33.378,31.785,31.57,33.085,31.553,33.764,32.016,16.129,8.474,5.289,5.109,5.057,5.23,5.434,18.086,533.865,35.336,10:15,2024-12-04
