Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
EMPACAR S.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.2,0.234,0.225,0.183,0.203,1.185,0.312,21:00,2024-11-29
EMPACAR S.A.,0.555,0.669,0.59,0.723,0.77,0.713,0.809,0.883,0.881,0.887,0.887,0.911,0.878,0.852,0.791,0.893,0.837,0.905,0.972,0.946,0.936,0.793,0.902,0.934,19.915,0.973,18:30,2024-11-30
EMPACAR S.A.,0.896,0.952,0.908,0.933,0.892,0.889,0.955,0.951,0.94,0.906,0.964,0.958,0.943,0.918,0.884,0.875,0.936,0.93,0.769,0.627,0.77,0.925,0.915,0.946,21.583,0.976,11:15,2024-12-01
EMPACAR S.A.,0.879,0.797,0.778,0.83,0.853,0.897,0.917,0.944,0.911,0.937,0.849,0.719,0.721,0.705,0.724,0.767,0.656,0.658,0.751,0.816,0.858,0.506,0.77,0.732,18.976,0.958,07:45,2024-12-02
EMPACAR S.A.,0.632,0.714,0.786,0.808,0.803,0.851,0.787,0.762,0.848,0.806,0.876,0.886,0.504,0.336,0.447,0.447,0.5,0.595,0.668,0.534,0.56,0.655,0.773,0.785,16.362,0.943,05:30,2024-12-03
EMPACAR S.A.,0.883,0.894,0.882,0.876,0.853,0.779,0.836,0.874,0.736,0.765,0.816,0.888,0.881,0.861,0.833,0.831,0.865,0.864,0.867,0.878,0.856,0.787,0.803,0.861,20.269,0.913,05:00,2024-12-04
EMPACAR S.A.,0.78,0.874,0.873,0.858,0.86,0.822,0.829,0.846,0.788,0.85,0.793,0.852,0.856,0.794,0.854,0.814,0.78,0.836,0.864,0.821,0.757,0.842,0.845,0.845,19.932,0.891,04:30,2024-12-05
EMPACAR S.A.,0.825,0.847,0.87,0.841,0.826,0.807,0.859,0.772,0.794,0.867,0.852,0.826,0.752,0.686,0.673,0.663,0.724,0.682,0.684,0.698,0.723,0.826,0.776,0.851,18.723,0.879,24:00,2024-12-06
EMPACAR S.A.,0.834,0.774,0.859,0.841,0.829,0.863,0.859,0.849,0.785,0.902,0.914,0.911,0.892,0.905,0.902,0.891,0.899,0.903,0.903,0.877,0.905,0.909,0.901,0.874,20.985,0.927,11:00,2024-12-07
EMPACAR S.A.,0.897,0.858,0.703,0.843,0.906,0.897,0.887,0.899,0.882,0.92,0.904,0.901,0.869,0.913,0.916,0.924,0.915,0.859,0.932,0.923,0.923,0.913,0.917,0.927,21.427,0.942,23:30,2024-12-08
