Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
EMVINTO - COMIBOL,4.719,4.693,4.731,4.769,4.669,4.579,4.48,4.578,4.576,4.544,4.563,4.633,4.569,4.462,4.423,4.555,4.567,4.598,4.625,4.613,4.568,4.633,4.569,4.646,110.362,4.8,03:45,2024-11-25
EMVINTO - COMIBOL,4.659,4.616,4.67,5.064,5.184,5.111,5.182,5.286,5.257,5.247,5.158,5.119,5.236,5.295,5.287,5.231,5.17,5.314,5.246,5.209,5.352,5.322,5.344,5.328,123.887,5.423,21:00,2024-11-26
EMVINTO - COMIBOL,5.213,5.233,5.245,5.271,5.229,5.153,5.187,5.311,5.36,5.434,5.46,5.433,5.386,5.308,5.276,5.258,5.232,5.388,5.435,5.365,5.312,5.262,5.173,5.26,127.182,5.497,11:15,2024-11-27
EMVINTO - COMIBOL,5.241,5.179,5.223,5.231,5.222,5.17,5.201,5.308,5.317,5.292,5.282,5.347,5.324,5.171,5.178,5.217,5.188,5.205,5.204,5.214,5.174,5.208,5.244,5.269,125.608,5.43,12:15,2024-11-28
EMVINTO - COMIBOL,5.216,5.209,5.281,5.294,5.222,5.216,5.213,5.238,5.25,5.238,5.318,5.337,5.266,5.21,5.208,5.225,5.215,5.204,5.309,5.265,5.326,5.193,5.183,5.288,125.925,5.388,10:45,2024-11-29
EMVINTO - COMIBOL,5.257,5.204,5.248,5.278,5.313,5.18,5.203,5.192,5.101,5.166,5.156,5.219,5.185,5.153,5.104,5.11,5.081,5.139,5.239,5.256,5.206,5.13,5.224,5.254,124.596,5.331,04:15,2024-11-30
EMVINTO - COMIBOL,5.185,5.258,5.269,5.309,5.253,5.191,5.116,5.244,5.183,5.211,5.231,5.354,5.273,5.189,5.117,5.25,5.24,5.106,5.226,5.227,5.172,5.075,5.117,5.061,124.859,5.402,04:00,2024-12-01
EMVINTO - COMIBOL,5.004,4.602,4.613,4.668,4.647,4.512,4.425,4.584,4.638,4.661,4.607,4.62,4.524,4.43,4.479,4.627,4.617,4.701,4.647,4.642,4.559,4.54,4.531,4.587,110.464,5.16,00:45,2024-12-02
EMVINTO - COMIBOL,4.602,4.6,4.658,4.66,4.64,4.497,4.476,4.599,4.676,4.563,4.578,4.58,4.465,4.453,4.46,4.585,4.53,4.486,4.541,4.563,4.476,4.526,4.574,4.594,109.382,4.711,08:30,2024-12-03
EMVINTO - COMIBOL,4.525,4.539,4.573,4.53,4.644,4.572,4.501,4.561,4.492,4.34,4.349,4.295,4.314,4.253,4.145,4.067,3.856,3.838,3.836,3.918,3.871,3.92,3.944,4.012,101.893,4.662,04:30,2024-12-04
EMVINTO - COMIBOL,3.906,4.015,4.099,4.097,4.081,4.128,4.165,3.804,4.358,4.588,4.657,4.672,4.625,4.494,4.436,4.468,4.408,4.505,4.596,4.558,4.505,4.51,4.537,4.62,104.834,4.702,10:45,2024-12-05
EMVINTO - COMIBOL,4.652,4.489,4.619,4.637,4.5,4.469,4.437,4.523,4.484,4.595,4.523,4.441,4.418,4.383,4.358,4.404,4.424,4.333,4.466,4.538,4.546,4.512,4.567,4.712,108.029,4.742,23:30,2024-12-06
EMVINTO - COMIBOL,4.652,4.667,4.683,4.68,4.567,4.494,4.523,4.527,4.475,4.539,4.522,4.529,4.598,4.653,4.711,4.791,4.582,4.634,4.673,4.798,4.762,4.826,4.857,4.818,111.562,4.881,22:30,2024-12-07
EMVINTO - COMIBOL,5.098,5.118,5.448,5.447,5.446,5.291,5.36,5.265,5.145,5.263,5.219,5.162,5.148,5.037,5.036,5.149,5.186,5.215,5.151,5.142,5.041,5.085,5.1,5.214,124.766,5.484,02:45,2024-12-08
EMVINTO - COMIBOL,5.248,5.242,5.196,5.069,5.02,5.023,4.965,5.026,5.189,5.244,5.271,5.173,5.046,4.967,5.083,5.07,5.011,5.073,5.071,5.126,5.045,4.966,4.99,5.129,122.241,5.315,10:45,2024-12-09
EMVINTO - COMIBOL,5.121,5.153,5.215,5.281,5.199,5.037,5.01,5.025,5.16,5.22,5.281,5.193,5.136,5.117,5.026,5.04,5.085,5.129,5.024,5.073,5.033,5.052,5.147,5.28,123.038,5.374,24:00,2024-12-10
EMVINTO - COMIBOL,5.3,5.187,5.116,5.071,4.997,5.041,5.033,5.108,5.152,5.179,5.165,5.169,5.122,5.001,4.924,4.995,4.822,4.842,4.856,4.935,5.034,4.766,4.738,4.828,120.381,5.348,00:15,2024-12-11
EMVINTO - COMIBOL,4.852,4.848,4.615,4.511,4.455,4.399,4.428,4.518,4.556,4.579,4.556,4.528,4.522,4.416,4.423,1.175,2.383,4.774,4.858,4.888,4.791,4.826,4.795,4.934,105.63,5.009,24:00,2024-12-12
EMVINTO - COMIBOL,4.991,5.049,5.134,5.07,5.026,4.97,4.908,5.098,5.228,5.256,5.262,5.195,5.114,4.999,4.975,4.975,4.994,5.05,5.031,5.001,5.094,5.063,5.077,5.04,121.599,5.301,10:45,2024-12-13
EMVINTO - COMIBOL,5.046,5.021,5.008,5.063,5.085,4.982,5.01,5.029,4.985,5.008,5.009,4.931,4.938,4.882,4.885,5.049,5.114,5.046,5.08,5.082,5.028,4.927,4.86,4.969,120.037,5.183,16:00,2024-12-14
EMVINTO - COMIBOL,5.071,5.09,5.171,5.217,5.175,5.051,5.082,5.089,5.112,5.114,5.032,5.038,5.023,4.88,4.821,4.861,4.885,4.948,4.984,5.049,5.135,5.127,5.173,5.109,121.238,5.264,03:30,2024-12-15
EMVINTO - COMIBOL,5.245,5.28,5.022,4.968,4.918,4.888,4.814,4.866,4.978,4.945,4.896,4.931,4.846,4.779,4.686,4.789,4.728,4.477,4.433,4.455,4.494,4.39,4.4,4.384,114.613,5.301,01:15,2024-12-16
