Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
EMVINTO,4.985,4.922,4.947,4.879,4.813,4.81,4.813,4.842,4.924,4.828,4.923,4.639,4.032,4.028,4.039,4.145,4.056,4.11,4.239,4.22,4.169,4.079,4.159,4.177,107.779,5.105,02:30,2024-09-01
EMVINTO,4.238,4.206,4.19,4.322,4.19,4.114,4.204,4.278,4.235,4.194,4.094,4.199,4.207,4.124,4.011,4.221,4.061,4.092,4.152,4.159,4.15,4.311,4.248,4.342,100.543,4.4,03:30,2024-09-02
EMVINTO,4.473,4.362,4.34,4.286,4.477,4.481,4.459,4.743,4.816,4.868,4.896,4.8,4.74,4.702,4.688,4.683,4.711,4.797,4.815,4.919,4.878,4.702,4.781,4.893,112.31,5.011,11:00,2024-09-03
EMVINTO,4.796,4.747,4.814,4.765,4.751,4.682,4.621,4.717,4.772,4.721,4.265,4.286,4.203,4.032,4.195,4.189,4.251,4.534,4.598,4.56,4.214,4.566,4.603,4.619,108.502,4.912,01:00,2024-09-04
EMVINTO,4.677,4.713,4.701,4.626,4.634,4.528,4.513,4.596,4.579,4.493,4.339,4.245,4.264,4.235,4.157,4.188,4.274,4.165,4.138,4.251,4.484,4.518,4.592,4.631,106.54,4.761,01:30,2024-09-05
EMVINTO,4.24,4.178,4.225,4.245,4.333,4.235,4.239,4.387,4.384,4.266,4.162,4.226,4.174,4.137,4.123,4.195,4.143,4.173,4.173,4.177,4.095,4.246,4.165,4.204,101.129,4.475,08:00,2024-09-06
EMVINTO,4.166,4.214,4.328,4.514,4.655,4.666,4.777,4.735,4.828,4.813,4.727,4.641,4.622,4.642,4.552,4.667,4.724,4.837,4.924,4.879,4.988,4.756,4.843,4.79,112.288,5.018,20:15,2024-09-07
EMVINTO,4.862,4.822,4.904,4.877,4.866,4.689,4.672,4.625,4.729,4.803,4.722,4.715,4.655,4.468,4.431,4.576,4.582,4.539,4.489,4.558,4.598,4.514,4.468,4.497,111.659,4.959,04:15,2024-09-08
EMVINTO,4.482,4.313,4.313,4.304,4.262,4.264,4.245,4.359,4.352,4.356,4.341,4.185,4.111,4.062,4.03,4.129,4.151,4.144,4.189,4.249,4.214,4.117,4.104,4.198,101.473,4.52,00:15,2024-09-09
EMVINTO,4.229,4.163,4.26,4.305,4.285,4.206,4.196,4.279,4.378,4.224,3.744,3.718,3.724,3.636,3.569,3.629,3.612,3.631,3.693,3.788,3.802,3.705,3.708,3.806,94.291,4.426,08:30,2024-09-10
