Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Guaracachi,70.491,67.546,64.687,62.476,61.071,60.75,62.674,63.185,67.378,70.356,73.313,75.377,75.634,76.101,77.371,78.52,79.263,76.364,80.353,83.753,83.528,81.095,76.335,69.765,1737.386,83.86,19:30,2024-09-01
Guaracachi,64.642,60.654,59.635,58.711,58.678,60.529,65.397,72.587,82.534,90.987,94.968,100.486,101.344,105.954,130.903,137.935,136.644,130.721,131.709,130.385,127.349,122.52,102.274,85.894,2313.44,138.285,15:45,2024-09-02
Guaracachi,78.275,73.365,70.083,67.702,67.191,68.817,74.26,80.699,98.422,125.31,133.505,145.607,147.867,153.001,165.494,169.218,165.87,157.849,154.729,152.255,148.973,144.823,138.469,106.892,2888.675,169.403,15:30,2024-09-03
Guaracachi,92.605,84.802,80.718,77.832,76.43,76.778,81.184,92.584,121.68,133.241,139.818,145.598,150.013,162.18,178.332,208.204,204.197,196.625,189.434,165.232,152.702,142.884,134.318,123.953,3211.342,208.948,15:30,2024-09-04
Guaracachi,102.739,86.408,82.014,77.943,76.286,76.808,80.249,85.297,98.925,122.812,126.563,135.686,133.479,136.243,144.409,148.138,144.011,139.588,142.177,140.247,135.96,109.877,96.469,89.702,2712.032,149.038,15:45,2024-09-05
Guaracachi,82.392,77.235,72.666,70.072,69.053,68.946,65.986,69.117,75.02,80.053,83.267,86.675,86.79,87.286,88.476,88.981,87.571,87.85,96.632,98.728,97.098,94.384,88.899,82.446,1985.62,99.103,19:30,2024-09-06
Guaracachi,77.043,71.99,68.39,66.414,66.03,66.942,67.189,72.792,84.528,94.187,99.854,104.179,104.581,105.183,106.915,107.873,106.876,105.715,112.768,112.936,110.314,106.127,100.365,95.398,2214.59,114.542,18:45,2024-09-07
Guaracachi,89.327,82.525,77.765,74.029,72.47,71.462,67.767,68.793,73.425,82.573,89.949,97.409,100.928,101.036,114.24,131.588,132.54,137.407,147.521,143.175,139.971,138.17,134.093,118.08,2486.243,149.679,18:45,2024-09-08
Guaracachi,96.392,89.725,84.321,79.528,76.158,76.768,78.856,89.931,118.149,152.725,167.597,184.996,186.568,201.694,216.454,222.762,216.648,208.168,206.361,179.156,171.932,162.688,152.678,118.798,3539.052,223.839,15:30,2024-09-09
Guaracachi,108.948,101.339,95.392,89.74,86.787,85.678,86.391,107.433,141.361,165.595,181.676,192.96,201.511,220.91,236.982,244.342,240.973,230.062,223.817,187.682,176.959,171.394,159.554,133.127,3870.613,246.667,15:45,2024-09-10
Guaracachi,111.846,103.229,97.723,94.45,92.604,91.27,91.453,119.255,151.104,170.047,194.565,216.808,220.586,234.213,245.23,251.352,243.36,233.479,224.321,202.355,196.231,183.211,178.424,169.043,4116.16,252.983,15:15,2024-09-11
Guaracachi,140.98,135.277,130.064,119.475,87.225,85.037,85.077,91.393,104.417,128.475,147.231,151.275,139.618,141.719,155.904,179.145,177.674,168.775,156.332,141.721,137.784,132.999,127.973,121.252,3186.823,180.797,15:45,2024-09-12
Guaracachi,114.257,88.439,83.627,80.463,79.656,79.856,80.493,90.5,111.345,143.66,160.027,183.737,203.008,205.371,221.914,225.863,221.905,207.701,196.347,196.642,175.093,162.535,148.49,139.834,3600.763,227.044,15:00,2024-09-13
Guaracachi,131.893,124.421,102.686,92.526,81.874,78.823,79.496,81.413,86.333,93.396,96.077,96.266,92.635,89.765,87.606,85.579,86.089,84.419,93.077,94.747,92.476,88.456,83.254,78.102,2201.408,135.64,00:15,2024-09-14
Guaracachi,72.205,67.936,66.507,66.077,65.05,65.265,62.238,59.928,63.667,68.412,72.117,73.857,74.238,74.412,75.113,72.306,72.409,74.45,83.211,87,86.616,84.405,80.098,73.431,1740.947,87.101,19:45,2024-09-15
Guaracachi,68.745,63.392,61.805,59.452,59.338,60.975,67.762,74.77,85.464,93.673,96.713,99.917,100.292,102.402,108.09,110.783,109.405,105.153,108.49,107.967,104.974,100.589,93.985,84.382,2128.519,110.951,15:45,2024-09-16
Guaracachi,78.733,73.205,69.685,67.339,67.23,68.683,76.221,99.984,114.124,124.728,132.415,140.675,140.539,145.239,153.74,157.594,154.317,147.869,149.175,148.397,136.971,124.83,101.446,91.983,2765.122,158.246,15:30,2024-09-17
Guaracachi,84.206,76.719,73.717,71.73,71.498,73.029,78.515,85.555,99.7,119.095,142.498,149.467,148.59,162.643,185.732,190.152,196.783,196.239,182.093,153.621,150.191,138.154,115.623,103.077,3048.628,203.113,16:15,2024-09-18
Guaracachi,95.069,88.058,82.903,78.259,76.56,78.135,81.659,90.369,112,145.764,162.833,168.065,168.388,177.354,215.924,233.495,230.045,240.108,223.743,196.55,185.302,176.385,168.883,143.959,3619.813,243.565,17:30,2024-09-19
Guaracachi,131.77,103.114,96.711,91.62,88.815,87.47,102.607,123.279,146.879,174.604,186.087,197.192,203.954,231.324,250.685,253.907,248.635,227.24,213.356,203.434,177.635,169.629,165.463,159.856,4035.266,254.54,15:30,2024-09-20
Guaracachi,151.232,133.16,106.304,100.197,96.058,93.233,88.727,105.217,143.466,168.798,179.83,186.731,185.775,185.398,188.583,196.216,192.022,187.556,193.207,193.924,184.427,176.791,161.339,154.193,3752.383,196.604,15:45,2024-09-21
