Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Guarayos,2.944,2.772,2.634,2.418,2.331,2.274,2.05,2.083,2.174,2.188,2.23,2.249,2.383,2.491,2.539,2.484,2.478,2.505,3.23,3.477,3.416,3.316,3.186,3.164,63.015,3.493,19:00,2024-09-01
Guarayos,2.938,2.742,2.597,2.627,2.633,2.443,2.352,2.581,2.586,3.473,3.666,3.759,2.968,4.014,4.178,4.149,4.188,3.934,3.935,4.204,4.226,3.98,3.6,3.358,81.131,4.289,20:30,2024-09-02
Guarayos,3.125,3.022,2.88,2.804,2.767,2.788,3.004,3.354,3.31,3.961,4.184,4.297,3.298,4.325,4.586,4.623,4.478,4.251,4.247,4.502,4.429,4.212,3.866,3.731,90.043,4.676,15:30,2024-09-03
Guarayos,3.462,3.296,3.173,3.109,3.054,3.157,3.249,3.345,3.53,3.908,3.995,4.135,3.349,4.457,4.806,4.709,4.678,4.343,4.402,4.739,4.691,4.584,4.228,4.102,94.499,4.892,14:45,2024-09-04
Guarayos,3.722,3.506,3.329,3.256,3.151,3.166,3.097,3.327,3.302,3.801,3.855,3.961,2.937,3.851,4.093,3.157,3.205,3.027,2.987,3.317,3.299,3.261,3.48,3.339,81.424,4.157,14:15,2024-09-05
Guarayos,3.091,3.001,2.85,2.923,2.979,3.014,2.94,3.236,3.359,3.694,3.801,3.905,3.021,3.904,4.132,4.249,4.291,4.096,3.876,4.121,4.103,3.876,3.599,3.348,85.41,4.325,17:30,2024-09-06
Guarayos,3.13,3.012,2.857,2.848,2.911,3.008,2.983,3.142,3.244,3.581,3.846,4.068,3.306,3.845,3.842,3.738,3.572,3.472,3.821,3.998,3.942,3.755,3.557,3.33,82.809,4.237,11:30,2024-09-07
Guarayos,3.087,2.916,2.79,2.709,2.663,2.652,2.446,2.35,2.4,2.47,2.667,2.906,3.061,3.216,3.196,3.239,3.209,3.303,3.833,4.01,4.026,3.906,3.772,3.701,74.528,4.067,20:30,2024-09-08
Guarayos,3.532,3.33,3.149,3.127,3.095,3.053,3.113,3.292,3.349,3.915,4.247,4.414,3.704,4.594,4.864,4.867,4.689,4.37,4.421,4.74,4.707,4.574,4.206,3.88,95.232,4.938,15:15,2024-09-09
Guarayos,3.568,3.481,3.41,3.323,3.302,3.291,3.275,3.499,3.75,4.26,4.477,4.646,3.778,4.733,5.075,5.079,4.903,4.562,4.541,4.867,4.86,4.697,4.48,4.295,100.156,5.134,14:30,2024-09-10
Guarayos,4.004,3.785,3.565,3.489,3.437,3.409,3.415,3.708,3.964,4.464,4.64,4.855,3.802,4.903,5.208,5.194,5.075,4.658,4.712,5.081,5.06,4.989,4.649,4.591,104.657,5.256,15:15,2024-09-11
