Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Irpa Irpa,2.137,2.066,2.05,1.982,1.966,2.009,1.853,1.73,1.784,1.857,1.888,1.901,1.825,1.883,1.892,1.944,1.964,1.974,2.518,2.982,2.923,2.639,2.328,2.098,50.193,2.997,19:45,2024-09-01
Irpa Irpa,1.945,1.869,1.808,1.786,1.821,1.999,2.461,2.358,2.191,2.547,2.571,2.621,2.327,2.573,2.904,2.897,2.9,2.958,3.025,3.401,3.264,2.997,2.621,2.37,60.213,3.42,19:30,2024-09-02
Irpa Irpa,2.173,2.102,1.975,1.903,1.915,2.065,2.339,2.358,2.339,2.487,2.551,2.543,2.373,2.573,2.926,2.996,3.026,3.001,3.079,3.5,3.406,3.161,2.709,2.407,61.908,3.522,19:30,2024-09-03
Irpa Irpa,2.198,2.099,1.993,1.945,1.964,2.127,2.415,2.502,2.41,2.633,2.637,2.61,2.332,2.437,2.844,2.913,2.977,2.879,3.031,3.478,3.413,3.144,2.719,2.427,62.128,3.514,19:15,2024-09-04
Irpa Irpa,2.236,2.094,1.999,1.963,1.991,2.136,2.474,2.497,2.558,2.763,2.824,2.733,2.462,2.763,3.008,3.037,2.975,3.115,3.267,3.663,3.509,3.225,2.777,2.459,64.528,3.724,19:30,2024-09-05
Irpa Irpa,2.256,2.104,2.014,2.006,2.027,2.183,2.457,2.492,2.508,2.723,2.747,2.758,2.442,2.698,2.881,2.917,2.923,2.924,2.907,3.319,3.278,3.063,2.721,2.498,62.848,3.33,19:15,2024-09-06
Irpa Irpa,2.281,2.218,2.154,2.041,2.038,2.167,2.385,2.461,2.636,2.672,2.681,2.696,2.296,2.295,2.3,2.286,2.344,2.41,2.929,3.357,3.263,3.061,2.768,2.557,60.295,3.398,19:15,2024-09-07
Irpa Irpa,2.378,2.321,2.258,2.215,2.126,2.192,2.032,1.888,1.889,1.906,1.938,1.942,1.892,1.991,1.989,2.043,2.02,2.116,2.623,3.097,3.013,2.747,2.401,2.158,53.175,3.113,20:00,2024-09-08
Irpa Irpa,1.999,1.91,1.86,1.833,1.864,1.973,2.193,2.314,2.295,2.46,2.599,2.683,2.41,2.812,3.123,3.128,3.196,3.214,3.154,3.569,3.477,3.217,2.794,2.485,62.561,3.594,19:30,2024-09-09
Irpa Irpa,2.284,2.244,2.148,2.07,2.07,2.202,2.602,2.566,2.665,2.892,2.864,2.919,2.61,2.801,3.06,3.034,3.096,3.101,3.101,3.504,3.434,3.149,2.763,2.486,65.666,3.529,19:30,2024-09-10
