Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Jeruyo,7.279,7.278,7.27,7.292,7.185,7.148,7.094,7.223,7.267,7.304,7.29,7.382,6.687,4.696,6.738,7.557,7.56,7.589,7.584,7.505,7.409,7.528,7.63,7.585,173.077,7.699,22:45,2024-09-01
Jeruyo,7.494,7.531,7.61,7.485,7.452,7.528,7.429,7.674,7.888,8.116,8.104,7.966,7.611,7.561,7.958,8.007,8.02,7.997,7.438,7.346,7.299,7.436,7.475,7.479,183.902,8.295,10:00,2024-09-02
Jeruyo,7.376,7.42,7.533,7.485,7.62,7.696,7.664,7.753,8.031,7.936,7.932,7.944,7.568,7.634,7.956,7.899,7.703,7.475,5.651,4.271,4.268,4.289,4.276,4.22,165.597,8.179,08:15,2024-09-03
Jeruyo,4.144,4.274,4.367,4.405,4.437,4.412,4.312,4.604,4.732,4.814,4.814,4.851,4.381,4.603,4.975,6.567,8.125,8.58,10.061,10.324,10.248,10.426,10.36,10.336,153.15,10.581,18:45,2024-09-04
Jeruyo,10.346,10.416,10.343,10.459,10.407,10.404,10.368,10.477,11.035,11.137,11.016,11.153,10.588,8.806,8.691,10.952,11.061,10.999,10.388,10.386,10.39,10.515,10.467,10.366,251.169,11.597,12:00,2024-09-05
Jeruyo,10.412,10.411,10.431,10.366,10.427,10.562,10.375,10.596,10.94,11.103,10.947,10.951,10.596,10.634,10.938,10.887,11.015,10.976,10.56,10.475,10.555,10.569,10.515,10.468,255.708,11.188,09:45,2024-09-06
Jeruyo,10.514,10.469,10.544,10.559,10.667,10.679,10.57,10.701,10.957,10.084,7.569,7.271,7.218,7.253,7.208,7.255,7.257,7.212,7.223,7.215,7.349,7.337,7.281,7.283,207.674,11.193,09:15,2024-09-07
Jeruyo,7.255,9.289,10.498,10.466,10.303,10.372,10.398,10.536,10.648,10.461,10.543,10.462,10.466,10.439,10.42,10.504,10.425,10.393,10.343,10.321,10.466,10.59,10.553,10.502,246.65,10.747,08:30,2024-09-08
Jeruyo,10.511,10.385,10.436,10.377,10.38,10.487,8.498,7.512,7.434,8.018,8.008,7.976,7.868,8.184,8.814,10.999,10.779,11.133,10.718,10.592,10.708,10.638,10.716,10.133,231.297,11.208,17:45,2024-09-09
Jeruyo,7.803,7.855,7.813,7.817,7.881,7.71,7.782,7.833,7.911,8.042,8.298,6.523,4.728,4.736,4.837,4.628,4.661,4.727,4.567,4.429,4.462,4.505,4.54,4.526,148.609,8.412,10:45,2024-09-10
Jeruyo,4.514,4.494,4.541,4.376,5.81,6.167,7.693,7.541,7.58,8.026,7.774,7.917,7.676,7.851,8,8.058,7.953,7.931,7.534,7.567,7.709,7.713,7.579,7.522,169.524,8.314,14:15,2024-09-11
Jeruyo,7.597,7.857,7.783,9.477,10.544,10.473,10.403,10.396,10.689,8.926,10.643,10.741,10.347,10.361,10.837,10.71,10.624,10.719,10.445,10.268,10.337,10.274,10.207,10.218,240.874,10.937,14:30,2024-09-12
Jeruyo,10.173,10.272,10.248,10.273,10.281,10.3,10.303,10.198,10.579,10.53,10.623,10.599,10.238,10.28,10.337,10.586,10.912,10.814,10.671,10.243,10.225,8.959,7.189,7.116,241.948,11.047,16:15,2024-09-13
Jeruyo,7.185,7.248,7.256,7.286,7.296,7.273,7.204,7.545,7.606,7.457,7.439,7.45,7.026,7.242,10.231,10.61,10.593,10.469,10.162,10.178,10.25,10.264,10.256,10.19,205.713,10.685,15:30,2024-09-14
Jeruyo,10.051,10.107,10.172,10.277,10.284,10.295,10.193,10.115,10.708,10.559,10.468,10.391,10.115,10.039,10.005,10.038,10.05,10.025,10.11,10.217,10.311,10.361,10.449,10.46,245.797,10.896,08:45,2024-09-15
