Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Kenko,98.609,86.417,80.685,77.469,76.452,77.116,75.214,75.71,86.578,96.492,105.605,109.105,111.048,109.24,112.862,120.695,128.175,137.18,148.016,169.762,169.558,161.355,139.945,115.708,2668.995,171.568,20:15,2024-09-01
Kenko,93.318,82.906,76.555,72.846,74.3,82.719,114.09,135.372,131.351,138.956,142.074,149.662,152.657,143.676,142.933,145.341,146.074,142.711,153.038,169.733,167.318,159.208,143.846,118.857,3079.537,170.37,20:00,2024-09-02
Kenko,96.59,85.515,80.15,78.707,79.875,85.945,104.489,120.174,128.878,138.988,140.135,141.446,141.778,139.517,143.106,143.596,143.961,139.542,151.307,173.938,170.548,165.441,145.549,119.734,3058.908,174.941,19:45,2024-09-03
Kenko,98.165,87.181,82.111,80.149,80.351,87.993,110.17,129.379,132.238,141.616,141.693,143.595,144.628,141.967,146.403,149.911,150.825,151.961,156.701,174.741,171.975,162.444,141.672,118.778,3126.646,175.253,20:00,2024-09-04
Kenko,99.943,88.85,83.45,81.167,82.316,90.24,110.318,126.61,129.722,139.215,143.339,146.51,142.557,138.623,141.094,145.828,146.668,143.005,154.041,171.892,169.646,160.013,139.935,121.02,3095.999,172.318,20:00,2024-09-05
Kenko,99.59,87.829,83.386,81.477,81.862,89.056,109.687,121.557,122.211,127.925,129.753,136.122,133.495,130.555,134.324,138.168,138.08,137.026,146.382,169.297,165.769,155.789,137.579,117.449,2974.365,169.777,19:45,2024-09-06
Kenko,99.863,88.673,83.17,81.169,81.803,86.636,92.224,99.535,112.821,122.906,126.233,126.873,122.706,121.368,123.16,126.405,124.267,121.921,142.286,162.255,158.061,149.446,134.163,112.96,2800.903,163.069,19:30,2024-09-07
Kenko,94.308,84.51,79.243,76.68,76.294,78.574,75.39,82.267,95.313,104.122,109.947,115.336,116.983,115.666,118.069,121.25,126.524,129.961,145.388,165.559,162.541,152.113,133.883,110.979,2670.897,166.024,19:45,2024-09-08
Kenko,92.374,81.753,76.677,74.312,75.301,84.198,111.375,131.568,129.977,138.897,141.831,146.28,148.896,140.229,141.655,146.303,147.704,145.301,150.49,171.14,168.207,158.699,140.669,122.173,3066.006,171.497,19:45,2024-09-09
Kenko,100.185,87.322,81.703,80.147,81.29,87.832,102.371,120.39,129.814,156.127,160.785,165.465,162.647,160.485,164.786,167.098,169.949,155.299,152.693,170.144,173.23,168.189,145.658,118.933,3262.539,174.605,20:45,2024-09-10
Kenko,99.618,87.613,82.944,81.082,82.048,88.834,106.926,126.152,130.859,160.239,165.641,169.253,147.77,147.311,152.233,155.884,153.235,150.784,162.727,177.032,175.167,170.939,152.587,128.99,3255.866,177.313,19:30,2024-09-11
Kenko,101.913,88.133,82.979,81.062,82.976,89.768,107.425,124.726,130.485,137.886,141.171,145.47,142.833,141.154,148.027,153.133,153.39,154.349,159.264,173.379,169.969,159.668,140.018,118.155,3127.33,173.899,19:45,2024-09-12
Kenko,100.798,89.74,84.57,82.448,83.889,91.328,107.993,125.715,132.488,139.248,149.67,152.07,147.255,144.836,149.976,151.973,153.298,146.675,156.589,175.43,171.891,162.425,141.61,121.743,3163.656,176.336,19:30,2024-09-13
Kenko,102.792,91.053,84.331,81.472,82.722,87.844,96.023,102.332,117.068,126.761,130.135,131.603,129.005,126.428,127.45,128.699,129.403,129.114,142.472,160.564,156.525,147.599,132.559,114.893,2858.845,161.202,19:15,2024-09-14
Kenko,98.198,87.785,82.149,75.935,73.685,76.606,73.719,76.613,90.407,104.808,109.915,109.29,114.292,114.167,116.429,121.327,125.649,127.451,138.761,162.16,161,149.871,131.363,110.942,2632.519,162.963,20:00,2024-09-15
Kenko,93.971,82.716,76.692,74.874,75.862,84.497,109.841,128.735,129.364,136.047,138.212,145.155,150.389,142.822,141.482,145.387,146.62,142.184,150.27,170.345,166.66,156.263,136.651,112.322,3037.359,170.802,19:30,2024-09-16
Kenko,95.712,87.628,84.074,82.131,82.92,88.515,104.91,121.123,129.87,141.62,140.496,143.857,146.164,143.403,146.258,151.707,147.538,143.979,151.141,172.933,170.732,162.314,143.493,119.787,3102.304,173.479,20:00,2024-09-17
Kenko,100.972,89.872,84.376,82.598,83.242,91.006,111.383,130.215,134.822,141.94,144.294,146.464,148.257,142.701,146.119,150.452,151.863,145.909,154.659,172.362,168.648,159.586,139.542,118.586,3139.865,173.111,19:45,2024-09-18
Kenko,100.187,88.973,83.265,81.674,82.987,90.751,109.39,127.665,131.429,149.359,154.574,155.92,154.954,152.909,160.408,164.079,159.51,153.81,157.197,177.77,174.906,166.833,148.377,124.253,3251.179,178.363,19:30,2024-09-19
Kenko,102.37,89.698,83.391,81.177,81.912,90.247,112.15,131.906,132.526,145.74,151.201,148.467,147.367,146.713,146.722,148.107,150.03,146.221,155.328,170.622,163.588,152.939,135.459,116.193,3130.072,171.548,19:30,2024-09-20
Kenko,101.227,90.705,84.651,81.896,81.909,86.488,90.761,105.952,120.674,129.263,134.473,132.085,129.913,129.041,130.852,133.201,134.502,138.034,145.707,162.266,157.342,146.441,131.129,113.938,2892.447,162.96,19:30,2024-09-21
