Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
LAS LOMAS,1.629,1.612,1.595,1.595,1.59,1.597,1.594,1.795,1.826,1.82,1.832,1.619,1.617,1.781,1.837,1.831,1.747,1.586,1.576,1.582,1.592,1.582,1.726,1.872,40.429,1.9,23:00,2024-09-01
LAS LOMAS,1.847,1.649,1.827,1.821,1.819,1.806,1.678,1.778,1.82,1.834,1.849,1.826,1.82,1.852,1.947,1.972,1.911,2.052,1.913,1.881,2.303,2.612,13.025,20.695,75.532,25.7,24:00,2024-09-02
LAS LOMAS,19.089,21.732,19.928,20.49,19.807,18.979,20.728,19.076,20.644,21.326,16.735,20.547,21.475,5.726,3.601,3.323,3.168,3.188,2.454,3.162,3.207,3.442,20.174,17.61,329.609,25.791,00:45,2024-09-03
LAS LOMAS,9.55,22.12,20.682,21.519,20.506,20.173,21.898,21.055,23.059,19.337,22.34,23.008,22.214,15.765,6.32,5.643,5.306,5.161,4.925,4.942,3.238,3.439,18.13,20.221,360.548,28.111,12:00,2024-09-04
LAS LOMAS,21.583,20.55,23.021,21.974,20.844,22.807,22.419,23.029,24.647,23.389,24.272,20.821,24.239,10.166,5.601,5.231,3.906,3.061,4.355,4.55,2.837,3.038,19.842,19.528,375.707,29.174,09:00,2024-09-05
LAS LOMAS,23.46,21.511,22.856,22.166,21.337,20.937,21.102,21.202,20.59,20.12,22.868,20.815,17.171,6.143,4.631,2.637,2.902,3.467,3.465,3.135,2.053,2.044,1.898,1.759,310.267,27.417,11:45,2024-09-06
LAS LOMAS,1.733,1.694,1.697,1.706,1.682,1.716,1.691,1.77,1.94,1.965,1.967,1.966,1.813,1.978,1.96,1.644,1.649,1.725,1.745,1.734,1.73,1.717,1.715,1.708,42.646,2.019,11:45,2024-09-07
LAS LOMAS,1.705,1.69,1.693,1.7,1.689,1.687,1.677,1.676,1.685,1.709,1.72,1.719,1.711,1.727,1.726,1.731,1.718,1.688,1.728,1.749,1.774,1.818,2.762,3.692,44.171,3.982,24:00,2024-09-08
LAS LOMAS,7.62,18.78,23.834,23.628,22.172,23.419,20.703,20.429,18.794,20.84,20.908,22.626,10.07,4.977,3.768,3.416,3.307,2.923,2.73,2.162,2.191,2.204,2.47,3.15,287.118,29.113,03:15,2024-09-09
LAS LOMAS,21.712,23.791,25.054,22.345,23.955,24.21,23.857,22.349,20.874,21.51,14.019,5.283,4.853,4.502,4.344,4.416,4.403,1.94,1.864,1.971,2.161,2.473,2.819,4.329,289.029,28.807,02:15,2024-09-10
