Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
La Plata,5.893,5.483,5.233,5.1,5.028,5.075,4.553,4.338,4.783,5.215,5.538,5.675,5.78,5.815,6.08,6.21,6.303,6.545,7.803,8.86,8.823,8.598,7.775,6.728,147.228,8.93,19:45,2024-09-01
La Plata,5.963,5.39,5.118,4.948,4.743,4.943,5.193,5.96,5.813,5.843,5.993,6.381,6.19,6.085,6.24,6.198,6.363,6.563,7.895,8.615,8.675,7.93,7.03,5.998,150.064,8.74,20:15,2024-09-02
La Plata,5.278,4.785,4.608,4.495,4.66,5.085,5.085,5.658,5.85,6.295,6.458,6.518,6.115,5.96,5.95,5.993,5.915,6.048,7.353,8.663,8.64,8.558,7.803,6.733,148.5,8.76,20:00,2024-09-03
La Plata,5.923,5.383,5.235,5.08,5.048,5.385,5.443,6.028,6.155,6.48,6.52,6.638,6.36,6.398,6.423,6.4,6.245,6.285,7.53,8.743,8.815,8.57,7.633,6.503,155.218,8.9,20:00,2024-09-04
La Plata,5.555,4.915,4.915,4.825,4.828,5.158,5.258,5.845,5.868,6.125,6.205,6.453,6.065,6.1,6.15,6.333,6.483,6.825,7.955,8.94,8.928,8.488,7.66,6.59,152.463,8.99,19:45,2024-09-05
La Plata,5.935,5.495,5.24,5.158,4.893,5.108,5.215,5.933,5.98,6.158,6.355,6.388,6.068,6.005,6.143,5.96,6.283,6.638,7.945,8.973,8.958,8.355,7.458,6.54,153.178,9.05,19:45,2024-09-06
La Plata,5.71,5.205,4.928,4.843,4.845,5.085,4.983,5.253,5.75,6.19,6.205,6.103,5.938,5.935,6.073,6.163,6.275,6.478,7.835,8.573,8.568,8.268,7.513,6.725,149.438,8.69,20:15,2024-09-07
La Plata,6.02,5.533,5.308,5.095,5.048,5.11,4.25,4.513,4.965,5.27,5.488,5.655,5.62,5.73,5.96,6,6.065,6.365,7.675,8.638,8.71,8.293,7.335,6.393,145.035,8.75,20:45,2024-09-08
La Plata,5.578,5.063,4.78,4.723,4.645,4.835,5.088,5.785,5.5,5.785,6.098,6.608,6.235,5.603,6.015,6.235,6.308,6.433,7.343,8.465,8.548,8.338,7.51,6.508,148.023,8.59,20:00,2024-09-09
La Plata,5.855,5.43,5.26,5.033,5.103,5.278,5.078,5.653,5.66,5.913,5.943,6.205,5.885,5.968,6.273,6.425,6.548,6.74,7.998,9.045,8.955,8.583,7.725,6.655,153.205,9.1,19:45,2024-09-10
