Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Litio 115 KV,0.843,0.806,0.79,0.774,0.778,0.805,0.742,0.655,0.733,0.857,0.911,0.972,0.935,0.892,0.989,1.026,0.993,1.021,1.23,1.405,1.419,1.308,1.119,0.935,22.937,1.451,20:30,2024-09-01
Litio 115 KV,0.834,0.762,0.74,0.739,0.793,0.836,0.828,0.917,0.872,0.888,0.864,0.893,0.794,0.78,0.809,0.814,0.816,0.806,1.089,1.34,1.359,1.285,1.102,0.93,21.887,1.379,20:30,2024-09-02
Litio 115 KV,0.833,0.77,0.748,0.734,0.758,0.792,0.787,0.806,0.824,0.866,0.846,0.852,0.785,0.738,0.798,0.808,0.796,0.815,1.114,1.399,1.385,1.308,1.134,0.939,21.632,1.423,20:00,2024-09-03
Litio 115 KV,0.824,0.767,0.745,0.741,0.768,0.809,0.771,0.841,0.841,0.882,0.867,0.877,0.796,0.783,0.811,0.754,0.813,0.829,1.103,1.364,1.399,1.319,1.142,0.946,21.793,1.414,21:00,2024-09-04
Litio 115 KV,0.849,0.793,0.762,0.756,0.796,0.833,0.794,0.843,0.885,0.876,0.864,0.873,0.76,0.76,0.766,0.795,0.777,0.838,1.113,1.373,1.421,1.333,1.175,0.997,22.029,1.425,20:15,2024-09-05
Litio 115 KV,0.848,0.797,0.787,0.76,0.762,0.818,0.776,0.863,0.85,0.821,0.826,0.81,0.727,0.742,0.791,0.807,0.83,0.822,1.033,1.315,1.32,1.246,1.084,0.945,21.378,1.342,20:45,2024-09-06
Litio 115 KV,0.827,0.789,0.777,0.762,0.765,0.806,0.695,0.612,0.718,0.782,0.77,0.779,0.745,0.722,0.758,0.752,0.774,0.76,0.983,1.228,1.238,1.151,1.013,0.875,20.079,1.283,20:15,2024-09-07
Litio 115 KV,0.796,0.744,0.727,0.711,0.727,0.772,0.646,0.599,0.719,0.807,0.839,0.876,0.822,0.777,0.906,0.968,0.933,0.938,1.124,1.347,1.345,1.237,1.064,0.88,21.302,1.378,19:15,2024-09-08
Litio 115 KV,0.794,0.727,0.713,0.707,0.753,0.801,0.745,0.826,0.745,0.762,0.787,0.775,0.704,0.657,0.699,0.767,0.8,0.784,1.033,1.35,1.41,1.335,1.105,0.952,20.73,1.426,20:45,2024-09-09
Litio 115 KV,0.826,0.78,0.794,0.772,0.783,0.836,0.755,0.816,0.816,0.854,0.819,0.829,0.728,0.742,0.834,0.839,0.841,0.821,1.079,1.363,1.384,1.313,1.14,0.961,21.723,1.405,20:00,2024-09-10
Litio 115 KV,0.824,0.769,0.777,0.776,0.771,0.831,0.752,0.82,0.796,0.862,0.831,0.833,0.732,0.774,0.864,0.855,0.855,0.777,1.066,1.361,1.415,1.3,1.114,0.954,21.707,1.437,20:30,2024-09-11
Litio 115 KV,0.824,0.778,0.794,0.785,0.78,0.839,0.788,0.865,0.83,0.834,0.8,0.808,0.724,0.74,0.779,0.783,0.801,0.807,1.03,1.305,1.317,1.168,1.014,0.887,21.073,1.344,20:15,2024-09-12
Litio 115 KV,0.813,0.796,0.79,0.767,0.789,0.831,0.735,0.752,0.773,0.811,0.801,0.818,0.73,0.743,0.763,0.782,0.872,0.846,1.047,1.304,1.331,1.237,1.084,0.93,21.145,1.353,20:15,2024-09-13
Litio 115 KV,0.814,0.781,0.799,0.788,0.786,0.819,0.696,0.71,0.8,0.871,0.858,0.844,0.794,0.792,0.805,0.805,0.79,0.807,1.045,1.322,1.35,1.232,1.07,0.918,21.291,1.383,20:30,2024-09-14
Litio 115 KV,0.834,0.832,0.812,0.786,0.794,0.816,0.66,0.641,0.764,0.851,0.883,0.944,0.872,0.879,0.988,1.012,0.977,0.962,1.216,1.387,1.404,1.276,1.1,0.97,22.659,1.431,20:15,2024-09-15
Litio 115 KV,0.852,0.796,0.763,0.765,0.772,0.825,0.758,0.964,0.873,0.903,0.877,0.936,0.79,0.793,0.855,0.844,0.813,0.818,1.081,1.367,1.418,1.307,1.092,0.926,22.184,1.442,20:45,2024-09-16
Litio 115 KV,0.839,0.785,0.779,0.74,0.754,0.805,0.751,0.866,0.853,0.889,0.881,0.879,0.773,0.77,0.819,0.841,0.86,0.862,1.099,1.391,1.444,1.344,1.103,0.97,22.093,1.463,20:15,2024-09-17
Litio 115 KV,0.85,0.804,0.771,0.769,0.782,0.836,0.78,0.9,0.892,0.948,0.908,0.917,0.809,0.839,0.874,0.833,0.803,0.829,1.095,1.403,1.433,1.365,1.122,0.967,22.526,1.447,21:00,2024-09-18
Litio 115 KV,0.847,0.79,0.769,0.747,0.767,0.827,0.754,0.871,0.853,0.852,0.847,0.831,0.736,0.774,0.78,0.797,0.783,0.797,1.063,1.321,1.34,1.294,1.091,0.954,21.482,1.358,20:30,2024-09-19
Litio 115 KV,0.844,0.774,0.762,0.744,0.766,0.823,0.74,0.8,0.797,0.823,0.823,0.827,0.755,0.816,0.846,0.797,0.81,0.806,1.052,1.334,1.325,1.237,1.066,0.952,21.318,1.351,19:45,2024-09-20
Litio 115 KV,0.861,0.787,0.758,0.739,0.754,0.808,0.67,0.745,0.883,0.88,0.778,0.774,0.739,0.823,0.906,0.834,0.791,0.833,1.098,1.348,1.324,1.232,1.05,0.934,21.346,1.376,19:45,2024-09-21
Litio 115 KV,0.843,0.805,0.747,0.73,0.747,0.797,0.637,0.652,0.775,0.843,0.874,0.861,0.799,0.82,0.93,0.976,0.958,0.902,1.144,1.363,1.375,1.252,1.08,0.935,21.843,1.402,20:00,2024-09-22
Litio 115 KV,0.807,0.779,0.75,0.716,0.749,0.8,0.735,0.904,0.802,0.797,0.769,0.786,0.726,0.743,0.818,0.799,0.777,0.75,1.031,1.336,1.321,1.233,1.057,0.898,20.881,1.379,20:00,2024-09-23
Litio 115 KV,0.789,0.762,0.733,0.709,0.718,0.778,0.696,0.755,0.771,0.826,0.794,0.818,0.712,0.727,0.81,0.796,0.846,0.837,1.05,1.326,1.339,1.252,1.074,0.955,20.867,1.352,20:30,2024-09-24
Litio 115 KV,0.834,0.765,0.734,0.716,0.732,0.825,0.721,0.825,0.759,0.789,0.799,0.83,0.747,0.736,0.802,0.805,0.817,0.814,1.056,1.346,1.358,1.265,1.099,0.931,21.1,1.38,20:15,2024-09-25
Litio 115 KV,0.822,0.775,0.741,0.728,0.75,0.804,0.689,0.818,0.768,0.779,0.765,0.764,0.717,0.729,0.799,0.791,0.823,0.772,1.005,1.289,1.287,1.232,1.092,0.942,20.68,1.301,19:30,2024-09-26
Litio 115 KV,0.812,0.782,0.757,0.744,0.749,0.799,0.674,0.722,0.731,0.782,0.789,0.788,0.708,0.732,0.759,0.769,0.8,0.773,1.012,1.319,1.308,1.2,1.032,0.92,20.459,1.337,20:00,2024-09-27
