Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Los Troncos - 115,3.823,3.574,3.487,3.404,3.377,3.339,3.201,3.75,4.5,4.391,4.42,4.448,4.02,3.961,4.13,4.132,3.921,3.84,4.349,4.175,4.078,4.019,3.824,3.646,93.809,4.602,11:30,2024-09-01
Los Troncos - 115,3.412,3.232,3.163,3.13,3.14,3.158,3.14,3.493,4.814,5.666,6.034,6.212,5.863,5.925,6.991,6.947,6.578,5.463,5.154,5.23,5.088,4.844,4.559,4.416,115.65,7.157,15:00,2024-09-02
Los Troncos - 115,4.137,3.92,3.761,3.594,3.474,3.729,3.722,4.377,5.404,5.882,6.247,6.368,6.235,6.869,7.333,7.525,7.605,6.663,5.853,5.904,5.699,5.512,5.139,5.061,130.013,7.685,16:00,2024-09-03
Los Troncos - 115,4.775,4.457,4.31,4.183,4.257,4.213,4.084,4.649,5.922,6.36,6.69,6.875,6.754,7.25,7.805,7.935,7.761,6.685,5.968,5.994,5.773,5.613,5.234,5.086,138.634,7.974,15:15,2024-09-04
Los Troncos - 115,4.859,4.648,4.45,4.316,4.136,4.126,4.03,4.5,5.591,5.792,6.2,6.169,5.739,6.096,6.557,7.061,6.608,5.835,5.17,5.068,4.798,4.624,4.329,4.106,124.807,7.173,15:30,2024-09-05
Los Troncos - 115,4.046,3.838,3.606,3.546,3.491,3.534,3.503,4.106,5.238,5.932,6.085,6.349,6.199,6.523,6.877,6.752,6.64,5.517,5.251,5.224,5.045,4.81,4.489,4.256,120.858,7.039,15:30,2024-09-06
Los Troncos - 115,4.107,3.943,3.81,3.761,3.728,3.724,3.618,4.269,5.4,5.822,6.087,6.103,5.851,6.211,6.392,6.412,6.547,5.828,5.624,5.652,5.352,4.957,4.599,4.323,122.117,6.606,16:45,2024-09-07
Los Troncos - 115,4.206,4.017,3.866,3.741,3.728,3.746,3.54,4.128,4.875,5.14,5.496,5.865,5.951,6.128,6.225,5.782,5.571,4.993,5.339,5.222,5.122,4.96,4.866,4.506,117.014,6.333,15:00,2024-09-08
Los Troncos - 115,4.336,4.196,3.985,3.862,3.819,3.796,3.685,4.237,5.396,6.139,6.63,6.959,7.107,7.7,8.055,8.107,7.933,6.823,6.236,6.285,5.992,5.739,5.454,5.285,137.757,8.171,15:15,2024-09-09
Los Troncos - 115,5.015,4.755,4.618,4.496,4.37,4.4,4.246,4.945,5.919,6.352,7.166,7.412,7.202,7.538,7.937,8.108,7.871,6.632,6.406,6.487,6.259,6.012,5.68,5.362,145.189,8.203,15:30,2024-09-10
Los Troncos - 115,5.133,4.892,4.754,4.521,4.503,4.528,4.39,5.198,6.68,7.14,7.473,7.805,7.715,8.199,8.309,8.454,8.242,7.062,6.568,6.693,6.536,6.254,5.893,5.637,152.579,8.54,16:15,2024-09-11
Los Troncos - 115,5.388,5.159,4.995,4.78,4.664,4.493,4.293,4.729,5.841,5.847,5.896,5.947,5.44,5.99,6.494,6.546,6.388,5.653,5.398,5.358,5.292,5.188,4.848,4.56,129.188,6.652,15:45,2024-09-12
Los Troncos - 115,4.401,4.332,4.173,3.984,3.915,3.949,3.866,4.476,5.71,6.253,6.438,6.917,7.154,7.427,7.6,7.524,7.296,6.617,6.547,6.542,6.34,6.151,5.913,5.417,138.942,7.687,14:30,2024-09-13
Los Troncos - 115,5.071,4.746,4.517,4.405,4.329,4.171,4.055,4.189,4.348,4.481,4.4,4.547,4.32,4.399,4.477,4.568,4.49,4.046,4.302,4.149,4.116,3.907,3.571,3.381,102.985,5.243,00:15,2024-09-14
Los Troncos - 115,3.279,3.158,3.128,3.06,3.1,3.185,2.977,3.312,3.602,3.371,3.432,3.441,3.075,2.981,3.027,3.065,3.033,3.264,3.862,3.77,3.754,3.622,3.518,3.304,79.319,4.035,18:45,2024-09-15
Los Troncos - 115,3.121,3.074,3.013,2.963,3.032,3.117,3.091,3.487,4.6,5.143,5.227,5.194,4.72,4.948,5.44,5.15,4.798,4.219,4.372,4.594,4.305,4.179,3.824,3.498,99.11,5.512,14:30,2024-09-16
Los Troncos - 115,3.38,3.228,3.177,3.107,3.169,3.252,3.316,3.679,4.588,4.772,5.003,5.021,5.033,5.614,5.869,5.815,5.699,4.905,5.018,5.186,4.998,4.793,4.567,4.209,107.398,5.908,14:30,2024-09-17
Los Troncos - 115,4.031,3.824,3.689,3.617,3.582,3.587,3.512,4.01,4.749,5.417,5.824,5.832,5.413,5.922,6.356,6.386,6.225,5.458,5.652,5.795,5.714,5.511,5.159,4.822,120.086,6.432,15:15,2024-09-18
Los Troncos - 115,4.557,4.298,4.143,4.052,4.019,4.026,3.922,4.175,5.357,6.021,6.478,6.764,6.783,7.19,7.282,7.288,7.097,6.481,6.573,6.483,6.349,6.285,5.996,5.699,137.321,7.395,14:45,2024-09-19
Los Troncos - 115,5.39,5.167,5.023,4.768,4.706,4.78,4.434,4.904,6.292,6.781,7.151,7.508,7.53,7.903,7.914,7.82,7.443,6.653,6.604,6.652,6.334,6.12,5.911,5.654,149.441,8.028,15:15,2024-09-20
Los Troncos - 115,5.297,4.922,4.696,4.569,4.465,4.367,4.052,4.586,5.68,6.423,6.905,6.998,7.07,7.338,7.621,7.432,7.247,6.592,6.389,6.558,6.353,6.224,5.998,5.731,143.514,7.742,15:15,2024-09-21
Los Troncos - 115,5.49,5.231,5.002,4.859,4.683,4.56,4.249,4.9,5.418,5.572,5.911,6.279,6.486,6.739,6.777,6.644,6.494,5.925,6.341,6.362,6.196,6.243,6.169,5.936,138.466,6.824,14:45,2024-09-22
Los Troncos - 115,5.646,5.396,5.171,5.034,4.959,4.927,4.716,5.231,6.422,7.02,7.596,7.889,7.847,8.226,8.439,8.357,8.318,7.378,7.093,7.239,6.98,6.709,6.158,6.135,158.887,8.545,14:15,2024-09-23
Los Troncos - 115,5.994,5.759,5.54,5.468,5.477,5.561,5.539,5.956,6.688,7.532,7.762,7.564,7.515,7.727,7.722,7.465,7.111,6.564,6.627,6.884,6.669,6.535,6.202,5.919,157.781,7.869,10:30,2024-09-24
Los Troncos - 115,5.776,5.577,5.379,5.332,5.37,5.501,5.281,5.83,7.017,7.777,8.475,9.044,9.187,9.476,9.768,9.709,9.307,7.98,7.573,7.67,7.456,7.141,6.78,6.553,174.957,9.901,14:45,2024-09-25
Los Troncos - 115,6.331,5.994,5.832,5.838,6.326,6.383,6.215,6.702,7.551,7.887,7.975,6.251,5.596,6.535,7.023,6.826,6.76,5.765,5.433,5.462,5.369,5.103,4.659,4.493,148.311,8.03,10:15,2024-09-26
Los Troncos - 115,4.237,4.168,4.059,4.152,4.589,4.732,4.716,5.54,6.14,6.391,6.536,6.518,6.234,6.469,6.659,6.664,6.452,5.494,5.148,5.313,4.962,4.76,4.39,4.3,128.622,6.726,14:45,2024-09-27
Los Troncos - 115,4.199,4.043,3.982,3.849,3.758,3.819,3.657,4.057,5.115,5.484,5.718,5.969,6.159,6.411,6.82,6.899,6.813,5.974,5.623,5.769,5.536,5.243,4.945,4.749,124.59,6.954,15:45,2024-09-28
Los Troncos - 115,4.503,4.228,4.022,3.888,3.822,3.748,3.52,4.148,4.789,4.848,4.985,5.325,5.485,5.834,6.018,5.997,5.865,5.732,5.741,5.755,5.633,5.564,5.46,5.138,120.048,6.043,15:00,2024-09-29
