Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Los Troncos 115,4.689,4.465,4.297,4.146,4.01,3.755,3.822,4.394,5.17,5.654,6.026,6.251,6.217,6.586,6.859,6.796,6.444,6.186,5.738,6.55,6.416,6.262,5.981,5.595,132.306,6.95,15:30,2024-11-25
Los Troncos 115,5.293,5.013,4.856,4.567,4.446,4.267,4.222,4.97,5.664,6.148,6.352,6.597,6.52,6.797,7.093,6.945,6.812,6.321,5.923,6.657,6.561,6.474,6.246,5.697,140.443,7.18,14:30,2024-11-26
Los Troncos 115,5.295,4.974,4.753,4.643,4.479,4.227,4.436,4.645,5.302,5.583,5.836,6.083,6.185,6.504,6.674,6.701,6.434,5.926,5.832,6.57,6.663,6.28,5.952,5.63,135.607,6.786,15:00,2024-11-27
Los Troncos 115,5.318,5.01,4.762,4.64,4.638,4.315,4.389,4.806,5.58,6.055,6.331,6.436,6.442,6.843,7.284,7.231,6.799,6.282,5.948,6.513,6.386,6.176,5.842,5.33,139.356,7.345,15:15,2024-11-28
Los Troncos 115,5.042,4.773,4.651,4.473,4.419,4.412,4.407,4.713,5.454,5.943,6.136,6.324,6.295,6.563,6.777,6.862,6.609,6.172,5.748,6.48,6.304,6.14,5.937,5.467,136.104,7.114,15:00,2024-11-29
Los Troncos 115,5.146,4.851,4.619,4.573,4.819,4.907,4.769,5.259,6.189,6.484,6.882,6.982,7.017,7.229,7.187,6.917,6.737,6.201,5.863,6.671,6.434,6.227,6.058,5.496,143.517,7.394,14:00,2024-11-30
Los Troncos 115,5.151,4.862,4.607,4.722,5.144,4.841,4.76,5.129,5.559,5.601,6.04,6.344,6.621,6.8,6.736,6.587,6.208,5.881,5.714,6.051,6.006,5.905,5.993,5.618,136.879,6.871,13:45,2024-12-01
Los Troncos 115,5.269,4.964,4.79,4.607,4.406,4.028,4.004,4.891,5.977,6.262,6.78,6.836,6.54,6.052,5.766,5.212,4.844,4.649,4.661,5.089,4.929,4.695,4.313,3.963,123.526,7.028,11:15,2024-12-02
Los Troncos 115,3.706,3.624,3.467,3.402,3.335,3.115,2.999,3.228,3.546,3.651,3.731,3.713,3.458,3.601,3.852,4.062,4.125,4.085,4.036,4.616,4.643,4.555,4.15,3.465,90.165,4.739,20:00,2024-12-03
Los Troncos 115,3.287,3.221,3.188,3.155,3.26,3.238,3.238,3.495,3.885,4.155,4.371,4.51,4.517,4.777,5.076,5.036,4.847,4.661,4.516,5.145,4.995,4.897,4.542,4.09,100.101,5.217,19:30,2024-12-04
Los Troncos 115,3.824,3.621,3.499,3.42,3.378,3.304,3.363,4.054,4.792,5.071,5.307,5.659,5.472,5.673,5.751,5.704,5.383,5.094,4.756,5.394,5.213,5.067,4.841,4.344,111.987,5.925,14:00,2024-12-05
Los Troncos 115,4.045,3.921,3.746,3.775,3.74,3.505,3.462,3.909,4.787,5.054,5.303,5.472,5.166,5.587,5.909,5.599,5.388,4.728,4.557,5.071,4.896,4.81,4.603,4.302,111.334,5.985,14:30,2024-12-06
Los Troncos 115,4.048,3.706,3.61,3.471,3.469,3.34,3.312,3.928,4.607,4.689,4.863,4.763,4.64,4.7,4.884,4.852,4.834,4.43,4.289,5.01,4.901,4.697,4.571,4.256,103.87,5.041,19:45,2024-12-07
