Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Los Troncos Las Misiones - 115,6.796,6.441,6.227,5.986,5.885,5.795,5.131,5.029,5.243,5.441,5.567,5.788,5.76,5.87,6.089,6.216,6.305,6.343,7.99,8.341,8.081,7.672,7.131,6.628,151.755,8.46,19:00,2024-09-01
Los Troncos Las Misiones - 115,6.175,5.894,5.75,5.63,5.618,5.852,5.63,5.991,6.214,6.724,7.028,7.417,6.92,7.573,8.264,8.384,8.473,8.641,9.198,9.411,9.158,8.736,8.098,7.414,174.193,9.488,19:15,2024-09-02
Los Troncos Las Misiones - 115,6.888,6.459,6.197,6.038,5.981,6.076,5.787,6.198,6.895,7.36,7.8,8.333,7.728,8.331,9.135,9.347,9.277,9.217,9.92,10.113,9.909,9.621,8.916,8.185,189.714,10.223,18:45,2024-09-03
Los Troncos Las Misiones - 115,7.529,7.05,6.764,6.574,6.501,6.384,5.903,6.496,7.113,7.553,7.957,8.329,7.757,8.529,9.435,9.626,9.649,9.567,10.253,10.363,10.304,9.958,9.32,8.451,197.363,10.504,18:45,2024-09-04
Los Troncos Las Misiones - 115,7.725,7.276,6.96,6.685,6.547,6.556,5.987,6.263,6.852,7.049,7.251,7.497,6.897,7.277,7.94,8.526,8.611,8.482,9.601,9.946,9.632,8.874,7.666,7.101,183.202,10.166,19:00,2024-09-05
Los Troncos Las Misiones - 115,6.603,6.26,6.05,5.973,5.936,6.037,5.67,6.044,6.51,6.807,7.198,7.558,7.185,7.677,8.452,8.521,8.394,8.402,9.498,9.63,9.401,8.894,8.307,7.594,178.603,9.784,18:45,2024-09-06
Los Troncos Las Misiones - 115,7.048,6.721,6.497,6.344,6.287,6.293,5.683,5.763,6.198,6.671,6.967,7.486,7.4,7.556,7.968,8.121,8.138,8.48,9.821,9.929,9.677,9.269,8.692,8.175,181.181,10.103,19:00,2024-09-07
Los Troncos Las Misiones - 115,7.67,7.285,7.02,6.858,6.718,6.645,5.898,5.803,5.945,6.238,6.692,7.282,7.529,7.871,8.305,8.434,8.332,8.431,9.845,9.996,9.864,9.578,9.019,8.259,185.519,10.098,18:45,2024-09-08
Los Troncos Las Misiones - 115,7.656,7.459,7.255,6.981,6.848,6.837,6.287,6.55,7.292,7.986,8.427,9.07,8.769,9.477,10.227,10.422,10.2,10.062,10.724,10.724,10.587,10.309,9.688,9.055,208.892,10.966,18:45,2024-09-09
Los Troncos Las Misiones - 115,8.332,7.825,7.479,7.24,7.093,7.007,6.474,7.153,8.08,8.757,9.251,9.793,9.136,9.92,10.662,10.718,10.318,10.112,10.773,10.968,10.836,10.527,9.993,9.267,217.714,11.072,18:45,2024-09-10
