Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Los Troncos Las Misiones 115,9.059,8.538,8.176,7.839,7.566,6.875,6.652,7.331,8.469,9.144,9.2,9.943,9.314,10.225,11.072,11.08,10.728,10.203,10.203,11.665,11.753,11.653,11.075,10.217,227.982,11.771,21:00,2024-11-25
Los Troncos Las Misiones 115,9.378,8.774,8.317,7.933,7.646,6.962,6.452,6.893,8.509,9.584,9.864,10.229,9.464,10.449,11.241,11.256,10.913,10.27,10.128,11.657,11.803,11.756,11.267,10.248,230.995,11.829,21:15,2024-11-26
Los Troncos Las Misiones 115,9.475,8.808,8.38,8.049,7.752,6.944,6.817,7.19,7.201,9.185,9.611,9.865,9.314,10.168,10.809,10.933,10.619,9.983,9.997,11.243,11.141,10.918,10.423,9.637,224.464,11.279,20:00,2024-11-27
Los Troncos Las Misiones 115,8.986,8.499,8.086,7.744,7.489,6.716,6.591,7.2,8.32,9.047,9.369,9.862,9.3,10.033,10.808,10.778,10.454,9.885,9.978,11.368,11.382,11.271,10.867,10.1,224.134,11.424,20:30,2024-11-28
Los Troncos Las Misiones 115,9.208,8.626,8.159,7.852,7.673,7.231,7.314,8.055,8.544,9.133,9.648,9.859,9.338,10.016,10.601,10.594,10.308,9.844,9.885,11.349,11.2,11.08,10.759,10.114,226.392,11.385,19:30,2024-11-29
Los Troncos Las Misiones 115,9.436,8.871,8.448,8.071,7.862,7.103,6.679,7.091,7.861,8.363,8.866,9.258,9.269,9.626,9.904,9.733,9.685,9.365,10.254,11.527,11.505,11.349,11.02,10.479,221.623,11.556,19:45,2024-11-30
Los Troncos Las Misiones 115,9.803,9.191,8.766,8.449,8.139,7.41,6.762,6.963,7.474,7.874,8.351,8.76,9.134,9.386,9.628,9.686,9.563,9.013,9.548,11.064,11.193,11.184,10.893,10.366,218.601,11.242,21:30,2024-12-01
Los Troncos Las Misiones 115,9.622,9.089,8.724,8.405,8.093,7.365,7.11,7.693,8.93,9.773,10.241,10.578,9.968,10.793,11.064,10.253,9.569,9.16,9.31,10.36,10.253,9.725,8.906,8.126,223.111,11.394,14:30,2024-12-02
Los Troncos Las Misiones 115,7.481,7.023,6.753,6.515,6.304,5.978,5.5,5.982,6.494,6.672,6.787,6.03,6.099,6.354,6.763,6.887,6.994,6.939,7.339,8.692,8.519,8.06,7.406,6.785,164.358,8.713,19:30,2024-12-03
Los Troncos Las Misiones 115,6.412,6.189,6.028,5.866,5.827,5.509,5.292,6.007,6.581,6.894,7.162,7.3,6.722,7.173,7.712,7.747,7.703,7.525,7.812,9.127,8.993,8.615,7.935,7.208,169.339,9.155,19:45,2024-12-04
