Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Ocuri,1.013,0.978,0.936,0.934,0.93,0.964,0.882,0.79,0.79,0.785,0.773,0.821,0.807,0.839,0.842,0.917,0.973,1.076,1.47,1.868,1.737,1.494,1.277,1.119,25.011,1.887,19:30,2024-09-01
Ocuri,1.056,1.011,0.969,0.961,0.969,1.08,1.095,1.305,1.367,1.292,1.275,1.434,1.5,1.501,1.509,1.565,1.392,1.329,1.774,1.966,1.921,1.666,1.302,1.162,32.4,2.051,19:00,2024-09-02
Ocuri,1.078,1.019,0.995,0.992,1.123,1.228,1.236,1.34,1.325,1.296,1.394,1.405,1.435,1.434,1.372,1.402,1.309,1.337,1.666,2.128,2.001,1.721,1.387,1.157,32.777,2.145,19:30,2024-09-03
Ocuri,1.065,1.016,1.002,1.015,1.081,1.184,1.181,1.343,1.114,1.125,1.175,1.281,1.346,1.351,1.347,1.29,1.165,1.341,1.708,2.154,2.092,1.794,1.447,1.239,31.853,2.17,19:45,2024-09-04
Ocuri,1.08,1.041,1.109,1.097,1.215,1.357,1.41,1.475,1.484,1.381,1.445,1.548,1.529,1.531,1.524,1.487,1.37,1.278,1.801,1.727,1.904,1.591,1.298,1.153,33.832,2.065,19:00,2024-09-05
Ocuri,1.16,1.11,1.082,1.135,1.17,1.273,1.294,1.444,1.372,1.267,1.41,1.493,1.517,1.488,1.511,1.423,1.324,1.195,1.555,1.924,1.852,1.629,1.333,1.121,33.078,1.952,19:45,2024-09-06
Ocuri,0.991,1.142,1.164,1.239,1.293,1.386,1.383,1.325,1.332,1.274,1.142,1.182,1.131,1.115,1.045,0.886,0.822,0.86,1.326,1.777,1.716,1.479,1.246,1.088,29.341,1.784,19:45,2024-09-07
Ocuri,0.996,0.951,0.928,0.849,0.734,0.86,0.888,0.776,0.79,0.804,0.801,0.793,0.772,0.801,0.78,0.817,0.806,0.855,1.334,1.743,1.653,1.447,1.224,1.087,23.487,1.752,19:45,2024-09-08
Ocuri,0.999,0.943,0.918,0.918,0.925,0.99,0.936,1.047,0.934,0.926,0.883,1.097,1.157,1.267,1.236,1.241,1.08,1.022,1.496,1.899,1.813,1.566,1.295,1.119,27.705,1.914,19:30,2024-09-09
Ocuri,1.094,1.058,1.018,1.006,1.008,1.085,1.022,1.029,1.014,1.123,1.194,1.271,1.35,1.339,1.424,1.464,1.316,1.164,1.621,1.864,1.862,1.623,1.337,1.103,30.385,1.932,20:15,2024-09-10
Ocuri,0.999,0.952,0.924,0.937,1.038,1.212,1.189,1.264,1.297,1.266,1.378,1.453,1.512,1.496,1.504,1.597,1.418,1.18,1.582,2.035,1.841,1.645,1.339,1.135,32.191,2.048,19:45,2024-09-11
Ocuri,1.014,0.986,1.113,1.141,1.111,1.254,1.173,1.288,1.249,1.253,1.367,1.502,1.512,1.535,1.51,1.499,1.389,1.304,1.672,1.945,1.766,1.497,1.238,1.099,32.415,1.965,19:45,2024-09-12
Ocuri,1.03,0.983,0.977,0.976,1.064,1.203,1.176,1.191,1.357,1.35,1.414,1.517,1.481,1.488,1.404,1.369,1.265,1.18,1.517,1.856,1.797,1.542,1.247,1.067,31.446,1.857,20:00,2024-09-13
Ocuri,0.988,1.038,1.152,1.165,1.263,1.431,1.321,1.363,1.322,1.322,1.204,1.115,1.015,0.967,0.976,0.943,0.834,0.931,1.383,1.7,1.594,1.381,1.208,1.077,28.692,1.719,19:30,2024-09-14
Ocuri,1.001,0.971,0.941,0.978,0.993,0.964,0.788,0.727,0.754,0.786,0.782,0.775,0.779,0.801,0.81,0.832,0.84,0.874,1.261,1.764,1.675,1.472,1.252,1.078,23.896,1.779,19:30,2024-09-15
Ocuri,0.993,0.956,1.011,1.01,1.027,1.172,0.98,1.111,1.036,0.994,1.11,1.257,1.379,1.376,1.386,1.405,1.258,1.177,1.569,1.991,1.891,1.613,1.274,1.062,30.035,1.997,19:30,2024-09-16
Ocuri,1.012,0.962,0.958,0.95,1.099,1.177,1.101,1.291,1.283,1.222,1.278,1.38,1.472,1.501,1.606,1.566,1.518,1.308,1.708,2.081,1.999,1.75,1.404,1.214,32.835,2.12,19:00,2024-09-17
Ocuri,1.142,1.136,1.201,1.204,1.236,1.321,1.255,1.393,1.346,1.315,1.361,1.453,1.517,1.601,1.564,1.495,1.393,1.246,1.67,2.038,1.916,1.562,1.249,1.043,33.654,2.053,19:45,2024-09-18
Ocuri,0.986,0.999,1.112,1.232,1.202,1.284,1.199,1.311,1.316,1.226,1.302,1.42,1.452,1.453,1.505,1.472,1.41,1.291,1.665,2.167,2.035,1.767,1.437,1.205,33.445,2.189,19:30,2024-09-19
Ocuri,1.211,1.174,1.19,1.198,1.226,1.364,1.327,1.371,1.323,1.372,1.397,1.459,1.486,1.468,1.426,1.362,1.324,1.288,1.519,1.941,1.828,1.524,1.289,1.17,33.233,1.963,19:15,2024-09-20
Ocuri,1.257,1.191,1.175,1.174,1.34,1.51,1.427,1.254,1.233,1.295,1.273,1.179,1.087,1.046,0.966,0.924,0.817,0.791,1.18,1.637,1.569,1.347,1.153,1.033,28.856,1.651,19:45,2024-09-21
Ocuri,0.961,0.922,0.887,0.886,0.894,0.945,0.727,0.698,0.699,0.72,0.738,0.74,0.76,0.798,0.814,0.825,0.815,0.854,1.258,1.763,1.674,1.434,1.227,1.069,23.107,1.796,19:30,2024-09-22
Ocuri,0.987,0.945,0.905,0.941,0.988,1.02,0.858,0.995,0.972,0.893,0.976,1.206,1.28,1.329,1.341,1.319,1.266,1.115,1.353,1.791,1.64,1.385,1.177,1.049,27.727,1.837,19:30,2024-09-23
Ocuri,1.09,0.98,1.032,1.025,1.02,1.165,1.08,1.239,1.244,1.268,1.273,1.442,1.385,1.366,1.443,1.417,1.375,1.228,1.612,2.056,1.95,1.665,1.35,1.181,31.881,2.082,19:30,2024-09-24
