Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Palca,0.597,0.566,0.553,0.549,0.577,0.655,0.721,0.727,0.788,0.818,0.708,0.635,0.602,0.633,0.675,0.637,0.656,0.683,0.778,0.97,0.959,0.833,0.714,0.655,16.686,0.99,20:00,2024-09-01
Palca,0.621,0.597,0.581,0.551,0.54,0.581,0.597,0.729,0.999,1.217,1.523,1.657,1.313,1.575,1.47,1.4,1.85,1.607,1.431,1.091,1.079,1.145,1.104,1.004,26.26,1.946,16:45,2024-09-02
Palca,0.759,0.886,1.011,0.834,0.733,0.756,0.806,1.274,1.468,1.605,1.837,1.725,1.571,1.561,1.508,1.609,1.952,1.686,1.507,1.113,1.222,1.425,1.384,1.2,31.429,2.04,16:45,2024-09-03
Palca,0.977,0.978,1.156,0.991,0.88,0.978,1.063,1.535,1.679,1.648,1.941,1.683,1.421,1.592,1.559,1.724,1.993,1.997,1.565,1.335,1.42,1.435,1.438,1.309,34.295,2.071,17:45,2024-09-04
Palca,0.981,1.13,1.176,1.175,1.044,0.98,0.953,1.446,1.612,1.664,1.942,1.747,1.508,1.658,1.617,1.748,2.227,1.94,1.406,1.202,1.238,1.355,1.253,1.085,34.085,2.349,16:45,2024-09-05
Palca,0.863,0.871,0.943,0.915,0.858,1.012,1.074,1.715,1.666,1.742,1.84,1.775,1.456,1.31,1.305,1.448,1.484,1.004,0.961,1.094,1.084,0.96,0.804,0.683,28.861,1.914,10:45,2024-09-06
Palca,0.693,0.702,0.688,0.754,1.097,0.904,0.875,0.827,0.734,0.659,0.712,0.759,0.743,0.772,0.857,0.764,0.804,0.749,0.804,1.06,1.066,0.94,0.779,0.693,19.432,1.164,04:30,2024-09-07
Palca,0.71,0.721,0.759,0.764,0.739,0.795,0.795,0.812,0.772,0.717,0.738,0.791,0.787,0.774,0.856,0.83,0.834,0.861,0.846,0.971,0.97,0.882,0.756,0.667,19.144,0.985,20:15,2024-09-08
Palca,0.663,0.681,0.685,0.596,0.566,0.739,0.789,0.834,0.926,0.774,1.009,1.142,0.888,0.879,0.991,1.257,1.585,1.513,1.143,1.121,1.165,1.16,1.036,0.968,23.107,1.674,16:45,2024-09-09
Palca,1.002,0.997,1.076,0.898,0.746,0.899,0.995,1.439,1.488,1.417,1.584,1.43,1.259,1.4,1.325,1.317,1.774,1.317,1.016,1.206,1.246,1.452,1.334,1.143,29.758,1.833,16:30,2024-09-10
Palca,0.923,0.976,1.084,0.982,0.922,1.036,1.077,1.43,1.526,1.305,1.401,1.267,1.095,1.383,1.656,1.655,2.19,2.042,1.332,1.248,1.389,1.533,1.402,1.182,32.03,2.318,17:00,2024-09-11
Palca,0.93,0.962,1.213,1.077,1.167,1.185,1.23,1.719,1.793,1.859,1.938,1.861,1.546,1.768,1.731,1.697,1.716,1.43,1.249,1.356,1.31,1.135,0.902,0.737,33.505,2.06,10:45,2024-09-12
Palca,0.669,0.645,0.675,0.728,0.86,0.909,1.004,1.506,1.528,1.398,1.547,1.408,1.41,1.534,1.578,1.494,1.561,1.338,1.225,1.147,1.169,1.074,0.841,0.704,27.949,1.617,14:15,2024-09-13
Palca,0.663,0.654,1.031,1.027,0.779,0.82,0.817,0.833,0.849,0.847,0.856,0.862,0.872,0.797,0.774,0.851,0.778,0.706,0.821,1.019,0.984,0.929,0.831,0.714,20.113,1.17,02:45,2024-09-14
Palca,0.639,0.546,0.542,0.55,0.712,0.739,0.735,0.789,0.835,0.857,0.901,0.908,0.934,0.933,0.865,0.877,0.838,0.787,0.864,1.059,1.044,0.932,0.846,0.748,19.476,1.131,20:00,2024-09-15
Palca,0.687,0.676,0.663,0.637,0.681,0.719,0.789,0.828,0.791,0.779,1.105,1.145,0.812,0.866,0.96,1.055,1.303,1.242,1.083,1.195,1.183,1.315,1.272,1.031,22.813,1.374,17:15,2024-09-16
Palca,0.835,0.889,0.896,0.746,0.784,0.775,0.804,0.962,0.996,1.017,1.279,1.043,0.91,0.868,0.909,0.95,1.24,1.076,0.885,1.065,1.117,1.309,1.193,1.003,23.549,1.346,21:45,2024-09-17
Palca,0.803,0.882,0.883,0.772,0.679,0.79,0.823,0.998,1.004,0.915,1.139,0.962,0.892,0.874,0.93,0.97,1.207,1.168,1.014,1.052,1.046,1.075,1.141,0.926,22.943,1.315,17:00,2024-09-18
Palca,0.712,0.821,0.928,0.855,0.819,0.899,0.913,1.098,1.339,1.631,1.987,1.625,1.477,1.454,1.681,1.766,2.143,1.978,1.391,1.178,1.199,1.244,1.337,1.126,31.597,2.233,16:45,2024-09-19
Palca,0.838,0.902,1.059,0.93,1.046,1.064,1.031,1.665,1.729,1.784,2.192,1.776,1.496,1.709,1.705,1.628,1.821,1.529,1.386,1.204,1.204,1.226,1.109,0.982,33.011,2.242,10:45,2024-09-20
Palca,0.844,0.704,0.678,0.628,0.596,0.735,0.777,0.734,0.663,0.674,0.707,0.754,0.731,0.747,0.736,0.744,0.759,0.698,0.828,1.05,0.98,0.855,0.748,0.673,18.038,1.076,19:30,2024-09-21
Palca,0.633,0.681,0.646,0.655,0.666,0.68,0.579,0.047,0,0,0,0,0,0,0,0,0,0.314,0.761,0.925,0.947,0.88,0.764,0.661,9.837,0.961,20:00,2024-09-22
Palca,0.582,0.534,0.52,0.509,0.656,0.756,0.784,0.813,0.872,1.092,1.321,1.277,1.049,1.095,1.3,1.419,1.614,1.592,1.222,1.04,1.082,1.152,1.182,0.938,24.398,1.677,16:45,2024-09-23
Palca,0.641,0.841,0.953,0.82,0.746,0.749,0.778,1.288,1.354,1.531,1.762,1.634,1.486,1.624,1.586,1.608,1.839,1.58,1.264,1.017,1.104,1.207,1.146,0.921,29.476,1.937,16:30,2024-09-24
Palca,0.69,0.838,0.865,0.753,0.749,0.716,0.887,1.419,1.579,1.565,1.476,1.44,1.339,1.361,1.397,1.519,1.928,2.02,1.461,1.248,1.239,1.277,1.194,1.031,29.989,2.132,17:15,2024-09-25
Palca,0.789,0.932,0.997,0.908,0.912,0.854,0.915,1.537,1.623,1.672,1.83,1.747,1.455,1.611,1.656,1.88,2.143,1.924,1.375,1.12,1.164,1.281,1.224,0.932,32.479,2.294,17:00,2024-09-26
Palca,0.67,0.783,0.903,0.845,1.038,0.968,0.936,1.465,1.62,1.648,1.845,1.414,1.038,1.198,1.358,1.52,1.695,1.255,1.005,1.109,1.049,0.931,0.746,0.611,27.647,1.866,10:45,2024-09-27
Palca,0.55,0.599,0.846,0.535,0.698,0.693,0.761,0.759,0.813,0.774,0.731,0.72,0.729,0.757,0.852,0.787,0.895,0.872,0.922,1.041,1.001,0.952,0.828,0.68,18.794,1.061,20:00,2024-09-28
Palca,0.613,0.588,0.56,0.554,0.643,0.693,0.675,0.752,0.815,0.785,0.807,0.774,0.774,0.861,0.861,0.798,0.791,0.707,0.779,0.951,0.969,0.888,0.746,0.65,18.031,0.998,20:00,2024-09-29
Palca,0.594,0.582,0.563,0.622,0.718,0.695,0.677,0.658,0.608,0.794,1.051,0.985,0.701,0.851,0.933,1.166,1.418,1.154,0.72,0.846,0.919,0.844,0.689,0.587,19.37,1.481,17:00,2024-09-30
