Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Paracaya,9.226,8.681,8.589,8.633,9.009,9.859,9.57,9.887,10.913,11.491,11.882,11.853,11.723,11.657,11.569,11.386,11.222,11.492,13.741,14.939,13.879,12.465,10.813,9.431,263.907,15.596,19:00,2024-09-01
Paracaya,8.824,8.487,8.369,8.455,9.049,10.722,11.842,12.295,11.879,12.184,12.376,12.349,11.929,12.159,12.495,12.385,12.382,12.539,14.312,15.101,14.083,12.921,11.265,9.844,278.241,15.56,19:00,2024-09-02
Paracaya,9.169,8.829,8.767,9.033,9.763,11.045,11.604,11.765,11.756,12.042,12.01,12.179,11.421,11.832,12.151,11.943,11.773,11.997,13.975,15.232,14.45,13.364,11.424,10.17,277.691,15.371,19:30,2024-09-03
Paracaya,9.319,8.952,8.839,9.042,9.682,11.109,11.892,12.315,12.219,12.488,12.559,12.659,11.949,12.356,12.761,12.859,12.858,12.681,14.304,15.236,14.302,13.218,11.516,10.161,285.275,15.677,19:00,2024-09-04
Paracaya,9.367,9.034,8.98,9.136,9.718,11.313,12.434,12.738,12.437,12.722,12.545,12.644,12.118,12.411,12.842,12.724,12.862,12.81,14.7,15.628,14.677,13.592,11.681,10.34,289.452,16.138,19:00,2024-09-05
Paracaya,9.617,9.181,9.2,9.335,10.052,11.696,12.383,12.826,12.566,12.934,13.062,13.184,12.629,12.861,13.248,13.057,13.086,13.003,14.636,15.667,14.827,13.825,12.12,10.834,295.825,16.22,19:00,2024-09-06
Paracaya,9.932,9.433,9.385,9.499,10.191,11.472,11.325,11.927,12.6,13.017,13.182,13.157,12.974,13.027,13.069,12.837,12.723,12.697,14.544,15.249,14.362,13.397,11.821,10.627,292.446,15.808,19:00,2024-09-07
Paracaya,9.855,9.487,9.377,9.489,9.994,11.195,10.806,11.201,11.932,12.494,12.744,12.603,12.555,12.552,12.472,12.336,12.273,12.377,14.285,15.219,14.203,13.03,11.234,10.005,283.718,15.821,19:00,2024-09-08
Paracaya,9.251,8.902,8.893,8.931,9.553,11.27,12.086,12.649,12.352,12.758,12.71,12.849,12.392,12.527,12.861,12.769,12.889,12.957,14.881,15.458,14.507,13.427,11.512,10.287,288.669,16.33,19:00,2024-09-09
Paracaya,9.454,9.115,9.191,9.443,10.165,11.608,11.999,12.193,12.367,12.695,12.719,12.754,11.979,12.399,12.93,13.053,13.211,12.994,14.863,15.432,14.706,13.44,11.674,10.393,290.776,16.249,19:00,2024-09-10
Paracaya,9.474,9.099,9.012,9.185,9.836,11.348,12.128,12.682,12.903,13.148,13.1,13.089,12.261,12.709,13.179,13.183,13.071,13.417,15.306,15.477,14.836,13.677,11.899,10.515,294.53,16.398,19:00,2024-09-11
Paracaya,9.692,9.218,9.322,9.438,10.129,11.913,12.778,13.238,13.188,13.316,13.305,13.31,12.839,13.231,13.647,13.706,13.542,13.322,14.874,15.583,14.57,13.524,11.744,10.377,299.802,16.466,19:00,2024-09-12
Paracaya,9.525,9.198,9.195,9.423,10.311,11.762,12.105,12.779,12.855,13.07,13.1,13.251,12.699,13.101,13.436,13.153,12.569,12.638,14.194,15.32,14.438,13.575,11.95,10.731,294.375,15.859,19:00,2024-09-13
Paracaya,9.788,9.337,9.344,9.503,10.1,11.404,11.525,12.077,12.914,13.32,13.53,13.521,13.146,12.762,12.969,12.738,12.516,12.79,14.463,14.878,13.854,12.986,11.488,10.352,291.303,15.548,19:00,2024-09-14
Paracaya,9.648,9.16,8.967,8.96,9.557,10.839,10.415,10.585,11.23,11.724,12.04,12.051,11.809,12.047,12.014,11.79,11.668,11.784,13.674,14.997,14.065,12.936,11.346,10.136,273.437,15.34,19:30,2024-09-15
Paracaya,9.317,8.888,8.951,8.964,9.684,11.136,12.13,12.538,12.249,12.539,12.705,12.812,12.494,12.634,12.746,12.717,12.652,12.737,14.37,15.314,14.369,13.081,11.267,10.036,286.327,15.99,19:00,2024-09-16
Paracaya,9.367,9.111,9.183,9.371,10.09,11.833,12.028,12.391,12.481,12.885,12.768,12.807,12.197,12.594,13.02,12.974,13.061,13.121,14.838,15.81,15.002,13.851,11.915,10.408,293.102,16.348,19:00,2024-09-17
Paracaya,9.622,9.203,9.236,9.328,9.964,11.619,12.349,12.954,12.748,13.218,13.22,13.125,12.599,12.959,13.34,13.4,13.271,13.096,14.967,15.885,14.963,13.896,11.915,10.596,297.471,16.72,19:00,2024-09-18
Paracaya,9.725,9.372,9.404,9.591,10.366,12.124,12.764,13.337,13.326,13.373,13.489,13.561,13.062,13.488,13.943,14.02,14.174,13.925,15.034,15.868,14.915,14.042,12.318,10.961,306.18,16.654,19:00,2024-09-19
Paracaya,10.125,9.837,9.846,10.083,10.797,12.299,13.046,13.987,13.78,13.804,13.527,13.553,12.922,13.217,13.677,13.553,13.778,13.925,15.361,16.095,15.071,14.049,12.41,11,309.74,16.785,19:00,2024-09-20
Paracaya,10.317,9.981,9.851,10.005,10.704,12.053,12.015,12.725,13.419,13.771,13.876,13.897,13.669,13.469,13.359,12.996,12.934,12.893,14.68,15.624,14.721,13.676,12.235,11.163,304.028,16.531,19:00,2024-09-21
Paracaya,10.22,9.657,9.498,9.704,10.203,11.428,10.928,11.87,12.765,13.218,13.497,13.539,13.298,13.159,13.099,12.882,12.807,12.928,14.68,15.844,14.832,13.709,12.126,10.755,296.642,16.348,19:00,2024-09-22
Paracaya,10.018,9.627,9.623,9.711,10.266,11.841,12.364,13.117,13.179,13.453,13.556,13.745,13.151,13.378,13.702,13.659,13.668,13.619,15.197,16.264,15.347,14.216,12.447,10.991,306.137,16.783,19:00,2024-09-23
Paracaya,10.229,9.78,9.763,10.086,10.738,12.306,12.414,13.043,13.051,13.316,13.209,13.129,12.689,13.117,13.798,13.732,13.618,13.551,14.922,16.273,15.403,14.183,12.248,10.827,305.421,16.79,19:00,2024-09-24
Paracaya,10.09,9.797,9.816,9.977,10.542,12.189,12.37,13.17,13.171,13.642,13.756,13.829,13.248,13.513,13.754,13.252,13.796,13.655,15.239,16.107,15.199,13.981,12.308,10.989,307.386,17.157,19:00,2024-09-25
Paracaya,10.274,9.754,9.694,9.97,10.649,12.292,12.763,13.268,13.346,13.527,13.573,13.604,13.006,13.251,13.654,13.527,13.522,13.484,15.221,15.866,14.936,13.888,12.043,10.755,305.864,16.398,19:00,2024-09-26
Paracaya,10.013,9.727,9.754,10.017,10.774,12.452,12.731,13.332,13.286,13.496,13.746,13.758,13.104,13.553,14.083,14.084,13.599,13.304,14.81,15.214,14.349,13.485,11.971,10.656,305.295,15.859,19:00,2024-09-27
Paracaya,9.974,9.609,9.643,9.826,10.515,11.855,11.425,12.373,13.182,13.09,13.353,13.559,13.281,13.519,13.276,13.026,12.851,12.643,13.911,14.782,14.14,13.442,11.929,10.778,295.983,15.467,19:00,2024-09-28
Paracaya,10.118,9.542,9.386,9.493,10.116,11.249,10.651,11.419,12.235,12.563,12.893,12.834,12.692,12.765,12.587,12.472,12.396,12.418,13.924,15.356,14.405,13.244,11.591,10.27,286.614,15.559,19:00,2024-09-29
Paracaya,9.587,9.239,9.274,9.417,10.445,11.619,12.07,12.903,12.797,13.084,13.444,13.51,12.884,13.02,13.257,12.899,13.037,12.869,14.46,15.758,14.847,13.566,11.778,10.52,296.281,16.094,19:00,2024-09-30
Paracaya,9.87,9.525,9.42,9.784,10.859,12.243,12.299,12.804,12.818,13.179,13.176,13.062,12.747,13.134,13.662,13.519,13.812,13.803,15.298,16.398,15.421,14.264,12.328,10.964,304.39,16.872,19:00,2024-10-01
Paracaya,10.18,9.813,9.846,10.048,11.063,12.327,12.728,13.308,13.224,13.417,13.386,13.57,12.979,13.569,14.005,13.661,13.649,13.906,15.796,16.281,15.408,14.37,12.539,11.251,310.321,17.119,19:00,2024-10-02
Paracaya,10.41,10.049,10.017,10.258,11.018,12.489,13.003,13.512,13.354,13.516,13.65,13.553,13.055,13.486,13.987,13.964,14.065,14.028,15.703,16.472,15.686,14.484,12.508,11.178,313.444,17.127,19:00,2024-10-03
Paracaya,10.458,10.09,10.019,10.328,11.25,12.487,12.857,13.376,13.327,13.551,13.673,13.827,13.336,13.551,14.03,13.904,13.822,13.636,15.112,16.159,15.45,14.3,12.511,11.207,312.259,16.889,19:00,2024-10-04
Paracaya,10.327,9.966,9.891,10.104,11.106,12.155,11.848,12.802,13.341,13.923,13.945,14.106,13.799,13.788,13.788,13.599,13.399,13.322,14.842,15.813,15.157,14.256,12.549,11.323,309.147,16.616,19:00,2024-10-05
Paracaya,10.431,9.99,9.832,9.929,10.964,11.871,11.353,12.234,12.886,13.276,13.195,13.188,13.208,13.396,13.476,13.263,13.302,13.049,14.337,16.011,15.133,13.652,11.781,10.542,300.298,16.279,19:00,2024-10-06
Paracaya,9.94,9.434,9.442,9.573,10.617,11.86,12.584,13.409,13.015,13.252,13.315,13.632,13.007,13.308,13.627,13.53,13.475,13.405,14.978,16.163,15.387,14.564,12.641,11.345,305.502,16.659,19:00,2024-10-07
Paracaya,10.686,10.33,10.407,10.6,11.253,12.444,12.769,13.24,13.251,13.501,13.534,13.472,12.675,13.108,13.605,13.422,13.633,13.484,14.975,15.974,15.2,13.932,12.011,10.793,308.296,16.608,19:00,2024-10-08
Paracaya,10.031,9.733,9.721,9.97,11.002,12.324,12.954,13.732,13.78,13.903,13.783,13.761,13.278,13.573,14.07,13.853,13.902,13.597,14.692,16.014,15.129,14.086,12.267,10.906,310.058,16.485,19:00,2024-10-09
Paracaya,10.285,9.867,10.015,10.234,11.204,12.207,12.685,13.579,13.679,13.908,13.908,13.995,13.309,13.597,13.985,13.782,13.748,13.558,14.806,16.548,15.71,14.658,12.713,11.221,313.2,16.728,19:00,2024-10-10
Paracaya,10.487,9.956,9.919,10.095,11.131,12.178,13.018,13.62,13.671,13.881,13.835,13.912,13.381,13.697,14.178,14.129,14.111,14.139,14.986,16.409,15.478,14.246,12.561,11.246,314.263,16.743,19:00,2024-10-11
Paracaya,10.529,10.108,10.191,10.449,11.494,12.408,12.294,13.36,14.065,14.286,14.479,14.523,14.195,14.078,13.945,13.618,13.413,13.516,14.935,16.036,15.229,14.325,12.634,11.406,315.514,16.459,19:00,2024-10-12
Paracaya,10.67,10.213,10.139,10.312,11.155,11.844,11.39,12.296,12.861,13.185,13.394,13.435,13.308,13.212,13.156,12.923,13.002,13.205,14.789,16.269,15.237,13.883,11.907,10.728,302.51,16.501,19:00,2024-10-13
Paracaya,10.108,9.669,9.637,9.81,10.789,11.892,12.962,13.733,13.486,13.515,13.632,13.691,13.143,13.429,13.726,13.794,13.688,13.723,14.82,16.243,15.408,14.157,12.271,11.087,308.411,16.637,19:00,2024-10-14
