Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Paraiso,3.517,3.315,3.287,3.187,3.054,2.956,2.62,2.402,2.483,2.579,2.65,2.79,2.916,3.034,3.235,3.288,3.165,3.122,3.762,4.066,3.992,3.786,3.482,3.364,76.048,4.164,19:00,2024-09-01
Paraiso,3.085,2.872,2.734,2.633,2.575,2.561,2.37,2.313,2.456,2.688,2.751,3.058,2.955,3.405,3.701,3.676,3.728,3.691,4.251,4.476,4.482,4.372,3.893,3.571,78.293,4.589,19:00,2024-09-02
Paraiso,3.176,2.967,2.847,2.745,2.683,2.637,1.586,2.392,2.497,2.904,3.059,3.284,3.184,3.75,4.2,4.134,3.945,3.907,4.613,4.808,4.978,4.774,4.592,3.856,83.513,5.021,20:30,2024-09-03
Paraiso,3.425,3.155,2.986,2.869,1.913,1.028,2.819,2.596,2.782,2.972,3.221,3.575,3.429,3.858,4.114,3.473,3.866,4.064,3.71,4.248,5.181,5.123,4.86,4.284,83.546,5.275,20:30,2024-09-04
Paraiso,4.07,3.768,3.54,3.387,3.258,3.162,2.917,2.81,3.016,3.027,3.167,3.171,2.961,3.359,3.479,3.442,3.355,3.735,4.401,4.53,4.543,4.418,3.767,3.506,84.787,4.617,20:45,2024-09-05
Paraiso,3.214,2.965,2.847,2.749,2.681,0.943,0.84,2.125,2.809,3.043,3.233,3.412,3.231,3.475,3.891,3.769,3.755,3.939,4.453,4.551,4.501,4.111,3.567,3.209,77.311,4.657,20:00,2024-09-06
Paraiso,3.004,2.855,2.73,2.668,2.582,2.577,2.297,2.254,2.416,2.683,3.075,3.408,3.24,3.451,3.665,3.725,3.707,3.547,4.166,4.5,4.269,4.011,3.724,3.345,77.896,4.526,19:45,2024-09-07
Paraiso,3.092,3.027,3.006,2.942,2.874,2.838,2.499,2.311,2.433,2.496,2.798,3.021,3.19,3.468,3.639,3.707,3.676,3.63,4.128,4.528,4.44,4.257,3.983,3.639,79.618,4.556,19:45,2024-09-08
Paraiso,3.345,3.3,3.202,3.11,2.936,2.957,2.683,2.612,2.983,3.423,3.74,4.06,3.986,4.273,4.488,4.379,4.182,4.271,4.85,5.081,4.91,4.848,4.65,4.009,92.274,5.202,19:00,2024-09-09
Paraiso,3.538,3.469,3.272,3.143,2.589,0.025,0.462,2.645,2.994,3.454,3.902,4.172,3.841,4.381,4.553,4.35,4.086,4.143,4.857,5.188,5.305,5.208,4.941,4.371,88.885,5.338,21:00,2024-09-10
Paraiso,4.068,3.787,3.542,3.403,3.302,3.224,2.818,2.67,3.047,3.625,3.968,4.172,3.883,4.448,4.615,4.529,4.178,4.158,4.921,5.33,5.405,5.339,5.206,4.732,98.367,5.625,20:45,2024-09-11
Paraiso,4.194,4.211,4.018,3.836,3.716,3.571,3.097,3.05,2.49,4.001,4.187,4.382,4.416,4.568,3.849,3.901,3.888,2.535,4.461,4.896,5.093,5.254,5.057,4.541,97.208,5.273,21:30,2024-09-12
Paraiso,3.948,3.956,3.766,3.576,3.409,3.291,2.875,2.869,3.423,3.797,3.823,4.052,4.015,4.604,4.636,4.516,4.413,4.326,4.803,5.32,5.271,5.366,5.292,4.881,100.224,5.634,21:15,2024-09-13
Paraiso,4.604,4.422,4.378,4.036,3.862,3.712,3.172,3.059,3.291,3.593,3.65,3.785,3.771,3.9,3.843,3.742,3.511,3.431,4.071,4.321,4.131,3.622,3.508,3.214,90.628,4.671,00:15,2024-09-14
Paraiso,3.075,3.168,3.041,2.69,0.677,2.815,2.995,2.273,2.671,2.618,2.613,2.715,2.725,2.76,2.809,2.801,2.813,2.795,3.393,3.772,3.692,3.429,3.151,2.996,68.481,4.474,06:00,2024-09-15
Paraiso,2.835,2.662,2.581,2.522,2.541,2.548,2.35,2.294,2.528,2.883,3.069,3.161,2.962,3.331,3.594,3.548,3.427,3.602,3.877,4.159,4.123,3.863,3.708,3.195,75.363,4.204,19:45,2024-09-16
Paraiso,2.87,2.681,2.583,2.529,2.445,2.497,2.276,2.297,2.584,3.017,3.08,3.35,3.159,3.664,3.901,3.914,3.734,3.852,4.387,4.605,4.641,4.539,4.24,3.707,80.548,4.753,19:00,2024-09-17
Paraiso,3.291,3.137,2.988,2.883,2.838,2.791,2.491,2.518,2.882,3.213,3.483,3.482,3.38,3.997,4.293,4.28,4.029,3.994,4.762,5.086,5.261,5.209,4.841,4.287,89.412,5.324,20:30,2024-09-18
Paraiso,3.673,3.651,3.456,3.336,3.261,2.755,1.718,2.654,3.048,3.365,3.773,3.835,3.684,4.088,3.943,4.291,4.282,4.212,4.957,5.13,5.382,5.278,5.252,4.758,93.779,5.511,21:30,2024-09-19
Paraiso,4.138,3.818,3.946,3.79,3.651,3.113,2.584,2.628,3.142,3.718,4.04,4.225,4.036,4.64,4.787,4.717,4.585,4.472,5.082,4.888,4.967,5.084,4.933,4.547,99.527,5.37,19:00,2024-09-20
Paraiso,4.352,4.154,4.075,3.896,3.771,3.607,3.106,3.031,3.021,3.292,3.506,3.755,3.973,4.235,4.422,4.385,4.197,4.005,4.566,4.966,4.964,4.827,4.608,4.412,97.123,5.005,19:45,2024-09-21
Paraiso,0.781,0.026,0.026,0.026,0.027,0.026,0.253,3.044,3.226,3.511,3.765,3.686,3.86,4.135,4.361,4.308,4.111,3.913,4.548,4.425,4.774,4.647,4.387,4.213,70.078,4.822,20:45,2024-09-22
Paraiso,4.17,0.149,0,0,0,0,0,0,0.012,0.025,2.973,4.116,4.154,4.806,4.742,4.87,4.814,4.764,5.056,4.807,5.406,5.422,5.387,4.909,70.58,5.517,20:45,2024-09-23
Paraiso,4.474,4.077,3.885,3.981,3.817,3.633,3.138,3.388,3.87,4.095,4.255,4.35,4.234,4.816,5.152,4.815,4.622,4.616,5.154,4.961,5.378,5.454,5.248,4.947,106.36,5.627,18:45,2024-09-24
Paraiso,4.326,4.001,3.783,3.759,3.585,2.074,1.767,1.729,3.391,3.911,4.083,4.277,4.275,4.88,4.525,4.52,4.512,4.275,4.802,4.794,5.028,4.593,4.773,4.593,96.254,5.079,20:15,2024-09-25
Paraiso,4.463,4.561,4.413,4.182,4.026,2.626,2.11,2.062,3.22,4.019,4.138,4.292,4.264,4.736,4.848,5.065,4.365,3.74,4.285,4.791,4.928,4.968,4.729,4.772,99.598,5.18,21:15,2024-09-26
