Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Portugalete,3.113,3.05,3.06,3.238,3.243,3.335,3.178,3.163,3.373,3.225,3.18,3.318,3.185,3.158,3.093,3.16,3.28,3.338,3.368,3.405,3.555,3.483,3.255,2.988,77.738,3.63,20:30,2024-09-01
Portugalete,3.02,3.2,3.353,3.348,3.22,3.213,3.225,3.43,3.468,3.393,3.175,3.155,3.138,3.223,3.308,3.073,3.025,3.078,3.105,3.17,3.378,3.448,3.125,3.028,77.293,3.53,08:00,2024-09-02
Portugalete,3.183,3.365,2.38,2.218,2.4,2.928,3.525,3.325,3.268,3.215,3.068,2.945,2.945,3.003,3.028,3.178,3.223,3.245,3.26,3.15,3.355,3.43,3.278,3.013,73.923,3.59,06:15,2024-09-03
Portugalete,3.085,3.108,3.088,3.185,3.333,3.325,3.373,3.518,3.53,3.418,3.148,3.173,3.098,3.22,3.153,3.358,3.258,3.228,3.495,3.498,3.645,3.565,3.505,3.485,79.785,3.7,20:30,2024-09-04
Portugalete,3.385,3.43,3.455,3.368,3.275,3.398,3.44,3.443,3.253,3.4,3.458,3.283,3.255,3.44,3.328,3.288,3.123,3.195,3.223,3.305,3.295,3.393,3.358,3.208,79.993,3.58,06:15,2024-09-05
Portugalete,3.13,3.233,3.358,3.233,3.323,3.403,3.31,3.328,3.405,3.305,3.208,3.238,3.233,3.283,3.203,3.14,3.245,3.22,3.178,3.283,3.365,3.35,3.098,3.39,78.455,3.57,08:15,2024-09-06
Portugalete,3.323,3.413,3.305,3.305,3.325,3.708,3.485,3.178,3.245,3.125,3.163,3.228,3.14,3.143,3.11,3.115,3.145,3.04,3.2,3.46,3.48,3.325,3.315,3.075,78.348,3.75,06:00,2024-09-07
Portugalete,2.94,3.005,3.28,3.238,2.933,3.135,3.195,3.085,3.06,3.055,3.363,3.263,3.34,3.28,3.225,2.925,3.005,3.18,3.283,3.393,3.515,3.53,3.373,3.215,76.813,3.55,21:15,2024-09-08
Portugalete,3.138,3.035,3.1,3.263,3.248,3.1,3.153,3.205,3.2,3.093,3.283,3.328,3.195,3.04,3.263,3.135,2.903,3.04,3.36,3.32,3.355,3.293,3.333,3.453,76.83,3.52,23:45,2024-09-09
Portugalete,3.425,3.448,3.438,3.24,3.285,3.553,3.505,3.328,3.153,3.3,3.29,2.77,3.285,3.22,3.233,3.078,3.083,3.203,3.25,3.445,3.51,3.46,3.37,3.26,79.128,3.65,06:00,2024-09-10
Portugalete,3.06,3.065,2.205,1.94,2.668,2.888,2.988,3.163,3.06,3.108,3.325,3.373,3.223,3.273,3.38,3.24,3.085,3.02,3.18,3.393,3.425,3.47,3.365,3.293,74.185,3.52,21:30,2024-09-11
Portugalete,3.043,3.173,3.208,3.168,3.205,3.213,3.36,3.505,3.335,3.348,3.28,2.978,2.733,2.938,3.005,2.903,3.085,3.143,3.148,3.293,3.47,3.42,3.14,3.098,76.185,3.57,07:45,2024-09-12
Portugalete,3.088,3.055,3.113,3.205,3.143,3.155,3.213,3.27,3.34,3.298,3.453,3.565,3.305,3.2,3.348,3.203,3.148,3.268,3.353,3.373,3.42,3.373,3.26,3.468,78.61,3.64,11:30,2024-09-13
Portugalete,3.503,3.523,3.438,3.273,3.308,3.535,3.48,3.333,3.323,3.21,3.573,3.713,3.588,3.593,3.508,3.298,3.19,3.358,3.493,3.52,3.57,3.703,3.518,3.365,82.908,3.77,12:00,2024-09-14
Portugalete,3.218,3.223,3.248,3.203,3.29,3.46,3.323,3.405,3.22,2.768,3.498,3.538,3.268,3.333,3.185,3.263,3.253,3.355,3.475,3.485,3.26,3.31,3.29,3.353,79.218,3.6,11:30,2024-09-15
Portugalete,3.278,3.243,3.243,3.31,3.38,3.418,3.408,3.428,3.26,3.295,3.343,3.278,3.14,3.083,3.078,3.18,3.32,3.45,3.703,3.77,3.725,3.655,3.543,3.553,81.078,3.82,19:45,2024-09-16
Portugalete,3.455,3.42,3.4,3.393,3.308,3.598,3.715,3.48,3.575,3.545,3.613,3.615,3.453,3.428,3.388,3.308,3.193,3.335,3.51,3.565,3.638,3.575,3.488,3.363,83.355,3.75,06:00,2024-09-17
Portugalete,3.148,3.078,3.308,3.398,3.373,3.515,3.473,3.433,3.283,3.218,3.388,3.53,3.425,3.55,3.49,3.2,3.133,3.315,3.498,3.548,3.34,3.56,3.553,3.498,81.248,3.66,19:45,2024-09-18
Portugalete,3.56,3.693,3.545,3.548,3.665,3.723,3.668,3.488,3.345,3.5,3.64,3.595,3.545,3.428,3.235,3.155,3.143,3.36,3.543,3.7,3.6,3.503,3.445,3.38,84.003,3.86,06:15,2024-09-19
Portugalete,3.245,3.188,3.278,3.385,3.353,3.205,3.383,3.458,3.153,2.753,2.455,2.088,1.793,1.803,1.91,1.928,1.735,1.578,1.853,2.02,2.023,2.375,2.215,2.273,60.443,3.5,07:45,2024-09-20
Portugalete,2.23,1.96,1.955,1.933,2,2.4,2.428,2.278,1.843,1.793,1.958,1.955,1.75,1.888,2.25,2.07,2.025,2.063,2.098,2.285,2.248,2.26,2.243,2.188,50.095,2.6,06:00,2024-09-21
Portugalete,2.108,2.508,2.855,3.138,3.223,3.31,3.208,3.14,3.06,3.07,3.19,3.17,3.105,3.055,3.283,3.21,3.295,3.298,3.34,3.398,3.423,3.325,3.375,3.295,75.378,3.45,20:30,2024-09-22
Portugalete,3.125,3.11,3.105,3.26,3.263,3.42,3.395,3.435,3.153,3.235,3.4,3.288,3.245,3.205,3.39,3.265,3.343,3.285,3.335,3.255,3.558,3.51,3.305,3.545,79.428,3.61,20:45,2024-09-23
