Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Potosí - 115,41.531,40.792,40.223,39.727,39.051,38.738,37.696,36.743,36.985,38.578,39.527,39.92,38.877,38.919,40.044,40.665,40.585,40.995,44.596,46.695,46.713,46.114,44.529,41.404,979.646,46.869,20:00,2024-09-01
Potosí - 115,39.091,37.777,37.003,36.508,36.401,36.517,36.902,39.07,39.441,42.053,43.231,44.421,43.498,43.499,43.914,43.666,43.854,45.598,49.595,50.807,50.694,49.767,47.636,44.771,1025.711,50.949,20:15,2024-09-02
Potosí - 115,42.875,42.453,41.555,41.144,41.222,41.235,40.548,40.909,41.478,43.045,44.005,44.578,44.072,44.044,45.146,45.112,43.683,43.805,46.137,48.724,48.784,47.801,46.312,44.199,1052.863,49,20:30,2024-09-03
Potosí - 115,42.331,41.035,40.03,39.924,40.232,40.8,40.553,41.13,41.478,42.258,43.313,43.897,42.377,41.793,43.452,44.914,44.101,44.923,47.839,50.729,50.378,49.188,46.867,43.911,1047.449,50.949,19:30,2024-09-04
Potosí - 115,42.59,41.863,41.446,41.345,41.59,41.825,41.448,42.108,42.665,45.239,45.527,46.255,44.868,45.579,45.682,45.715,45.73,46.889,50.41,53.306,53.079,52.165,49.685,46.101,1093.107,53.455,19:30,2024-09-05
Potosí - 115,43.734,43.199,42.9,43.267,42.947,43.377,42.666,43.414,43.529,45.556,45.759,46.454,44.65,44.512,45.03,45.868,45.868,47.072,50.58,52.212,51.29,50.576,48.59,45.564,1098.609,52.641,19:15,2024-09-06
Potosí - 115,43.628,42.413,42.025,41.685,41.503,41.386,40.161,40.231,40.776,41.947,41.788,42.333,42.061,42.596,42.715,43.356,44.038,46.548,50.601,51.996,47.862,46.751,44.568,44.064,1047.028,52.287,19:00,2024-09-07
Potosí - 115,43.757,43.783,42.978,42.437,41.433,41.826,40.422,39.365,39.953,41.009,40.96,40.94,40.872,40.647,40.462,40.188,40.53,41.457,45.718,48.1,48.586,48.504,46.696,44.626,1025.246,48.757,21:30,2024-09-08
Potosí - 115,42.833,41.76,40.72,40.423,39.437,39.521,39.711,41.164,41.127,43.297,44.569,45.842,45.422,45.452,47.461,47.501,47.405,47.387,50.278,52.392,52.103,51.308,49.629,47.445,1084.186,52.667,20:00,2024-09-09
Potosí - 115,45.803,45.367,44.679,45.162,45.343,45.835,45.248,45.594,45.436,47.018,47.282,47.534,45.849,45.77,46.615,46.947,46.251,47.475,50.614,52.948,52.191,51.56,49.473,47.057,1133.046,53.303,19:45,2024-09-10
Potosí - 115,45.098,43.549,43.458,43.146,43.689,43.936,43.436,44.956,45.544,46.545,47.281,47.035,46.396,46.569,47.969,47.289,46.802,47.414,49.299,52.481,52.759,52.075,50.709,48.76,1126.193,52.985,20:15,2024-09-11
Potosí - 115,47.645,46.775,46.065,45.696,45.852,45.312,43.937,44.567,44.471,45.327,46.146,47.122,45.942,45.492,46.149,46.195,45.635,47.196,50.877,53.369,53.654,53.424,50.793,47.841,1135.479,54.091,20:15,2024-09-12
Potosí - 115,46.302,45.88,45.218,44.301,44.95,45.523,45.397,47.067,46.991,47.551,46.771,46.306,42.443,44.384,45.557,46.349,46.061,47.404,49.782,53.15,52.642,51.702,50.09,47.772,1129.589,53.55,19:45,2024-09-13
Potosí - 115,46.85,46.175,45.589,44.937,44.182,44.719,43.573,42.823,43.386,44.67,45.732,46.676,45.449,45.313,45.226,44.292,43.776,45.88,50.168,53.173,52.905,51.712,49.486,47.64,1114.329,53.215,19:30,2024-09-14
Potosí - 115,45.671,45.118,44.861,44.406,44.053,43.952,40.725,38.695,38.92,39.714,40.039,40.254,39.605,41.203,42.32,42.818,43.142,43.912,46.443,48.689,48.342,47.564,45.663,43.656,1039.76,48.84,19:00,2024-09-15
Potosí - 115,41.837,40.252,39.135,38.371,37.819,37.465,37.63,39.461,39.507,40.496,42.221,43.748,42.693,41.793,42.149,41.705,41.941,43.065,47.051,50.114,49.9,49.258,47.69,45.11,1020.41,50.337,20:15,2024-09-16
Potosí - 115,43.782,42.693,42.42,41.868,41.447,42.448,41.035,41.674,41.86,43.61,43.464,44.413,44.361,44.094,44.374,43.986,43.486,44.24,47.009,51.813,51.292,50.683,49.165,47.281,1072.495,52.071,20:00,2024-09-17
Potosí - 115,45.708,45.161,44.647,44.528,43.617,43.396,42.58,43.424,43.967,46.052,46.483,48.063,46.459,45.845,46.41,46.253,46.257,47.394,50.32,52.639,51.975,50.868,48.063,45.333,1115.438,52.758,19:30,2024-09-18
Potosí - 115,43.41,43.282,39.846,41.306,39.132,40.343,42.686,44.098,45.281,46.625,46.397,46.865,45.353,46.529,47.309,47.769,47.487,48.255,50.373,52.6,52.319,51.363,49.481,47.279,1105.384,52.786,19:30,2024-09-19
Potosí - 115,45.085,44.457,43.796,43.831,44.541,44.603,43.757,44.492,44.597,44.038,44.286,44.472,42.853,41.77,43.839,42.8,42.524,43.659,46.754,51.177,50.566,49.679,48.037,45.595,1081.207,51.251,20:00,2024-09-20
Potosí - 115,44.278,43.083,42.768,42.636,42.289,42.665,41.864,41.517,42.436,43.068,41.895,41.679,42.03,42.191,42.218,41.964,42.065,43.327,46.243,48.449,48.021,47.698,46.902,45.016,1046.301,48.534,19:30,2024-09-21
Potosí - 115,43.622,43.147,42.642,42.437,41.063,41.211,38.941,38.244,38.44,39.812,40.432,40.608,40.37,40.52,41.337,41.283,41.767,40.594,44.406,47.557,47.404,46.342,44.726,42.767,1009.669,47.684,20:30,2024-09-22
Potosí - 115,40.959,40.1,40.068,40.582,40.198,40.604,37.839,39.737,41.23,42.878,43.663,44.837,43.957,43.458,44.278,45.123,44.965,45.904,49.037,51.777,52.337,51.667,49.304,47.306,1061.808,52.501,20:45,2024-09-23
Potosí - 115,46.185,44.782,44.479,44.162,43.986,43.765,43.27,43.898,44.945,46.607,46.765,47.753,47.259,46.474,47.393,47.9,46.619,47.046,50.033,52.392,51.745,51.189,49.523,46.976,1125.142,52.59,19:15,2024-09-24
Potosí - 115,45.568,45.404,45.24,44.043,43.859,44.259,43.611,44.82,44.401,44.454,44.742,45.11,43.538,43.057,43.903,44.858,43.936,45.779,49.662,52.383,52.017,51.148,49.006,46.845,1101.64,52.486,20:00,2024-09-25
Potosí - 115,45.422,44.861,44.504,44.083,43.79,43.255,41.429,41.8,42.627,42.98,38.943,43.464,43.927,44.327,45.048,45.184,45.678,46.332,48.489,51.132,50.499,50.159,48.747,46.092,1082.767,51.201,19:45,2024-09-26
Potosí - 115,44.364,42.916,43.399,43.312,43.213,43.265,42.887,44.638,44.571,44.952,44.899,44.955,44.157,42.722,39.521,41.752,44.283,44.973,47.823,51.353,50.876,50.675,48.864,46.265,1080.63,51.499,19:45,2024-09-27
