Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Potosí 115,41.956,40.573,39.373,38.892,40.141,40.064,41.233,42.698,41.506,42.103,42.371,43.663,42.812,42.203,43.281,44.079,44.014,45.088,45.713,46.431,48.219,47.929,45.589,42.698,1032.626,48.525,21:00,2024-11-25
Potosí 115,42.44,41.839,41.988,41.65,41.337,41.198,38.792,40.663,43.448,44.434,43.642,44.667,44.027,38.579,44.635,47.749,49.238,49.874,51.32,53.716,53.577,52.478,49.798,47.349,1088.436,53.856,19:30,2024-11-26
Potosí 115,45.951,45.568,45.064,45.72,45.784,45.351,45.403,46.211,45.327,41.538,41.564,43.462,43.208,41.952,43.079,45.743,48.535,47.444,48.999,54.283,54.518,54.175,51.344,48.542,1118.762,54.543,21:00,2024-11-27
Potosí 115,46.156,44.993,44.246,43.969,45.204,45.268,45.409,46.717,46.737,46.899,46.954,47.548,42.707,42.012,44.758,46.624,46.426,47.836,50.318,53.407,53.557,52.504,50.432,47.69,1128.37,53.81,20:15,2024-11-28
Potosí 115,45.298,44.751,44.346,44.34,44.458,40.388,43.724,41.08,42.84,45.971,47.027,47.344,45.2,47.259,35.536,44.726,46.466,47.63,49.15,52.937,53.135,52.137,50.625,48.251,1104.615,53.255,20:15,2024-11-29
Potosí 115,45.858,44.429,44.586,44.286,44.467,44.058,44.804,45.556,46.079,46.948,46.801,45.277,44.355,45.588,45.569,45.351,44.69,46.081,47.665,50.72,50.312,49.599,48.124,45.708,1106.907,51.012,19:30,2024-11-30
Potosí 115,44.496,44.569,43.834,43.372,43.566,42.932,38.685,34.99,35.026,36.401,36.764,37.322,36.597,35.765,36.423,37.658,27.937,34.658,41.391,45.974,46.336,45.984,46.186,44.644,961.51,46.482,20:45,2024-12-01
Potosí 115,43.244,42.759,42.337,41.887,41.591,40.893,41.302,42.721,43.051,45.333,46.226,47.425,45.886,44.486,47.056,47.742,47.166,48.737,49.356,51.61,51.74,50.972,49.475,47.569,1100.56,51.891,19:45,2024-12-02
Potosí 115,45.893,44.804,43.798,43.726,43.77,42.967,42.502,43.719,45.331,46.975,47.432,48.89,48.268,48.028,49.226,48.766,48.461,49.029,49.303,52.64,52.432,51.638,50.055,47.961,1135.611,53.13,20:00,2024-12-03
Potosí 115,46.549,45.94,45.336,46.191,45.779,45.625,45.116,45.279,45.187,45.859,45.831,46.763,46.45,46.42,47.202,47.173,46.179,46.323,47.346,52.5,53.056,53.214,51.567,48.899,1135.78,53.325,21:45,2024-12-04
Potosí 115,47.258,45.55,44.889,44.75,44.659,44.682,44.523,45.991,46.107,47.474,47.733,49.149,48.262,48.293,47.876,47.458,47.773,48.999,50.378,53.668,54.904,54.419,52.241,50.01,1157.044,54.937,20:30,2024-12-05
Potosí 115,48.159,46.822,45.953,45.821,45.457,44.768,44.064,45.754,46.498,48.568,49.868,49.914,48.515,48.023,48.287,44.797,46.543,48.028,48.695,53.281,54.077,51.758,46.871,47.336,1147.855,54.295,20:00,2024-12-06
Potosí 115,46.662,45.615,44.946,44.675,43.85,42.748,40.053,41.842,42.656,44.284,45.038,45.189,45.4,45.445,45.643,46.069,46.696,47.325,48.133,52.035,51.838,50.093,47.932,46.137,1100.302,52.398,20:00,2024-12-07
Potosí 115,44.837,44.07,43.587,43.705,44.018,43.207,42.259,42.481,42.813,43.058,42.82,43.739,43.386,43.177,43.214,43.591,44.279,38.606,36.518,42.592,45.534,47.655,46.608,45.112,1040.864,47.747,21:45,2024-12-08
Potosí 115,43.105,42.591,41.982,41.714,41.595,39.824,39.593,40.595,41.292,42.922,42.845,44.067,43.782,43.963,44.409,44.378,44.965,45.952,45.998,49.31,49.112,48.35,47.349,44.693,1054.383,49.736,19:45,2024-12-09
Potosí 115,43.024,42.21,42.173,42.447,42.509,42.056,41.112,41.896,42.834,44.984,44.803,45.593,45.373,45.566,46.222,46.005,45.78,46.762,47.826,51.311,51.6,50.824,49.109,46.55,1088.565,52.204,20:00,2024-12-10
Potosí 115,44.777,43.727,43.101,42.836,42.326,41.272,41.276,42.437,42.891,43.344,43.812,45.263,44.193,44.094,44.584,44.75,43.553,43.882,45.441,48.719,49.032,48.859,46.938,44.442,1065.547,49.329,19:45,2024-12-11
Potosí 115,42.901,41.876,41.606,41.439,41.255,39.505,38.482,39.751,41.234,43.127,43.841,43.346,42.549,42.696,43.103,43.945,43.183,43.891,45.073,49.226,49.391,48.395,46.732,44.532,1041.077,50.023,19:45,2024-12-12
Potosí 115,42.696,41.904,41.025,40.11,39.836,39.057,38.718,40.014,41.038,42.2,42.155,42.647,42.252,43.189,44.416,44.534,43.747,42.09,30.515,45.572,49.395,48.998,47.45,45.5,1019.059,49.664,20:45,2024-12-13
Potosí 115,44.199,43.441,43.382,43.014,43.332,43.218,40.717,41.759,41.954,43.445,44.317,44.933,44.118,44.326,44.465,43.739,43.824,44.727,45.234,49.325,49.566,44.768,37.714,33.598,1043.112,50.026,20:00,2024-12-14
Potosí 115,32.071,31.183,31.02,30.456,30.863,29.769,26.845,26.278,26.971,28.028,28.331,28.287,28.144,27.768,27.735,26.754,26.819,28.972,31.112,34.715,35.667,35.399,33.756,32.614,719.555,35.798,20:30,2024-12-15
Potosí 115,33.671,34.783,36.09,36.914,36.857,36.684,36.165,38.201,39.734,42.744,44.409,46.928,46.895,47.055,48.068,49.363,48.388,48.868,49.809,53.121,53.791,52.837,50.827,48.067,1060.264,54.091,20:15,2024-12-16
