Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Potosí,9.412,9.302,9.117,9.06,8.935,9.45,9.562,8.954,9.011,9.827,9.99,9.689,9.978,9.798,9.941,10.309,9.745,9.979,9.36,9.417,9.557,9.844,10.03,9.439,229.705,10.46,15:45,2024-09-01
Potosí,9.401,9.284,9.159,9.043,8.871,8.732,9.124,9.21,10.096,10.881,11.308,11.286,11.232,11.532,11.576,11.178,11.62,11.345,11.182,11.055,10.582,9.635,10.346,9.641,247.319,11.766,16:30,2024-09-02
Potosí,9.965,10.288,10.178,10.29,10.425,10.156,10.366,9.719,10.74,11.897,11.921,12.451,12.09,12.316,12.724,12.286,12.262,10.521,10.484,11.501,11.766,11.641,11.055,10.145,267.186,13.075,14:45,2024-09-03
Potosí,10.51,10.804,11.065,11.058,11.454,10.905,11.021,10.531,10.986,12.211,12.198,12.503,12.418,12.515,12.154,11.658,12.228,12.695,12.756,12.303,11.982,12.263,12.023,10.743,280.984,12.905,18:00,2024-09-04
Potosí,10.708,11.141,10.927,10.941,11.641,11.182,11.166,10.805,11.252,12.257,12.789,13.083,12.641,12.64,12.255,11.39,11.338,12.133,12.613,12.649,11.989,11.795,11.302,9.734,280.373,13.242,12:00,2024-09-05
Potosí,9.947,10.414,10.05,10.761,11.244,11.417,11.275,10.682,10.965,12.137,12.526,13.062,13.093,13.194,12.842,11.957,12.272,12.043,12.378,12.436,12.064,11.471,11.406,10.606,280.242,13.41,12:15,2024-09-06
Potosí,10.864,11.011,10.981,10.409,10.526,10.361,10.445,9.849,10.383,11.173,11.769,11.566,11.452,11.045,10.776,10.174,10.284,10.197,10.325,10.603,10.781,10.829,10.154,9.22,255.176,11.967,11:00,2024-09-07
Potosí,9.293,9.86,9.546,9.62,9.519,9.492,9.13,7.784,6.642,4.635,4.564,4.348,3.407,3.068,2.648,2.871,2.725,2.98,2.825,2.692,2.735,3.189,3.193,3.227,129.991,10.03,01:30,2024-09-08
Potosí,3.071,3.001,3.047,2.966,3.022,2.875,2.733,2.575,3.282,3.573,3.988,4.236,4.095,4.121,3.921,3.252,3.56,4.288,4.604,4.558,4.454,4.576,4.178,3.786,87.76,4.752,18:45,2024-09-09
Potosí,4.18,4.481,4.394,4.326,5.04,5.483,9.411,9.985,10.611,11.161,11.809,12.038,12.556,12.637,13.118,12.823,12.835,12.949,12.556,12.589,12.557,12.454,11.897,10.828,242.719,13.3,14:45,2024-09-10
