Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Punutuma,3.387,3.826,4.042,3.946,4.149,3.851,3.805,3.188,3.094,3.439,3.714,3.901,3.959,3.89,3.96,3.915,3.767,3.884,4.026,4.082,4.092,4.045,4.173,4.161,92.291,4.268,23:30,2024-09-01
Punutuma,3.837,3.846,3.708,3.684,3.777,3.798,3.405,3.367,3.605,4.142,4.449,4.357,4.229,4.713,4.675,4.162,3.701,4.075,4.852,4.904,5.01,4.954,5.051,4.268,100.566,5.118,22:15,2024-09-02
Punutuma,3.753,3.806,4.364,4.381,4.418,4.358,4.345,3.834,3.619,4.064,4.212,4.37,4.257,4.474,4.67,4.054,3.772,4.106,4.626,4.895,4.906,5.056,4.916,4.144,103.399,5.172,21:45,2024-09-03
Punutuma,3.791,4.134,4.522,4.681,4.446,4.546,4.43,3.866,3.499,4.188,4.701,4.724,4.444,4.808,4.786,4.104,3.728,4.031,4.826,4.961,5.134,5.1,4.959,4.009,106.415,5.217,19:00,2024-09-04
Punutuma,3.738,3.869,4.277,4.443,4.665,4.929,4.69,4.015,3.545,4.119,3.99,3.223,3.11,3.33,3.32,2.856,2.429,2.945,4.715,5.152,5.287,5.322,4.863,3.919,96.749,5.405,21:45,2024-09-05
Punutuma,3.782,3.946,4.531,4.683,4.397,4.69,4.315,3.738,3.461,4.198,4.588,4.519,4.444,4.416,4.819,4.253,3.873,4.18,4.785,4.953,5.007,5.041,4.954,4.23,105.8,5.129,22:00,2024-09-06
Punutuma,3.868,4.254,4.356,4.425,4.288,4.455,4.138,3.454,3.05,3.318,3.836,3.945,3.854,3.917,4.195,3.838,3.535,3.876,4.123,4.577,4.629,4.491,4.402,3.787,96.608,4.701,20:45,2024-09-07
Punutuma,3.531,3.793,4.173,4.146,4.365,4.283,3.997,3.545,3.365,3.559,3.719,3.717,3.432,3.193,3.399,3.523,3.304,3.302,3.775,3.974,3.938,3.748,3.774,3.51,89.061,4.541,04:15,2024-09-08
Punutuma,3.434,3.407,3.224,3.054,3.37,3.448,3.085,2.408,2.355,2.675,3.02,3.043,2.661,2.861,2.744,2.582,2.141,2.045,2.821,3.35,3.392,3.342,3.084,2.534,70.077,3.594,01:15,2024-09-09
Punutuma,2.097,2.115,2.524,2.574,2.456,2.592,2.376,1.883,1.784,2.553,3.056,3.045,2.619,2.944,3.145,2.367,2.071,2.347,3.179,3.659,3.842,3.462,3.18,2.508,64.376,3.961,20:45,2024-09-10
Punutuma,2.106,2.237,2.562,2.744,3.382,4.354,4.418,3.76,3.521,4.18,4.624,4.675,4.722,4.077,3.573,3.878,3.711,4.115,4.874,5.338,5.285,5.121,4.978,4.078,96.31,5.419,19:15,2024-09-11
Punutuma,3.785,3.956,4.199,4.17,4.399,4.382,4.223,3.673,3.149,2.943,3.186,3.061,2.773,3.062,3.019,1.792,1.582,1.544,1.78,2.024,2.058,1.852,1.637,1.548,69.793,4.491,05:00,2024-09-12
Punutuma,2.204,2.676,3.712,4.373,4.401,4.506,4.435,3.816,3.501,4.168,4.639,4.688,4.171,4.406,4.752,4.256,3.877,3.976,4.328,4.629,4.532,4.548,4.35,3.964,98.905,4.835,14:30,2024-09-13
Punutuma,3.603,3.785,3.989,4.034,4.013,4.289,4.143,3.627,3.374,4.292,4.386,4.341,3.868,4.058,4.057,3.509,3.38,3.718,4.139,4.751,4.759,4.638,4.49,3.836,97.079,4.859,19:45,2024-09-14
Punutuma,3.509,3.681,4.017,4.314,4.381,4.255,4.065,3.416,3.169,3.444,3.824,3.741,3.953,3.904,3.597,3.531,3.601,3.723,3.74,3.866,3.835,3.876,3.911,3.763,91.113,4.436,05:00,2024-09-15
Punutuma,3.616,3.529,3.659,3.836,3.714,3.755,3.586,3.295,3.143,3.804,4.562,4.612,4.254,4.386,4.363,3.852,3.033,3.359,4.41,4.939,4.924,4.868,4.494,3.944,95.933,5.008,19:45,2024-09-16
Punutuma,3.647,3.89,4.289,4.086,4.279,4.281,4.461,3.577,3.503,4.277,4.729,4.804,4.402,4.57,4.768,4.004,3.614,3.711,4.649,5.015,4.996,4.816,4.622,4.028,103.016,5.159,20:00,2024-09-17
Punutuma,3.573,3.84,4.257,4.213,4.281,4.494,4.297,3.726,3.524,4.474,4.598,4.734,4.195,4.492,4.619,4.058,3.571,3.801,4.562,4.91,4.936,4.87,4.744,4.03,102.796,4.989,21:30,2024-09-18
Punutuma,3.557,3.791,4.232,4.333,4.598,4.691,4.319,3.71,3.57,4.238,4.603,4.685,4.339,4.568,4.664,4.061,3.815,4.11,4.877,4.691,5.07,5.206,4.885,4.054,104.664,5.34,21:30,2024-09-19
Punutuma,3.625,3.858,4.271,4.31,4.383,4.459,4.419,3.719,3.532,4.275,4.7,3.847,3.302,4.063,4.583,4.004,3.61,3.744,4.595,4.971,4.753,4.906,4.423,3.98,100.326,5.089,21:45,2024-09-20
Punutuma,3.816,4.093,4.222,4.151,4.453,4.676,4.243,3.707,3.555,4.228,4.713,4.191,3.833,2.972,2.784,2.308,2.354,3.206,4.209,4.666,4.532,4.572,4.565,3.548,93.595,4.798,10:45,2024-09-21
Punutuma,3.347,3.482,4.214,4.363,4.35,4.289,4.001,3.401,3.315,3.491,3.95,3.849,3.801,3.744,3.566,3.654,3.749,3.535,3.719,4.023,4.117,4.164,3.97,3.756,91.848,4.509,04:30,2024-09-22
Punutuma,3.68,3.825,3.903,3.644,3.613,3.684,3.294,3.222,3.106,3.821,4.167,3.531,3.082,3.126,4.239,4.059,3.675,4.121,4.759,4.805,4.891,5.013,4.839,3.974,94.069,5.122,22:00,2024-09-23
