Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Qollpana,3.471,3.332,3.227,3.189,3.164,3.24,3.103,3.032,3.147,3.122,3.203,3.177,3.28,3.315,3.329,3.398,3.488,3.532,4.45,5.161,4.967,4.517,4.034,3.642,85.518,5.229,19:45,2024-09-01
Qollpana,3.353,3.332,3.155,3.105,3.287,3.458,3.49,3.321,2.979,3.137,3.155,3.22,3.068,3.175,3.376,3.414,3.505,3.669,4.558,5.247,5.124,4.64,4.07,3.611,86.446,5.316,20:00,2024-09-02
Qollpana,3.358,3.273,3.15,3.224,3.245,3.452,3.394,3.235,3.256,3.319,3.402,3.382,3.247,3.637,3.807,3.654,3.612,3.746,4.8,5.554,5.446,4.855,4.284,3.798,90.127,5.64,20:00,2024-09-03
Qollpana,3.41,3.262,3.223,3.174,3.292,3.525,3.444,3.369,3.255,3.226,3.228,3.303,3.336,3.557,3.529,3.599,3.611,3.644,4.67,5.405,5.316,4.844,4.268,3.766,89.254,5.455,20:00,2024-09-04
Qollpana,3.48,3.399,3.355,3.282,3.423,3.603,3.524,3.214,3.291,3.163,3.168,3.177,2.936,3.044,3.331,3.374,3.315,3.459,4.489,5.171,5.068,4.523,3.881,3.425,86.093,5.196,19:15,2024-09-05
Qollpana,3.209,3.273,3.262,3.191,3.194,3.399,3.39,3.424,3.203,3.277,3.324,3.409,3.234,3.507,3.655,3.685,3.728,3.603,4.625,5.411,5.313,4.846,4.319,3.877,89.356,5.487,20:00,2024-09-06
Qollpana,3.555,3.448,3.275,3.227,3.285,3.522,3.303,3.113,3.24,3.374,3.445,3.495,3.385,3.464,3.54,3.582,3.568,3.594,4.528,5.182,5.054,4.695,4.212,3.833,88.917,5.241,20:00,2024-09-07
Qollpana,3.56,3.426,3.324,3.271,3.292,3.386,3.16,3.109,3.179,3.269,3.308,3.349,3.351,3.429,3.467,3.563,3.553,3.608,4.546,5.209,5.1,4.646,4.156,3.782,88.042,5.241,19:45,2024-09-08
Qollpana,3.516,3.339,3.253,3.25,3.423,3.6,3.6,3.322,3.237,3.153,3.041,3.257,3.2,3.301,3.406,3.536,3.568,3.651,4.702,5.446,5.298,4.887,4.292,3.839,89.112,5.479,19:30,2024-09-09
Qollpana,3.578,3.399,3.318,3.289,3.417,3.442,3.287,3.253,3.136,3.179,3.171,3.188,3.097,3.361,3.505,3.607,3.583,3.544,4.656,5.364,5.3,4.888,4.321,3.814,88.693,5.402,20:00,2024-09-10
Qollpana,3.478,3.39,3.185,3.227,3.362,3.576,3.486,3.333,3.214,3.342,3.368,3.441,3.24,3.528,3.639,3.59,3.461,3.646,4.562,5.305,5.247,4.831,4.261,3.822,89.531,5.345,19:45,2024-09-11
Qollpana,3.446,3.283,3.189,3.189,3.376,3.548,3.506,3.332,3.19,3.273,3.277,3.292,3.18,3.268,3.379,3.5,3.516,3.583,4.617,5.329,5.204,4.839,4.266,3.84,88.42,5.35,19:45,2024-09-12
Qollpana,3.535,3.358,3.255,3.252,3.423,3.651,3.535,3.411,3.463,3.527,3.656,3.653,3.421,3.611,3.696,3.738,3.502,3.486,4.431,5.178,4.564,4.229,3.985,3.804,89.362,5.229,19:45,2024-09-13
Qollpana,3.614,3.462,3.359,3.401,3.509,3.607,3.448,3.285,3.384,3.522,3.539,3.45,3.224,3.171,3.237,3.219,3.23,3.45,4.369,4.738,4.524,4.214,3.808,3.513,86.274,4.776,19:15,2024-09-14
Qollpana,3.296,3.203,3.115,3.073,3.086,3.201,3.108,2.987,2.992,3.018,3.001,3.031,3.01,3.023,3.064,3.148,3.172,3.211,4.173,4.806,4.645,4.187,3.757,3.432,80.738,4.816,19:45,2024-09-15
Qollpana,3.233,3.099,3.035,3.007,3.078,3.214,3.296,3.392,2.967,3.028,3.106,3.181,2.989,3.203,3.406,3.54,3.453,3.43,4.477,5.284,5.164,4.627,4.126,3.728,85.065,5.31,19:30,2024-09-16
Qollpana,3.389,3.256,3.179,3.208,3.424,3.517,3.383,3.366,3.214,3.229,3.239,3.335,3.294,3.347,3.535,3.589,3.659,3.767,4.707,5.426,5.232,4.775,4.275,3.882,89.224,5.458,19:15,2024-09-17
Qollpana,3.498,3.327,3.219,3.288,3.448,3.6,3.489,3.423,3.454,3.473,3.373,3.502,3.309,3.622,3.814,3.817,3.717,3.818,4.714,5.479,5.367,4.967,4.367,3.84,91.922,5.507,19:45,2024-09-18
Qollpana,3.527,3.51,3.332,3.372,3.465,3.559,3.411,3.301,3.476,3.552,3.44,3.533,3.38,3.458,3.564,3.611,3.703,3.7,4.643,5.53,5.471,4.967,4.447,3.911,91.861,5.548,20:15,2024-09-19
Qollpana,3.582,3.441,3.312,3.303,3.431,3.731,3.558,3.582,3.464,3.477,3.406,3.494,3.296,3.622,3.757,3.797,3.663,3.734,4.698,5.426,5.285,4.908,4.357,3.914,92.237,5.465,20:00,2024-09-20
Qollpana,3.62,3.509,3.386,3.345,3.361,3.705,3.413,3.238,3.426,3.623,3.487,3.568,3.431,3.458,3.535,3.652,3.558,3.678,4.57,5.346,5.13,4.754,4.361,3.995,91.144,5.388,19:45,2024-09-21
Qollpana,3.704,3.535,3.378,3.234,3.244,3.374,3.025,3.07,3.27,3.329,3.449,3.446,3.544,3.549,3.556,3.654,3.679,3.747,4.669,5.41,5.29,4.913,4.364,3.978,90.408,5.436,19:30,2024-09-22
Qollpana,3.665,3.497,3.396,3.323,3.375,3.525,3.414,3.543,3.296,3.472,3.494,3.506,3.408,3.622,3.75,3.852,3.884,3.916,4.789,5.512,5.424,5.022,4.457,4.003,93.145,5.535,19:30,2024-09-23
Qollpana,3.66,3.516,3.455,3.404,3.515,3.735,3.489,3.472,3.503,3.57,3.579,3.637,3.422,3.783,3.912,3.959,3.803,3.886,4.79,5.717,5.562,5.076,4.533,4.023,94.999,5.758,19:30,2024-09-24
Qollpana,3.724,3.628,3.443,3.366,3.396,3.569,3.388,3.522,3.48,3.428,3.504,3.463,3.255,3.469,3.817,3.862,3.818,3.707,4.698,5.574,5.527,5.038,4.438,3.942,93.051,5.614,20:00,2024-09-25
Qollpana,3.629,3.534,3.408,3.421,3.598,3.757,3.676,3.504,3.519,3.565,3.599,3.607,3.418,3.47,3.658,3.706,3.731,3.807,4.66,5.5,5.346,4.859,4.292,3.851,93.113,5.529,19:45,2024-09-26
