Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Retiros EMDEECRUZ,13.14,21.447,16.911,15.647,19.071,20.457,12.91,2.187,2.473,3.056,3.135,3.09,3.257,3.253,3.233,2.64,1.773,2.306,3.345,3.477,3.545,3.592,3.731,19.201,186.873,24.298,04:45,2024-09-01
Retiros EMDEECRUZ,24.303,23.591,27.285,26.697,25.215,26.499,27.462,27.209,25.038,24.868,27.345,27.839,27.222,26.806,29.667,20.963,11.149,8.248,5.291,5.241,5.183,5.174,5.177,20.367,483.837,32.294,08:30,2024-09-02
Retiros EMDEECRUZ,24.28,18.816,19.074,25.394,22.914,27.251,25.505,27.481,27.866,28.6,29.79,30.046,28.964,31.051,29.264,29.588,24.09,7.038,4.094,4.685,5.072,5.062,5.148,18.456,499.525,32.765,12:00,2024-09-03
Retiros EMDEECRUZ,23.496,25.483,20.059,27.573,27.386,27.958,28.006,27.037,26.086,22.048,26.543,26.737,27.393,27.753,28.171,28.984,16.689,6.639,3.851,3.722,3.654,4.124,4.652,19.815,483.855,31.988,07:15,2024-09-04
Retiros EMDEECRUZ,27.675,29.553,29.923,31.025,31.513,32.813,31.985,34.186,32.515,27.49,28.328,27.05,31.683,28.76,27.94,30.653,25.128,9.903,5.665,5.318,5.373,5.295,5.03,9.043,553.841,36.33,07:15,2024-09-05
Retiros EMDEECRUZ,23.643,21.553,25.549,22.218,24.937,23.658,26.292,26.247,25.23,27.407,26.965,27.943,26.843,25.44,28.117,23.646,16.785,6.477,3.283,3.231,3.157,3.288,3.435,12.875,458.216,31.691,14:15,2024-09-06
Retiros EMDEECRUZ,23.821,23.422,28.262,27.94,27.559,28.277,26.715,27.023,24.382,25.524,27.136,26.936,25.512,27.95,27.924,27.881,19.78,6.489,4.122,4.103,3.912,3.992,4.153,16.786,489.599,30.539,08:30,2024-09-07
Retiros EMDEECRUZ,24.301,24.327,21.701,24.115,25.6,25.204,26.634,27.814,26.006,24.536,23.989,22.495,25.286,26.088,22.895,6.827,3.771,3.724,3.801,3.816,3.785,3.806,3.886,11.212,415.617,29.491,07:15,2024-09-08
Retiros EMDEECRUZ,21.803,24.105,24.78,23.758,25.088,25.053,25.621,23.701,27.958,26.537,30.012,30.087,29.015,28.353,30.017,28.699,18.481,8.223,5.373,5.081,5.004,5.077,5.205,22.268,499.297,31.82,14:15,2024-09-09
Retiros EMDEECRUZ,24.838,27.192,27.038,27.221,28.927,29.58,29.632,19.933,24.858,27.201,27.426,28.874,26.903,25.932,25.576,28.456,15.799,4.428,4.139,4.119,4.147,4.787,4.924,19.829,491.756,32.098,04:45,2024-09-10
