Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Retiros ENDE para YLB,4.881,4.916,5.033,4.993,5.017,4.827,4.707,4.725,5.019,5.517,5.454,5.376,5.238,5.218,5.17,5.007,4.963,4.974,4.701,4.566,4.725,4.725,4.77,4.761,119.279,5.557,09:45,2024-09-01
Retiros ENDE para YLB,5.054,5.09,4.907,4.994,4.971,4.875,4.741,4.778,5.085,5.217,5.151,5.18,4.932,4.939,5.123,5.03,5.059,5.218,5.275,4.908,5.098,5.099,5.158,4.646,120.526,5.48,18:00,2024-09-02
Retiros ENDE para YLB,4.699,4.379,3.563,2.865,3.009,2.87,2.604,2.443,2.634,2.873,2.969,3.004,2.838,2.827,2.886,3.003,2.975,2.873,2.65,2.48,2.465,2.536,2.494,2.421,70.355,4.727,01:00,2024-09-03
Retiros ENDE para YLB,2.469,2.727,2.76,2.783,2.761,2.821,2.666,2.762,2.881,3.165,2.874,2.87,2.525,2.521,2.972,2.783,2.541,2.365,2.311,2.202,2.248,2.298,2.26,2.274,62.836,3.226,09:45,2024-09-04
Retiros ENDE para YLB,2.248,2.272,2.266,2.47,2.712,2.765,2.666,2.582,2.427,2.62,3.038,3.554,3.73,4.36,4.791,4.812,4.851,4.834,4.579,4.326,4.407,4.53,4.566,4.519,85.921,4.915,18:00,2024-09-05
Retiros ENDE para YLB,4.743,4.88,4.941,4.924,4.964,5.037,4.295,3.99,4.082,4.625,4.907,4.841,4.735,4.839,4.927,4.746,4.807,4.736,4.582,4.325,4.431,4.45,4.515,4.437,111.758,5.077,05:45,2024-09-06
Retiros ENDE para YLB,4.57,4.89,4.989,4.909,4.913,4.96,4.794,4.867,4.843,4.765,4.745,5.002,4.888,4.89,5.12,5.137,4.936,4.835,4.742,4.667,4.71,4.489,4.464,4.462,115.585,5.299,15:00,2024-09-07
Retiros ENDE para YLB,4.532,4.589,4.563,4.507,4.866,4.962,4.855,4.871,4.882,5.065,4.966,5.021,4.937,4.883,5.01,4.986,4.926,5.019,4.697,4.289,4.539,4.531,4.594,4.876,114.962,5.106,09:45,2024-09-08
Retiros ENDE para YLB,4.99,4.934,4.927,4.892,4.919,4.872,4.534,4.423,4.848,5.025,5.039,5.067,4.989,4.926,4.987,4.831,4.916,4.93,4.701,4.417,4.598,4.588,4.602,4.586,115.537,5.183,11:30,2024-09-09
Retiros ENDE para YLB,4.77,5,5.112,5.034,5.049,5.049,4.896,4.709,4.916,5.153,5.117,5.148,4.983,5.002,5.028,5,4.978,5.079,4.741,4.461,4.512,4.489,4.653,4.552,117.431,5.223,10:00,2024-09-10
Retiros ENDE para YLB,4.611,4.545,4.589,4.561,4.503,4.53,4.472,4.717,4.94,5.047,5.096,5.052,4.857,4.884,4.774,4.77,4.728,4.544,4.444,4.38,4.459,4.524,4.611,4.57,112.206,5.166,10:30,2024-09-11
Retiros ENDE para YLB,4.482,4.501,4.511,4.565,4.572,4.563,4.51,4.602,4.581,4.649,4.904,4.817,4.833,4.771,4.834,4.816,4.932,4.94,4.639,4.449,4.636,4.452,4.544,4.634,111.734,5.019,18:00,2024-09-12
Retiros ENDE para YLB,4.57,4.62,4.641,4.636,4.805,5.071,4.881,4.967,5.218,5.292,5.335,5.097,4.953,5.03,5.153,4.889,4.887,4.958,4.644,4.503,4.622,4.688,4.616,4.556,116.629,5.433,10:45,2024-09-13
