Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
SAN CRISTOBAL,49.95,45.117,45.978,48.145,47.201,46.344,48.284,48.269,48.592,46.763,46.762,44.189,46.413,47.199,46.746,48.284,48.011,47.93,45.744,48.18,49.039,50.249,49.939,49.669,1142.998,51.011,21:45,2024-09-01
SAN CRISTOBAL,47.43,49.349,49.41,50.366,49.477,49.492,48.895,45.925,48.249,48.981,47.645,48.418,46.944,46.494,47.438,47.482,48.276,49.156,49.974,50.354,49.492,46.578,47.384,48.417,1161.625,51.503,03:15,2024-09-02
SAN CRISTOBAL,48.234,47.71,43.613,46.974,48.123,47.167,46.99,48.218,47.027,47.29,48.24,49.887,50.057,48.644,48.386,48.973,49.561,49.617,50.061,51.423,50.736,49.138,49.861,50.308,1166.237,52.076,04:00,2024-09-03
SAN CRISTOBAL,50.331,48.09,48.247,47.695,45.72,46.271,48.105,46.719,42.44,48.543,50.054,50.199,50.63,50.531,49.529,47.738,48.824,48.496,48.144,49.716,50.611,51.417,47.557,48.722,1164.33,53.376,21:45,2024-09-04
SAN CRISTOBAL,48.582,49.215,49.479,49.529,50.661,48.944,50.201,52.039,50.266,50.872,50.422,47.579,48.337,41.774,48.005,49.346,48.41,48.99,49.026,48.026,48.554,47.977,49.658,49.059,1174.951,52.42,07:45,2024-09-05
SAN CRISTOBAL,48.632,47.498,46.819,48.62,50.13,48.26,50.371,51.71,52.416,50.44,48.661,49.172,48.962,48.957,47.624,48.633,49.152,46.452,45.842,45.357,48.698,48.846,47.495,49.309,1168.054,52.641,09:00,2024-09-06
SAN CRISTOBAL,49.217,47.739,45.783,47.645,47.074,46.003,47.685,46.348,49.581,51.378,49.459,47.414,48.236,39.393,42.855,47.717,47.413,44.281,47.695,48.77,48.508,48.394,45.09,45.343,1129.02,51.941,09:15,2024-09-07
SAN CRISTOBAL,40.495,38.044,41.29,43.046,42.541,43.948,46.96,46.203,46.515,44.134,44.632,44,45.839,46.554,46.091,46.789,47.746,46.952,45.53,45.449,48.074,48.028,45.586,44.697,1079.143,49.397,22:00,2024-09-08
SAN CRISTOBAL,45.131,46.771,45.245,47.045,45.235,40.95,46.281,45.254,48.591,48.02,47.625,46.98,45.551,45.663,45.716,45.919,45.669,45.733,46.929,48.216,47.616,47.129,48.142,48.561,1113.97,49.43,09:00,2024-09-09
SAN CRISTOBAL,47.847,47.403,46.467,46.594,47.47,49.012,48.882,47.896,46.639,47.862,49.246,50.551,49.254,47.922,47.228,48.022,49.236,48.916,47.74,46.531,47.509,49.276,49.027,49.14,1155.67,50.93,11:30,2024-09-10
SAN CRISTOBAL,49.351,49.794,48.742,48.521,50.896,49.575,49.56,49.374,46.194,44.999,48.232,45.99,48.418,48.331,46.277,46.784,46.313,48.457,48.016,48.665,49.972,50.574,50.103,50.113,1163.252,51.369,04:45,2024-09-11
SAN CRISTOBAL,47.954,47.641,48.063,48.1,48.025,44.48,45.623,45.352,45.326,44.769,44.779,43.444,43.305,40.966,43.764,42.321,43.949,45.768,46.427,46.994,47.141,47.071,47.412,39.458,1088.13,49.535,02:30,2024-09-12
SAN CRISTOBAL,44.715,46.088,47.904,46.414,31.651,26.571,22.572,12.883,9.351,7.694,7.482,6.998,4.56,4.915,4.703,4.701,4.424,4.769,5.056,5.58,5.979,5.919,5.757,5.456,372.14,48.373,02:45,2024-09-13
SAN CRISTOBAL,5.152,5.046,5.145,5.277,5.379,5.546,5.081,5.164,4.841,4.596,4.001,3.665,3.436,3.151,3.203,3.442,3.435,3.68,4.042,4.525,4.808,4.849,4.911,4.692,107.064,5.648,05:15,2024-09-14
SAN CRISTOBAL,4.601,4.564,4.523,4.526,4.89,5.106,5.16,5.212,5,4.258,3.584,3.078,3.281,3.368,3.033,4.006,4.991,5.265,5.605,6.431,6.618,6.675,6.701,6.516,116.991,6.852,22:15,2024-09-15
SAN CRISTOBAL,6.815,6.827,7.023,6.83,6.758,6.787,6.454,5.067,0.062,0,0,0,0,0,0,0,0.164,4.007,4.642,5.158,5.253,5.459,5.976,6.154,89.435,7.063,03:00,2024-09-16
SAN CRISTOBAL,6.479,6.637,6.535,7.028,7.129,8.467,11.169,15.01,28.025,35.412,38.124,39.921,38.843,38.53,41.182,39.557,39.728,41.925,41.388,42.95,42.826,42.676,43.218,44.089,706.845,45.355,24:00,2024-09-17
SAN CRISTOBAL,45.875,44.829,44.199,41.018,34.758,44.848,46.167,43.111,19.552,17.165,16.665,23.88,40.862,43.845,41.389,37.995,31.669,22.949,20.547,40.762,42.655,44.981,43.786,44.476,877.984,47.179,07:00,2024-09-18
SAN CRISTOBAL,44.349,44.611,45.545,44.527,42.702,41.26,41.364,41.572,42.082,41.719,40.737,40.097,41.226,40.213,39.681,40.756,40.827,38.089,35.204,30.766,40.13,41.291,41.562,41.673,981.982,46.111,03:00,2024-09-19
SAN CRISTOBAL,41.557,41.855,43.212,43.403,44.64,44.857,43.001,44.996,44.353,42.234,45.018,40.542,41.991,42.122,43.13,43.453,41.123,42.239,44.688,46.409,43.775,43.773,45.379,46.599,1044.349,47.041,24:00,2024-09-20
