Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Sacaca,0.674,0.649,0.625,0.622,0.632,0.656,0.62,0.557,0.555,0.539,0.551,0.543,0.551,0.575,0.622,0.656,0.646,0.673,0.958,1.218,1.127,1.002,0.831,0.728,16.808,1.241,19:30,2024-09-01
Sacaca,0.668,0.641,0.628,0.619,0.628,0.66,0.68,0.677,0.593,0.478,0.499,0.493,0.499,0.506,0.5,0.52,0.55,0.605,0.925,1.176,1.144,0.989,0.81,0.706,16.193,1.187,19:45,2024-09-02
Sacaca,0.649,0.62,0.608,0.605,0.61,0.649,0.613,0.597,0.58,0.503,0.483,0.476,0.476,0.489,0.486,0.506,0.52,0.547,0.877,1.199,1.158,1.027,0.858,0.731,15.866,1.209,20:00,2024-09-03
Sacaca,0.663,0.631,0.616,0.614,0.619,0.656,0.624,0.611,0.543,0.488,0.486,0.484,0.502,0.525,0.531,0.552,0.542,0.589,0.9,1.227,1.199,1.041,0.846,0.721,16.206,1.261,20:00,2024-09-04
Sacaca,0.662,0.635,0.621,0.617,0.624,0.662,0.662,0.647,0.572,0.518,0.498,0.5,0.502,0.52,0.535,0.547,0.581,0.643,0.969,1.22,1.177,1.045,0.865,0.722,16.541,1.228,19:45,2024-09-05
Sacaca,0.665,0.639,0.624,0.621,0.627,0.663,0.634,0.618,0.554,0.516,0.506,0.503,0.511,0.512,0.522,0.521,0.56,0.578,0.845,1.118,1.082,0.943,0.788,0.693,15.839,1.122,19:30,2024-09-06
Sacaca,0.644,0.619,0.608,0.608,0.616,0.649,0.575,0.5,0.502,0.484,0.476,0.476,0.493,0.523,0.546,0.51,0.516,0.564,0.865,1.08,1.04,0.922,0.781,0.701,15.296,1.093,19:45,2024-09-07
Sacaca,0.667,0.64,0.624,0.621,0.626,0.649,0.574,0.508,0.5,0.515,0.509,0.498,0.522,0.539,0.566,0.582,0.582,0.592,0.885,1.149,1.125,0.998,0.842,0.736,16.048,1.168,20:00,2024-09-08
Sacaca,0.672,0.64,0.629,0.623,0.626,0.659,0.641,0.653,0.573,0.494,0.498,0.468,0.463,0.478,0.475,0.478,0.502,0.555,0.828,1.209,1.17,1.016,0.828,0.716,15.892,1.226,19:30,2024-09-09
Sacaca,0.664,0.636,0.622,0.616,0.62,0.644,0.583,0.555,0.508,0.46,0.453,0.463,0.447,0.486,0.546,0.548,0.572,0.649,1,1.213,1.163,0.993,0.818,0.707,15.962,1.227,19:45,2024-09-10
