Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
San Borja,1.85,1.688,1.587,1.508,1.449,1.426,1.334,1.173,1.205,1.226,1.228,1.252,1.296,1.331,1.376,1.419,1.417,1.427,1.758,1.949,1.887,1.796,1.653,1.477,35.705,1.967,19:45,2024-09-01
San Borja,1.344,1.249,1.19,1.159,1.13,1.122,1.074,1.04,1.125,1.237,1.307,1.412,1.409,1.538,1.699,1.816,1.823,1.809,1.998,2.222,2.058,1.929,1.782,1.57,36.04,2.278,19:15,2024-09-02
San Borja,1.398,1.332,1.265,1.206,1.174,1.163,1.121,1.089,1.193,1.305,1.458,1.617,1.661,1.853,2.073,2.129,2.063,2.02,2.148,2.389,2.346,2.311,2.142,1.897,40.35,2.407,19:45,2024-09-03
San Borja,1.686,1.545,1.452,1.379,1.33,1.301,1.248,1.226,1.325,1.463,1.629,1.799,1.816,2.009,2.196,2.23,2.177,2.16,2.3,2.567,2.536,2.461,2.326,2.147,44.306,2.582,19:45,2024-09-04
San Borja,1.943,1.819,1.708,1.646,1.599,1.565,1.474,1.425,1.516,1.545,1.564,1.582,1.479,1.577,1.695,1.724,1.686,1.723,1.949,2.127,2.111,2.027,1.865,1.66,41.006,2.135,20:15,2024-09-05
San Borja,1.514,1.411,1.341,1.304,1.268,1.244,1.222,1.203,1.287,1.314,1.362,1.478,1.427,1.505,1.535,1.57,1.585,1.649,1.876,2.032,2.007,1.931,1.783,1.606,36.451,2.052,19:30,2024-09-06
San Borja,1.428,1.325,1.27,1.237,1.198,1.175,1.14,1.092,1.161,1.247,1.33,1.356,1.435,1.498,1.581,1.632,1.616,1.635,1.922,2.13,2.113,2.037,1.912,1.748,36.215,2.14,19:30,2024-09-07
San Borja,1.594,1.485,1.415,1.359,1.317,1.287,1.184,1.084,1.124,1.202,1.325,1.457,1.548,1.724,1.873,1.909,1.855,1.813,2.091,2.352,2.345,2.299,2.168,2.014,39.823,2.363,19:45,2024-09-08
San Borja,1.836,1.685,1.587,1.519,1.464,1.415,1.315,1.289,1.432,1.557,1.707,1.856,1.841,2.079,2.256,2.298,2.244,1.871,2.101,2.468,2.436,2.407,2.274,2.088,45.022,2.481,19:45,2024-09-09
San Borja,1.879,1.726,1.616,1.547,1.488,1.427,1.335,1.306,1.507,1.665,1.823,1.993,1.949,2.138,2.353,2.395,2.319,2.233,2.307,2.523,2.498,2.412,2.285,2.078,46.799,2.536,20:15,2024-09-10
San Borja,1.866,1.725,1.605,1.52,1.461,1.41,1.321,1.297,1.473,1.627,1.808,2.003,2.066,2.276,2.372,2.392,2.264,2.206,2.406,2.671,2.646,2.599,2.518,2.354,47.883,2.683,19:30,2024-09-11
