Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
San Buenaventura,2.326,2.15,2.015,1.916,1.827,1.789,1.702,1.539,1.6,1.69,1.73,1.575,1.514,1.88,1.925,1.959,1.956,1.965,2.39,2.685,2.613,2.508,2.302,2.03,47.584,2.699,19:15,2024-09-01
San Buenaventura,0.779,0.69,0.659,0.635,0.615,0.622,0.614,0.603,0.652,0.683,0.716,0.717,0.725,0.748,0.776,0.778,0.775,0.784,0.909,1.041,1.035,0.969,0.879,0.746,18.145,1.055,19:45,2024-09-01
San Buenaventura,1.805,1.658,1.58,1.531,1.503,1.509,1.583,1.512,1.576,1.669,1.811,1.977,2.002,2.132,2.336,2.437,2.432,2.398,2.651,2.938,2.846,2.728,2.501,2.199,49.311,2.958,19:15,2024-09-02
San Buenaventura,0.646,0.601,0.574,0.56,0.552,0.57,0.613,0.67,0.713,0.72,0.775,0.827,0.771,0.898,0.967,0.99,0.963,0.913,0.982,1.148,1.123,1.07,0.955,0.815,19.414,1.157,19:30,2024-09-02
San Buenaventura,1.943,1.786,1.697,1.632,1.604,1.567,1.572,1.497,1.634,1.778,1.93,2.095,2.166,2.32,2.549,2.659,2.623,2.563,2.785,3.133,3.066,2.972,2.74,2.415,52.723,3.155,20:00,2024-09-03
San Buenaventura,0.7,0.637,0.604,0.586,0.586,0.601,0.634,0.716,0.764,0.773,0.849,0.902,0.854,1.005,1.054,1.082,1.016,0.993,1.082,1.217,1.222,1.131,0.981,0.863,20.851,1.244,20:30,2024-09-03
San Buenaventura,2.108,1.932,1.806,1.726,1.678,1.664,1.665,1.599,1.749,1.935,2.172,2.345,2.314,2.456,2.657,2.772,2.757,2.651,2.914,3.205,3.186,3.095,2.906,2.592,55.88,3.232,19:45,2024-09-04
San Buenaventura,0.744,0.676,0.616,0.599,0.586,0.597,0.65,0.711,0.745,0.821,0.856,0.932,0.865,0.997,1.027,1.059,1.079,1.062,1.123,1.268,1.232,1.177,1.044,0.88,21.344,1.277,20:00,2024-09-04
San Buenaventura,2.3,2.115,2.002,1.916,1.862,1.825,1.803,1.714,1.83,1.92,2.038,2.173,2.058,2.097,2.189,2.299,2.297,2.307,2.644,2.909,2.851,2.721,2.514,2.216,52.596,2.914,19:15,2024-09-05
San Buenaventura,0.769,0.705,0.653,0.634,0.622,0.628,0.681,0.769,0.807,0.818,0.843,0.901,0.822,0.912,0.953,0.928,0.918,0.925,1.019,1.14,1.133,1.068,0.949,0.819,20.414,1.148,20:00,2024-09-05
San Buenaventura,1.998,1.84,1.746,1.689,1.658,1.649,1.653,1.608,1.752,1.838,1.928,2.044,1.957,1.968,2.061,2.091,2.128,2.209,2.552,2.776,2.703,2.577,2.378,2.092,48.894,2.795,19:45,2024-09-06
San Buenaventura,0.719,0.657,0.614,0.595,0.589,0.609,0.56,0.326,0.337,0.347,0.369,0.642,0.799,0.867,0.91,0.889,0.893,0.928,1.029,1.133,1.088,1.007,0.889,0.761,17.556,1.143,19:15,2024-09-06
San Buenaventura,1.899,1.753,1.677,1.624,1.599,0.806,0.789,0.744,1.409,1.816,1.838,1.925,1.989,1.996,2.05,2.093,2.127,2.215,2.638,2.927,2.838,2.709,2.511,2.276,46.246,2.939,19:45,2024-09-07
San Buenaventura,0.675,0.626,0.598,0.581,0.574,0.574,0.599,0.652,0.669,0.71,0.755,0.732,0.752,0.785,0.817,0.824,0.814,0.838,0.987,1.121,1.114,1.039,0.931,0.807,18.573,1.15,20:15,2024-09-07
San Buenaventura,2.061,1.895,1.781,1.698,1.648,1.638,1.554,1.465,1.56,1.648,1.775,1.935,2.043,2.129,2.246,2.361,2.35,2.006,2.422,3.051,3.016,2.929,2.762,2.524,50.492,3.066,19:30,2024-09-08
San Buenaventura,0.722,0.668,0.629,0.607,0.594,0.596,0.585,0.591,0.637,0.686,0.717,0.765,0.795,0.83,0.864,0.881,0.87,0.857,1.003,1.177,1.162,1.124,1.031,0.889,19.277,1.199,20:00,2024-09-08
San Buenaventura,2.266,2.066,1.926,1.845,1.791,1.752,1.701,1.644,1.851,2.054,2.208,2.393,2.404,2.526,2.785,2.852,2.792,2.747,2.994,3.253,3.229,3.135,2.934,2.633,57.778,3.264,20:00,2024-09-09
San Buenaventura,0.783,0.709,0.665,0.639,0.628,0.636,0.677,0.72,0.789,0.848,0.926,0.97,0.901,0.994,1.049,1.064,1.059,1.036,1.118,1.244,1.224,1.152,1.046,0.887,21.763,1.253,19:45,2024-09-09
San Buenaventura,2.337,2.134,1.89,1.863,1.8,1.738,1.66,1.605,1.807,2.074,2.251,2.444,2.426,2.596,2.787,2.864,2.836,2.793,3.074,3.357,3.312,3.178,2.998,2.721,58.542,3.382,19:30,2024-09-10
San Buenaventura,0.77,0.688,0.645,0.622,0.604,0.606,0.619,0.686,0.746,0.863,0.916,0.982,0.929,1.007,1.06,1.105,1.091,1.037,1.098,1.251,1.217,1.188,1.077,0.924,21.727,1.26,20:00,2024-09-10
San Buenaventura,2.421,2.206,2.079,1.99,1.92,1.88,1.792,1.746,1.961,2.176,2.362,2.561,2.628,2.813,2.932,2.945,2.832,2.739,3.061,3.39,3.381,3.332,3.174,2.884,61.203,3.403,20:30,2024-09-11
San Buenaventura,0.792,0.718,0.679,0.652,0.636,0.64,0.647,0.703,0.771,0.856,0.926,0.981,0.946,1.042,1.045,1.066,1.069,1.026,1.143,1.274,1.258,1.218,1.101,0.958,22.144,1.28,20:00,2024-09-11
San Buenaventura,2.612,2.389,2.266,2.171,2.11,2.054,1.946,1.89,2.112,2.286,2.381,2.528,2.428,2.518,2.632,2.693,2.655,2.577,2.959,3.288,3.279,3.208,3.028,2.775,60.782,3.293,19:30,2024-09-12
San Buenaventura,0.829,0.754,0.708,0.686,0.671,0.679,0.684,0.743,0.829,0.871,0.901,0.911,0.876,0.941,1.012,1.052,1.019,0.984,1.083,1.213,1.236,1.192,1.097,0.948,21.917,1.243,20:30,2024-09-12
San Buenaventura,2.497,2.292,2.177,2.091,2.024,1.982,1.859,1.768,2.023,2.193,2.37,2.418,2.47,2.674,2.832,2.903,2.784,2.678,3.007,3.413,3.401,3.359,3.216,2.985,61.415,3.445,19:45,2024-09-13
San Buenaventura,0.831,0.755,0.714,0.688,0.677,0.681,0.668,0.717,0.784,0.853,0.902,0.964,0.941,1.033,1.103,1.111,1.079,1.041,1.091,1.264,1.259,1.212,1.119,1.004,22.487,1.271,20:15,2024-09-13
San Buenaventura,2.729,2.516,2.379,2.231,2.155,2.1,1.894,1.827,1.99,2.162,2.305,2.378,2.419,2.45,2.544,2.643,2.632,2.612,0.198,2.095,2.775,2.615,2.413,2.193,54.251,2.835,19:45,2024-09-14
San Buenaventura,0.886,0.801,0.754,0.729,0.707,0.703,0.672,0.728,0.831,0.891,0.905,0.921,0.915,0.942,0.978,1.021,1.023,1.003,0.676,1.088,1.162,1.065,0.946,0.826,21.172,1.185,20:30,2024-09-14
San Buenaventura,2.011,1.874,1.798,1.706,1.65,1.62,1.522,1.423,1.509,1.581,1.637,1.682,1.684,1.696,1.716,1.766,1.815,1.84,2.252,2.609,2.56,2.45,2.265,2.02,44.684,2.613,19:30,2024-09-15
San Buenaventura,0.753,0.697,0.656,0.635,0.623,0.625,0.604,0.594,0.636,0.664,0.675,0.667,0.683,0.709,0.727,0.747,0.732,0.721,0.856,1.045,1.046,0.976,0.879,0.755,17.702,1.065,19:45,2024-09-15
San Buenaventura,1.812,1.673,1.606,1.561,1.539,1.546,1.502,1.485,1.665,1.809,1.959,2.085,1.976,2.028,2.167,2.29,2.302,2.304,2.581,2.905,2.835,2.73,2.479,2.17,49.007,2.927,19:15,2024-09-16
San Buenaventura,0.667,0.615,0.59,0.574,0.57,0.587,0.624,0.668,0.697,0.729,0.776,0.798,0.765,0.817,0.855,0.875,0.885,0.894,0.997,1.109,1.116,1.064,0.948,0.781,18.999,1.128,20:30,2024-09-16
San Buenaventura,1.945,1.779,1.697,1.638,1.607,1.607,1.578,1.532,1.659,1.798,2.008,2.097,2.139,2.29,2.467,2.629,2.56,2.484,2.721,3.103,3.048,2.961,2.741,2.443,52.529,3.119,19:30,2024-09-17
San Buenaventura,0.676,0.609,0.581,0.564,0.56,0.573,0.617,0.651,0.687,0.767,0.995,1.231,0.823,0.904,0.967,1.012,1.02,0.978,1.02,1.187,1.182,1.127,1.01,0.862,20.599,1.86,11:15,2024-09-17
San Buenaventura,2.164,1.989,1.882,1.791,1.756,1.726,1.676,1.638,1.767,1.91,2.031,2.182,2.284,2.491,2.751,2.862,2.772,2.7,2.955,3.327,3.314,3.263,3.047,2.759,57.035,3.336,19:45,2024-09-18
San Buenaventura,0.758,0.69,0.638,0.617,0.607,0.616,0.654,0.709,0.755,0.832,0.88,0.922,0.879,1.008,1.06,1.071,1.06,1.032,1.096,1.27,1.265,1.231,1.098,0.965,21.709,1.28,19:30,2024-09-18
San Buenaventura,2.464,2.253,2.129,2.019,1.955,1.906,1.801,1.767,1.975,2.237,2.443,2.59,2.574,2.782,2.946,3.002,2.992,2.894,3.102,3.476,3.484,3.428,3.251,2.989,62.453,3.495,19:30,2024-09-19
San Buenaventura,0.849,0.758,0.701,0.678,0.663,0.667,0.678,0.735,0.809,0.936,0.981,1.032,0.969,1.073,1.127,1.138,1.128,1.074,1.149,1.316,1.336,1.284,1.166,1.035,23.278,1.358,20:15,2024-09-19
