Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
San Ignacio de Moxos,2.24,2.123,2.02,1.908,1.273,1.168,0.975,1.353,1.525,1.558,1.53,1.53,1.588,1.673,1.708,1.728,1.775,1.79,2.3,2.553,2.43,2.295,2.04,1.81,42.888,2.6,19:00,2024-09-01
San Ignacio de Moxos,1.638,1.515,1.445,1.405,1.365,1.39,1.288,1.353,1.395,1.458,1.463,1.608,1.645,1.825,1.898,2.045,2.028,2.065,2.508,2.663,2.648,2.535,2.325,2.023,43.525,2.72,19:00,2024-09-02
San Ignacio de Moxos,1.798,1.663,1.573,1.513,1.485,1.518,1.34,1.403,1.495,1.595,1.715,1.91,2.025,2.305,2.535,2.61,2.51,2.458,2.773,3.075,3,2.96,2.805,2.558,50.618,3.09,19:15,2024-09-03
San Ignacio de Moxos,2.228,2.028,1.913,1.83,1.748,1.735,1.515,1.553,1.688,1.79,1.85,2.04,2.143,2.43,2.678,2.62,2.575,2.498,2.918,3.26,3.22,3.193,3.108,2.808,55.363,3.3,19:30,2024-09-04
San Ignacio de Moxos,2.538,2.368,2.228,2.118,2.028,1.968,1.745,1.698,1.755,1.778,1.848,1.883,1.825,1.978,2.098,2.083,2.065,2.11,2.558,2.753,2.718,2.62,2.4,2.138,51.293,2.8,19:00,2024-09-05
San Ignacio de Moxos,1.908,1.775,1.683,1.623,1.585,1.6,1.455,1.503,1.548,1.608,1.645,1.735,1.72,1.803,1.9,1.938,1.893,1.975,2.423,2.61,2.503,2.375,2.183,1.925,44.91,2.64,19:15,2024-09-06
San Ignacio de Moxos,1.733,1.62,1.545,1.493,1.453,1.428,1.26,1.29,1.395,1.473,1.588,1.723,1.835,1.97,2.118,2.298,2.268,2.225,2.723,2.963,2.928,2.805,2.6,2.368,47.095,3.02,19:00,2024-09-07
San Ignacio de Moxos,2.16,1.99,1.808,1.723,1.658,1.638,1.44,1.378,1.515,1.663,1.823,1.91,2.033,2.29,2.4,2.408,2.4,2.395,2.835,3.085,3.005,2.938,2.758,2.553,51.8,3.14,19:00,2024-09-08
San Ignacio de Moxos,2.345,2.17,2.035,1.935,1.853,1.833,1.623,1.6,1.79,1.975,2.128,2.378,2.395,2.56,2.793,2.863,2.793,2.67,3.058,3.22,3.263,3.18,3.005,2.75,58.21,3.28,19:00,2024-09-09
San Ignacio de Moxos,2.448,2.225,2.09,1.985,1.908,1.878,1.65,1.623,1.793,2.005,2.173,2.368,2.463,2.688,2.908,2.88,2.733,2.678,3.068,3.333,3.298,3.173,3.118,2.908,59.385,3.36,19:15,2024-09-10
San Ignacio de Moxos,2.59,2.385,2.268,2.155,2.045,1.98,1.728,1.668,1.895,2.06,2.285,2.455,2.54,2.853,3.055,2.998,2.83,2.703,3.095,3.435,3.408,3.435,3.378,3.153,62.393,3.46,19:30,2024-09-11
San Ignacio de Moxos,2.868,2.663,2.538,2.43,2.285,2.27,1.958,1.9,2.168,2.34,2.533,2.6,2.573,2.855,2.878,2.79,2.62,2.568,2.818,3.023,3.038,2.97,2.84,2.623,62.143,3.05,20:15,2024-09-12
San Ignacio de Moxos,2.38,2.218,2.108,2.02,1.968,1.93,1.715,1.745,1.978,2.173,2.36,2.51,2.618,2.863,3.05,3.093,2.92,2.768,3.148,3.43,3.465,3.46,3.385,3.143,62.443,3.49,20:45,2024-09-13
San Ignacio de Moxos,2.92,2.738,2.588,2.48,2.378,2.343,2.025,1.955,2.083,2.313,2.505,2.568,2.573,2.75,2.105,0.83,0.845,0.983,1.045,1.038,1.025,0.958,0.86,0.755,44.658,3.01,00:15,2024-09-14
San Ignacio de Moxos,1.573,1.64,1.005,0.585,0.573,0.565,0.523,0.498,0.545,0.558,0.583,1.27,1.51,1.498,1.483,1.553,1.525,1.573,2.125,2.358,2.275,2.16,1.933,1.683,31.588,2.4,19:00,2024-09-15
San Ignacio de Moxos,1.515,1.435,1.393,1.353,1.328,1.343,1.213,1.263,1.433,1.465,1.515,1.618,1.613,1.695,1.845,1.865,1.843,1.86,2.448,2.685,2.588,2.435,2.205,1.96,41.91,2.72,19:00,2024-09-16
San Ignacio de Moxos,1.715,1.585,1.52,1.493,1.465,1.483,1.35,1.39,1.485,1.6,1.688,1.78,1.815,2.023,2.128,2.19,2.185,2.138,2.63,2.89,2.883,2.775,2.568,2.293,47.068,2.96,19:00,2024-09-17
San Ignacio de Moxos,2.038,1.87,1.783,1.695,1.618,1.628,1.495,1.525,1.603,1.743,1.908,2.013,2.085,2.383,2.438,2.575,2.54,2.51,3.008,3.213,3.245,3.195,3.045,2.773,53.923,3.28,19:00,2024-09-18
San Ignacio de Moxos,2.475,2.27,2.143,2.03,1.933,1.905,1.683,1.675,1.835,1.973,2.16,2.343,2.42,2.77,2.93,2.943,2.89,2.758,3.143,3.465,3.353,3.5,3.4,3.195,61.188,3.51,21:15,2024-09-19
San Ignacio de Moxos,2.893,2.623,0.94,0.878,0.83,0.788,1.943,2.083,2.185,2.308,2.485,2.635,2.73,3.018,3.153,3.1,2.99,2.858,3.31,3.6,3.578,3.575,3.44,3.058,60.995,3.64,21:45,2024-09-20
San Ignacio de Moxos,3.015,2.745,2.61,2.483,2.363,2.278,2.04,2.015,2.093,2.303,2.348,2.608,2.793,2.923,3.08,3.08,2.958,2.9,3.373,3.733,3.65,3.518,3.433,3.32,67.655,3.76,19:45,2024-09-21
San Ignacio de Moxos,3.14,2.905,2.76,2.635,2.515,2.413,2.083,1.983,2.183,2.413,2.575,2.675,2.783,3.003,3.19,3.225,3.063,2.97,3.345,3.74,3.573,3.47,3.47,3.43,69.538,3.8,19:15,2024-09-22
San Ignacio de Moxos,3.21,2.993,2.805,2.67,2.53,2.448,2.093,2.03,2.263,2.433,2.585,2.778,2.863,3.185,3.323,3.248,3.095,2.978,3.348,3.635,3.683,3.688,3.645,3.425,70.948,3.71,21:45,2024-09-23
