Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
San Julián,12.734,12.236,11.904,11.57,11.309,10.798,9.59,8.976,9.182,9.211,9.45,9.569,9.499,9.686,10.014,10.028,10.128,10.237,12.919,13.588,13.014,12.371,12.335,11.507,261.856,13.751,19:00,2024-09-01
San Julián,12.554,12.362,11.863,11.957,12.384,12.581,12.319,13.109,14.454,15.88,16.363,17.114,16.92,18.394,19.484,19.582,18.399,16.357,16.611,17.426,17.266,16.584,15.625,14.666,370.257,19.865,15:00,2024-09-02
San Julián,15.2,15.092,14.274,14.374,14.525,14.573,14.153,14.991,16.624,18.013,19.451,20.267,19.261,20.318,21.1,21.677,20.256,17.998,18.117,18.813,18.67,17.905,17.316,16.815,419.782,21.798,15:45,2024-09-03
San Julián,17.074,16.769,15.823,15.84,15.9,16.224,15.694,15.747,16.774,18.044,18.974,19.828,18.519,20.007,20.812,21.547,21.062,19.302,18.865,19.059,19.351,18.64,17.704,17.261,434.82,21.796,16:00,2024-09-04
San Julián,17.639,17.003,16.075,16.362,16.117,16.16,15.511,15.599,16.743,17.599,18.05,18.569,16.799,17.814,18.96,19.132,18.425,16.925,16.886,16.777,16.347,15.355,14.464,13.936,403.248,19.168,15:30,2024-09-05
San Julián,13.746,13.25,12.846,12.626,12.568,12.786,12.059,11.853,12.588,13.526,13.981,14.619,14.056,14.648,15.139,15.173,14.697,14.353,16.583,17.155,16.8,15.781,15.636,15.219,341.689,17.226,19:15,2024-09-06
San Julián,15.888,15.522,14.689,14.946,15.21,15.088,14.53,14.834,15.521,16.738,17.928,18.451,18.178,18.899,19.476,19.204,18.226,16.843,17.448,17.573,16.984,16.321,15.582,14.827,398.906,19.674,14:30,2024-09-07
San Julián,14.363,13.849,13.317,13.008,12.577,12.233,10.511,10.054,10.077,11.43,12.713,13.631,13.602,14.841,15.242,15.667,15.413,14.975,16.52,16.913,16.165,15.569,15.539,15.259,333.468,17.132,19:30,2024-09-08
San Julián,15.752,15.372,14.755,14.702,15.015,15.376,14.773,15.554,17.216,19.342,20.901,21.501,20.864,22.309,23.218,23.597,23.035,20.611,20.925,21.215,21.473,20.464,19.676,18.776,456.424,23.633,15:45,2024-09-09
San Julián,18.842,18.352,17.562,17.026,16.792,17.107,16.309,16.993,18.315,20.753,22.169,22.036,20.837,22.311,23.504,23.884,23.453,20.92,20.91,21.35,21.372,20.835,20.196,19.696,481.523,24.004,15:30,2024-09-10
San Julián,19.397,18.428,17.528,17.573,17.714,17.825,16.844,17.644,19.62,21.461,22.847,23.087,22.44,23.596,24.495,23.648,22.687,20.797,20.974,21.707,21.802,21.364,20.654,20.275,494.407,24.771,14:45,2024-09-11
