Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Santivañez,21.964,22.297,23.16,23.347,22.645,22.955,21.573,21.649,24.921,25.887,25.101,22.372,20.955,19.343,17.604,17.758,18.231,16.203,15.671,13.642,21.823,23.583,21.397,20.934,505.013,27.531,20:45,2024-09-01
Santivañez,19.103,21.959,21.632,21.789,22.104,22.702,22.446,23.626,22.884,23.596,21.889,19.917,17.475,17.746,19.808,20.84,20.609,20.631,19.624,18.229,22.309,27.677,22.786,21.334,512.717,29.692,21:00,2024-09-02
Santivañez,18.523,20.525,20.086,19.097,19.902,21.704,21.955,21.781,23.501,24.432,25.664,26.534,23.33,23.319,24.876,25.488,25.299,23.537,20.84,20.4,26.787,29.594,27.4,22.682,557.256,31.335,21:00,2024-09-03
Santivañez,20.482,19.281,17.474,17.629,17.658,19.72,24.344,26.706,26.792,26.389,25.488,24.981,22.698,23.268,24.003,24.063,22.027,19.583,19.664,19.941,25.762,33.243,28.226,24.021,553.444,34.195,21:00,2024-09-04
Santivañez,20.253,21.35,21.621,20.466,22.106,23.863,23.484,24.658,27.189,27.946,26.619,28.547,27.68,28.362,28.647,28.017,26.84,28.577,26.372,20.531,26.995,32.145,27.527,25.012,614.807,34.866,21:15,2024-09-05
Santivañez,22.307,23.779,21.998,20.847,22.325,24.593,26.798,28.466,30.701,29.686,31.009,29.124,26.587,28.091,28.988,30.358,29.068,23.842,21.17,20.703,27.972,31.496,29.139,25.931,634.977,32.65,21:45,2024-09-06
Santivañez,25.233,25.626,23.39,21.841,21.447,22.72,24.777,25.493,27.797,28.821,28.483,28.665,26.636,23.488,22.533,22.464,23.29,22.07,20.975,18.048,25.836,31.644,26.298,31.197,598.772,33.401,21:45,2024-09-07
Santivañez,26.934,24.586,22.635,22.044,20.736,20.623,19.507,19.056,18.799,24.103,25.446,25.955,25.483,24.819,20.027,24.851,22.694,18.138,14.648,13.467,20.535,24.858,22.471,19.296,521.709,28.551,00:15,2024-09-08
Santivañez,17.272,21.188,22.924,22.48,22.721,24.775,28.536,25.506,26.106,25.692,23.718,22.298,19.12,19.932,20.354,16.581,15.473,9.993,7.817,6.341,13.254,19.285,18.689,16.808,466.865,28.762,06:15,2024-09-09
Santivañez,15.863,17.606,19.471,19.229,20.586,22.606,25.794,26.576,25.662,20.187,17.707,15.812,14.753,14.731,14.883,12.291,11.96,10.25,9.442,6.649,13.136,16.154,18.442,16.496,406.288,27.367,07:15,2024-09-10
Santivañez,14.172,19.585,24.307,25.293,26.143,25.533,26.113,25.947,24.38,19.113,18.65,15.412,11.895,11.685,12.35,12.577,12.486,11.16,11.544,2.363,7.792,13.779,10.256,11.006,393.539,27.473,07:15,2024-09-11
Santivañez,8.407,7.173,12.547,15.863,15.786,17.183,15.927,13.086,13.334,12.732,14.312,14.927,13.16,15.002,15.276,16.07,16.391,14.477,13.481,10.692,16.137,19.515,23.564,23.776,358.819,26.018,23:15,2024-09-12
