Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Sucre - 115,22.793,22.046,21.61,21.244,21.09,21.362,20.783,20.76,18.554,16.994,17.833,15.15,11.799,11.961,12.438,12.786,12.784,13.563,16.865,20.114,21.536,20.859,19.393,17.339,431.654,23.072,00:15,2024-09-01
Sucre - 115,16.04,15.507,15.087,14.759,14.895,15.063,17.197,22.097,21.393,19.04,19.149,19.409,19,19.165,20.029,22.365,24.009,22.218,22.355,23.798,23.491,22.902,21.238,22.877,473.082,24.236,16:45,2024-09-02
Sucre - 115,22.148,21.468,21.253,20.865,20.904,21.333,22.582,23.259,23.666,23.997,24.047,24.013,23.531,23.923,24.208,24.721,24.62,23.654,22.147,23.577,23.34,22.922,21.465,21.746,549.388,24.858,15:30,2024-09-03
Sucre - 115,21.56,18.321,20.835,21.02,21.112,21.726,23.212,24.149,23.733,23.914,23.879,24.082,23.778,23.96,24.591,24.871,24.635,24.117,22.626,23.695,23.529,23.012,21.582,21.902,549.838,25.293,17:30,2024-09-04
Sucre - 115,22.733,22.033,21.795,20.818,21.367,22.001,23.367,23.705,23.534,23.272,22.046,23.751,23.589,23.493,24.302,24.891,24.702,23.723,22.726,23.576,23.414,22.935,21.585,22.13,551.486,25.057,15:45,2024-09-05
Sucre - 115,22.863,22.159,21.751,21.46,21.376,21.903,23.253,23.949,23.391,23.732,23.641,22.789,21.408,24.066,24.659,25.2,25.023,23.082,23.177,24.629,24.196,23.655,22.159,20.462,553.985,25.366,15:30,2024-09-06
Sucre - 115,22.674,22.076,21.702,21.378,21.366,21.944,22.153,22.694,23.717,24.174,24.447,24.165,24.109,24.425,24.925,25.035,24.718,23.747,22.302,23.244,22.759,22.247,20.988,22.07,553.058,25.221,15:00,2024-09-07
Sucre - 115,23.142,22.412,22.138,21.667,21.578,21.765,21.581,21.642,22.579,23.317,23.339,23.259,23.102,23.462,23.848,24.253,24.366,23.975,22.814,22.985,21.502,21.134,19.463,17.879,537.2,24.491,17:15,2024-09-08
Sucre - 115,16.499,15.776,15.329,15.087,15.211,15.892,17.705,18.108,17.448,19.737,22.023,22.386,22.26,22.073,22.458,15.427,11.854,13.512,17.852,18.98,18.696,18.087,18.384,19.434,430.215,22.78,15:15,2024-09-09
Sucre - 115,20.93,20.39,20.734,22.191,22.42,22.84,23.221,21.701,21.523,21.532,21.55,21.574,21.307,20.98,22.362,25.541,25.896,25.24,21.431,22.714,21.617,21.548,20.055,19.036,528.333,26.398,17:30,2024-09-10
Sucre - 115,23.355,23.236,21.677,19.755,19.669,20.326,21.289,22.761,22.912,23.18,23.191,23.416,22.732,23.256,25.754,26.806,26.812,27.187,23.457,24.368,24.293,23.619,21.958,21.315,556.325,27.34,17:45,2024-09-11
Sucre - 115,24.258,25.713,25.227,24.934,24.935,25.034,25.032,25.643,25.436,25.523,25.558,25.796,25.18,25.671,26.342,26.769,26.737,26.749,23.127,23.967,23.472,23.03,21.513,21.16,596.806,27.005,17:45,2024-09-12
Sucre - 115,24.872,25.56,25.298,24.813,24.856,25.335,24.727,25.482,25.421,25.115,25.204,25.565,25.161,25.809,26.797,27.161,26.85,26.552,21.654,22.287,21.776,21.089,19.793,20.365,587.545,27.28,15:15,2024-09-13
Sucre - 115,21.205,20.422,20.002,19.638,19.636,20.199,20.525,21.351,21.945,22.717,22.715,22.257,21.682,21.547,21.664,21.639,21.43,21.78,21.135,21.597,21.103,20.514,19.544,19.827,506.076,22.907,10:15,2024-09-14
Sucre - 115,20.579,20.243,15.226,13.633,14.461,14.847,14.791,14.814,15.371,15.97,16.267,16.395,16.429,16.786,17.255,17.63,17.97,17.909,20.346,21.963,21.788,20.74,19.329,17.591,418.334,22.018,19:30,2024-09-15
Sucre - 115,16.099,15.482,14.987,14.928,15.398,17.125,19.295,21.675,20.904,20.985,21.162,21.511,21.36,21.315,21.733,22.155,22.126,21.709,20.811,20.534,19.043,22.194,19.635,19.685,471.85,22.456,21:15,2024-09-16
Sucre - 115,21.737,22.416,20.239,19.722,19.316,20.069,20.712,20.924,21.676,21.897,22.139,22.535,21.781,22.04,22.831,22.959,21.149,21.318,21.664,23.126,22.988,22.613,20.73,18.768,515.348,24.262,15:30,2024-09-17
Sucre - 115,17.154,16.262,15.82,15.471,15.546,16.217,17.625,18.351,17.882,18,18.169,18.531,18.019,18.492,18.891,19.396,19.325,19.697,22.055,23.479,23.201,22.639,20.965,18.855,450.042,23.722,19:30,2024-09-18
Sucre - 115,17.364,16.509,16.257,15.97,15.939,16.491,17.433,18.516,18.405,18.564,18.75,19.078,18.985,19.523,20.2,20.432,20.309,20.447,22.678,24.309,23.989,23.4,22.003,19.944,465.496,24.398,19:15,2024-09-19
Sucre - 115,18.259,17.326,16.854,16.482,16.587,17.111,16.397,16.394,16.422,16.872,16.942,17.411,17.413,17.756,17.938,17.665,17.687,18.082,20.368,21.807,21.64,21.23,20.223,18.419,433.284,21.931,19:45,2024-09-20
Sucre - 115,16.869,16.13,15.878,12.758,12.422,13.149,13.396,14.358,16.523,19.462,19.476,19.036,18.396,18.896,19.789,20.037,20.036,20.434,22.99,24.086,23.03,22.216,20.818,19.449,439.633,24.381,19:15,2024-09-21
Sucre - 115,18.766,16.942,14.859,14.48,14.226,14.332,13.532,14.25,15.22,15.705,16.114,16.377,16.261,16.46,20.476,21.283,21.325,21.87,22.536,22.144,19.389,18.694,16.903,15.002,417.146,24.117,19:30,2024-09-22
Sucre - 115,13.584,12.728,12.272,12.096,12.132,16.584,18.693,19.23,18.893,19.049,19.377,19.719,19.587,19.848,20.104,20.334,20.33,20.517,23.023,23.906,23.242,22.114,20.866,19.03,447.256,24.074,19:15,2024-09-23
Sucre - 115,17.637,16.835,16.454,16.203,16.233,16.824,16.66,16.582,16.758,17.011,17.06,17.569,16.971,19.261,22.262,22.508,22.599,22.586,22.636,24.118,23.979,23.127,21.457,19.557,462.888,24.302,19:30,2024-09-24
Sucre - 115,17.902,14.503,12.641,12.421,13.075,14.989,16.244,16.957,16.744,16.885,20.723,21.413,20.951,21.405,22.049,22.34,22.255,22.488,22.643,24.099,23.87,23.364,21.708,19.603,461.274,24.206,19:30,2024-09-25
Sucre - 115,17.929,13.756,12.781,14.313,14.412,14.94,16.136,16.618,16.532,16.442,16.464,16.69,16.309,16.373,16.86,19.816,21.145,21.608,22.101,22.933,22.563,21.914,20.462,18.684,427.781,23.226,19:15,2024-09-26
Sucre - 115,17.448,16.692,16.341,16.105,16.206,16.814,18.329,19.017,18.856,18.653,18.939,19.195,18.786,19.396,21.48,22.534,22.508,22.469,22.457,23.844,23.441,22.852,21.67,21.127,475.158,24.168,19:15,2024-09-27
Sucre - 115,21.01,21.275,22.295,22.045,21.894,22.519,22.581,23.709,24.647,24.815,25.726,26.753,26.257,26.744,27.544,27.513,27.011,26.013,22.472,23.549,22.965,22.449,21.116,21.694,574.597,27.704,14:45,2024-09-28
Sucre - 115,25.818,26.287,26.317,27.31,27.334,27.262,25.248,26.064,26.396,27.124,27.287,27.391,27.238,27.374,27.828,28.567,24.489,23.879,22.218,24.031,23.768,23.055,21.518,20.668,614.469,28.858,15:30,2024-09-29
Sucre - 115,23.181,24.97,23.182,23.229,23.471,24.205,25.955,26.342,26.297,28.52,28.274,28.769,28.847,28.758,26.211,19.327,24.696,24.084,22.186,24.385,24.286,24.015,22.579,24.075,599.842,29.123,13:00,2024-09-30
Sucre - 115,26.471,28.644,28.27,27.964,28.088,28.101,27.621,28.03,28.138,28.093,27.657,27.76,28.412,28.768,29.63,29.934,29.679,28.697,25.526,27.112,27.029,26.588,25.141,25.27,666.622,30.228,15:15,2024-10-01
Sucre - 115,26.818,26.469,26.04,25.898,26.11,26.869,28.236,28.799,28.597,28.645,28.847,29.087,28.416,28.669,29.14,29.71,29.451,28.816,25.46,26.561,26.201,25.623,24.335,24.845,657.64,29.829,17:15,2024-10-02
Sucre - 115,27.649,28.301,27.801,27.316,27.842,28.452,29.578,30.269,30.093,30.412,30.396,30.52,30.24,30.273,27.664,29.194,29.025,27.647,24.174,25.35,24.966,24.291,22.645,23.297,667.397,30.666,11:30,2024-10-03
Sucre - 115,24.46,27.375,27.414,27.394,26.72,27.52,29.071,29.639,29.281,29.758,29.603,29.966,29.851,29.906,28.837,29.051,28.958,28.041,25.055,26.593,25.952,25.515,24.312,25.012,665.287,30.138,12:45,2024-10-04
Sucre - 115,26.432,25.694,24.902,25.274,23.83,25.225,25.288,26.83,27.99,28.429,28.601,28.655,28.249,28.099,25.964,25.662,25.436,24.377,22.78,24.991,24.622,23.901,22.668,24.729,618.628,28.899,11:30,2024-10-05
Sucre - 115,25.489,24.959,24.507,24.008,22.874,24.239,23.866,23.672,23.249,23.811,24.131,24.109,23.846,24.291,24.961,25.142,25.198,25.254,24.498,25.462,25.373,24.659,23.012,21.039,581.648,25.702,00:30,2024-10-06
Sucre - 115,18.805,18.705,18.298,18.013,19.132,23.01,24.46,24.918,24.416,24.759,24.82,25.274,25.171,25.127,25.74,25.97,25.82,25.987,24.927,25.325,25.108,24.413,22.922,24.727,565.848,26.201,18:15,2024-10-07
Sucre - 115,25.472,25.243,26.987,26.882,26.499,27.731,28.604,29.296,29.61,29.853,29.866,29.993,29.264,29.551,28.093,28.473,28.444,27.958,25.222,26.475,26.529,25.996,24.141,22.13,658.311,30.213,11:30,2024-10-08
Sucre - 115,24.021,25.596,25.237,25.006,25.101,25.474,25.54,25.696,25.565,25.695,25.79,25.915,25.217,25.171,25.936,26.064,25.827,25.725,24.869,26.42,26.325,25.647,23.986,22.148,607.97,26.482,19:15,2024-10-09
Sucre - 115,22.38,23.34,22.993,22.776,23.136,23.574,22.812,22.122,21.644,22.008,21.898,22.066,21.851,21.886,22.373,22.47,22.615,23.091,25.15,26.635,26.245,25.75,24.264,22.418,555.497,26.825,19:15,2024-10-10
Sucre - 115,21.233,22.643,21.702,19.89,20.034,20.8,21.851,22.516,22.252,22.314,22.402,22.671,22.425,20.247,20.388,21.681,22.923,23.064,24.862,26.42,23.856,23.245,23.834,22.262,535.514,26.893,19:15,2024-10-11
Sucre - 115,20.874,21.77,23.087,22.884,23.014,23.398,23.466,23.22,22.267,22.699,22.766,22.78,22.309,22.453,23.348,23.253,22.885,23.293,22.736,23.001,22.791,22.195,21.487,20.821,542.798,24.314,07:30,2024-10-12
Sucre - 115,19.637,18.89,18.565,18.173,18.08,18.246,17.94,18.841,19.23,19.84,20.044,20.012,20.036,20.34,20.906,21.208,21.059,21.149,23.396,25.413,25.165,24.6,22.972,20.82,494.56,25.504,19:30,2024-10-13
Sucre - 115,19.54,18.961,18.437,18.164,18.697,19.945,23.739,24.528,24.003,24.315,24.447,24.564,24.621,24.616,25.18,25.331,25.315,24.609,23.705,25.332,25.013,24.454,23.07,24.571,555.157,25.59,17:30,2024-10-14
Sucre - 115,22.679,19.419,17.196,16.5,16.467,16.72,17.723,18.999,20.268,21.978,22.58,21.993,21.918,23.368,24.503,24.625,24.763,24.369,23.549,24.718,24.256,23.56,22.078,20.513,514.742,25.13,17:30,2024-10-15
Sucre - 115,20.803,21.187,20.865,20.485,18.251,17.736,18.832,19.518,19.353,19.424,19.379,19.396,19.158,19.535,19.939,20.592,20.568,20.977,22.239,23.959,23.75,23.108,21.389,19.451,489.894,24.05,19:15,2024-10-16
Sucre - 115,18.121,17.283,16.977,16.764,16.89,17.2,18.562,19.129,18.828,18.814,18.945,19.498,19.284,19.589,20.012,20.223,20.004,20.144,22.025,23.747,23.669,23.301,21.6,19.647,470.258,23.861,19:30,2024-10-17
Sucre - 115,18.286,17.535,17.162,16.855,16.769,17.281,18.594,19.118,18.941,19.045,19.302,19.35,18.707,18.93,19.703,19.427,17.744,17.801,19.332,20.858,20.346,19.655,18.081,16.562,445.384,21.112,19:30,2024-10-18
Sucre - 115,15.405,14.787,14.454,14.175,14.225,14.989,16.413,17.509,18.714,19.561,19.479,19.472,19.19,19.814,20.607,16.852,16.52,16.518,18.537,21.156,20.894,20.351,20.249,19.359,429.229,21.453,19:30,2024-10-19
Sucre - 115,19.367,18.469,18.175,17.96,17.861,17.702,17.395,17.98,18.909,19.23,19.621,19.876,19.962,21.03,22.832,24.375,24.351,23.792,23.092,25.369,24.825,23.795,22.896,23.445,502.31,25.571,19:30,2024-10-20
Sucre - 115,22.604,21.857,21.558,21.273,21.39,21.352,22.444,24.317,23.957,24.039,24.122,24.484,24.525,24.46,24.908,24.908,24.896,23.882,21.557,24.224,23.015,23.091,21.645,21.994,556.502,25.227,15:00,2024-10-21
Sucre - 115,23.608,24.129,23.643,23.327,22.62,22.341,23.202,23.89,24.055,24.164,26.104,26.898,27.471,26.916,23.86,25.096,25.463,24.876,23.512,24.449,24.575,25.487,24.017,24.011,587.715,28.763,11:30,2024-10-22
Sucre - 115,26.092,26.138,25.732,25.579,25.743,26.178,27.165,28.068,27.821,28.284,28.371,28.62,28.52,28.683,29.206,29.225,29.656,28.744,25.057,26.752,26.668,25.857,23.954,24.195,650.309,29.809,17:15,2024-10-23
Sucre - 115,26.016,26.104,25.869,25.62,25.684,25.961,27.431,27.683,26.426,26.404,27.255,28.553,28.085,27.983,25.04,25.417,24.212,21.29,22.593,24.63,25.411,25.188,23.732,23.951,616.539,28.764,11:45,2024-10-24
Sucre - 115,26.259,26.437,25.788,25.713,25.638,26.096,27.404,28.045,27.791,27.819,27.692,28.028,28.097,28.185,25.766,25.936,25.863,25.467,23.468,25.342,25.13,24.537,23.193,20.95,624.645,28.532,07:30,2024-10-25
Sucre - 115,19.625,21.2,24.875,24.847,25.5,24.4,23.046,23.98,24.799,25.28,27.598,26.661,25.751,25.668,23.133,22.742,22.943,22.812,22.492,24.092,23.416,22.783,21.163,21.686,570.492,27.916,11:00,2024-10-26
Sucre - 115,21.167,20.409,19.999,17.808,15.465,15.287,14.974,15.505,16.15,16.775,17.157,17.269,17.088,17.261,17.994,18.323,18.461,18.626,20.556,22.733,22.572,21.796,20.031,18.082,441.487,22.991,19:30,2024-10-27
Sucre - 115,16.752,16.15,14.211,12.604,12.834,13.31,15.469,15.819,15.128,15.459,15.493,15.823,15.551,15.512,16.527,18.646,18.875,19.135,20.231,21.866,21.651,20.995,19.731,18.593,406.366,22.011,19:30,2024-10-28
Sucre - 115,21.834,22.611,22.356,22.286,22.567,22.901,24.099,25.124,24.724,24.97,24.908,24.99,24.591,24.917,25.599,26.122,25.927,25.659,23.751,25.684,25.461,24.771,22.435,21.652,579.937,26.274,17:45,2024-10-29
Sucre - 115,23.605,20.041,19.466,19.249,19.491,20.075,21.085,21.683,21.378,21.56,21.14,21.451,21.536,22.278,21.882,22.969,22.745,22.791,21.188,23.651,23.603,23.262,24.011,23.374,523.513,24.547,22:30,2024-10-30
Sucre - 115,20.318,19.525,18.897,18.678,18.957,19.255,20.708,21.334,20.817,20.901,20.771,21.207,21.158,21.477,21.436,21.577,21.763,21.443,17.485,19.376,18.952,18.701,19.706,18.699,483.14,22.006,17:15,2024-10-31
Sucre - 115,17.183,16.243,15.803,15.532,15.739,15.862,16.974,17.171,16.809,14.038,12.66,13.729,14.396,17.072,16.446,17.429,17.556,17.427,16.373,18.701,18.54,18.029,19.27,20.563,399.546,21.183,23:45,2024-11-01
Sucre - 115,20.136,19.461,19.058,17.388,15.339,14.864,14.561,15.498,16.592,17.353,17.775,17.835,17.232,12.401,13.231,16.174,17.08,17.06,16.271,18.487,18.402,18.005,19.156,18.281,407.638,20.485,00:15,2024-11-02
Sucre - 115,17.19,16.417,16.034,15.699,15.546,15.205,14.522,15.305,16.094,16.626,16.817,17.282,17.331,17.292,17.607,18.131,18.401,17.924,16.798,18.301,17.244,18.47,19.269,18.017,407.523,19.612,22:15,2024-11-03
Sucre - 115,16.674,16.013,13.801,12.536,12.725,12.953,17.587,19.914,19.098,19.413,19.652,20.07,20.312,20.353,19.636,21.918,22.986,22.692,17.674,20.04,20.111,19.604,18.548,19.424,443.734,23.35,17:45,2024-11-04
Sucre - 115,22.885,23.85,23.282,23.133,23.309,24.019,24.708,25.422,25.443,21.846,21.564,21.795,21.905,21.245,21.661,21.965,21.578,21.508,17.915,18.457,17.823,16.961,15.527,16.475,514.277,25.772,08:45,2024-11-05
Sucre - 115,19.744,20.379,21.658,22.872,23.127,23.259,24.909,25.569,24.789,22.573,22.048,22.359,22.077,22.351,22.81,23.095,22.871,20.189,17.516,19.347,18.416,17.966,16.911,18.51,515.344,26.145,07:15,2024-11-06
