Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Sucre - FANCESSA,1.859,1.784,1.724,1.697,1.721,1.779,1.575,1.516,1.597,1.581,1.555,1.545,1.54,1.591,1.661,1.643,1.636,1.735,2.379,2.669,2.545,2.289,1.995,1.826,43.44,2.683,20:00,2024-09-01
Sucre - FANCESSA,1.723,1.672,1.63,1.614,1.63,1.703,1.605,1.557,1.478,1.508,1.447,1.537,1.434,1.467,1.57,1.57,1.605,1.657,2.214,2.653,2.575,2.323,2.025,1.857,42.053,2.664,20:00,2024-09-02
Sucre - FANCESSA,1.761,1.708,1.664,1.685,1.697,1.764,1.597,1.535,1.49,1.572,1.561,1.594,1.504,1.535,1.671,1.687,1.674,1.656,2.239,2.68,2.686,2.397,2.108,1.874,43.338,2.775,20:00,2024-09-03
Sucre - FANCESSA,1.766,1.726,1.729,1.696,1.711,1.797,1.684,1.595,1.625,1.679,1.645,1.719,1.531,1.557,1.664,1.729,1.783,1.781,2.367,2.791,2.696,2.43,2.157,1.923,44.778,2.813,19:45,2024-09-04
Sucre - FANCESSA,1.799,1.751,1.733,1.716,1.749,1.83,1.775,1.647,1.591,1.582,1.508,1.507,1.475,1.466,1.583,1.647,1.615,1.732,2.383,2.793,2.653,2.439,2.176,1.923,44.067,2.819,19:45,2024-09-05
Sucre - FANCESSA,1.813,1.786,1.746,1.715,1.727,1.826,1.635,1.528,1.509,1.598,1.533,1.553,1.573,1.536,1.65,1.734,1.788,1.886,2.421,2.77,2.701,2.512,2.224,1.984,44.747,2.798,19:30,2024-09-06
Sucre - FANCESSA,1.871,1.818,1.756,1.742,1.741,1.823,1.591,1.513,1.557,1.591,1.628,1.632,1.588,1.609,1.655,1.635,1.651,1.746,2.323,2.691,2.632,2.438,2.208,1.996,44.433,2.717,20:00,2024-09-07
Sucre - FANCESSA,1.879,1.797,1.76,1.709,1.753,1.837,1.62,1.501,1.616,1.652,1.618,1.631,1.576,1.606,1.641,1.62,1.621,1.701,2.308,2.636,2.528,2.298,2.033,1.865,43.801,2.654,19:30,2024-09-08
Sucre - FANCESSA,1.763,1.707,1.674,1.669,1.676,1.75,1.649,1.645,1.512,1.553,1.511,1.529,1.53,1.461,1.595,1.641,1.641,1.716,2.314,2.72,2.651,2.408,2.077,1.875,43.266,2.724,19:45,2024-09-09
Sucre - FANCESSA,1.79,1.74,1.732,1.708,1.704,1.793,1.606,1.517,1.557,1.638,1.578,1.597,1.499,1.546,1.631,1.667,1.694,1.738,2.399,2.771,2.717,2.437,2.146,1.922,44.125,2.792,19:45,2024-09-10
Sucre - FANCESSA,1.8,1.758,1.708,1.723,1.729,1.862,1.645,1.622,1.586,1.629,1.584,1.606,1.523,1.572,1.684,1.698,1.774,1.799,2.355,2.77,2.723,2.504,2.171,1.945,44.767,2.778,19:30,2024-09-11
Sucre - FANCESSA,1.82,1.758,1.733,1.729,1.747,1.843,1.704,1.606,1.588,1.665,1.582,1.62,1.523,1.569,1.621,1.68,1.791,1.744,2.309,2.749,2.685,2.433,2.125,1.915,44.537,2.793,20:00,2024-09-12
Sucre - FANCESSA,1.8,1.747,1.722,1.704,1.714,1.812,1.61,1.537,1.648,1.765,1.658,1.696,1.592,1.625,1.696,1.775,1.818,1.81,2.35,2.736,2.706,2.475,2.188,1.981,45.16,2.754,20:15,2024-09-13
Sucre - FANCESSA,1.864,1.764,1.718,1.7,1.704,1.763,1.547,1.5,1.535,1.569,1.631,1.609,1.504,1.453,1.493,1.504,1.583,1.699,2.247,2.414,2.331,2.15,2.008,1.836,42.122,2.432,19:15,2024-09-14
Sucre - FANCESSA,1.766,1.752,1.735,1.7,1.704,1.755,1.551,1.451,1.531,1.53,1.524,1.515,1.516,1.536,1.597,1.626,1.636,1.589,2.1,2.548,2.478,2.276,2.052,1.842,42.308,2.563,19:45,2024-09-15
Sucre - FANCESSA,1.713,1.668,1.658,1.654,1.679,1.733,1.662,1.597,1.47,1.515,1.526,1.522,1.467,1.434,1.484,1.523,1.587,1.633,2.205,2.68,2.591,2.302,2.043,1.835,42.178,2.694,19:45,2024-09-16
Sucre - FANCESSA,1.701,1.665,1.653,1.635,1.658,1.757,1.54,1.599,1.593,1.61,1.539,1.549,1.455,1.485,1.646,1.658,1.747,1.764,2.299,2.788,2.75,2.493,2.186,1.949,43.714,2.815,20:00,2024-09-17
Sucre - FANCESSA,1.838,1.758,1.721,1.693,1.756,1.833,1.606,1.619,1.616,1.706,1.674,1.741,1.578,1.625,1.691,1.746,1.829,1.833,2.372,2.851,2.746,2.465,2.168,1.974,45.436,2.875,19:45,2024-09-18
Sucre - FANCESSA,1.857,1.813,1.788,1.756,1.768,1.854,1.615,1.597,1.59,1.598,1.585,1.625,1.596,1.602,1.672,1.75,1.784,1.781,2.256,2.825,2.818,2.578,2.268,2.003,45.377,2.881,20:15,2024-09-19
Sucre - FANCESSA,1.888,1.834,1.781,1.779,1.8,1.899,1.638,1.604,1.627,1.641,1.626,1.628,1.601,1.603,1.682,1.764,1.758,1.791,2.288,2.771,2.715,2.509,2.265,2.142,45.633,2.783,19:15,2024-09-20
Sucre - FANCESSA,2,1.884,1.839,1.819,1.854,1.932,1.63,1.695,1.731,1.717,1.781,1.783,1.771,1.73,1.755,1.738,1.021,0.416,2.107,2.989,2.86,2.621,2.351,2.14,45.16,3.039,19:00,2024-09-21
Sucre - FANCESSA,2.014,1.936,1.91,1.878,1.888,1.967,1.627,1.591,1.661,1.703,1.761,1.753,1.756,1.73,1.795,1.84,1.83,1.821,2.331,2.811,2.709,2.482,2.187,2.006,46.984,2.841,19:30,2024-09-22
Sucre - FANCESSA,1.896,1.796,1.751,1.759,1.775,1.846,1.618,1.676,1.612,1.626,1.644,1.676,1.6,1.635,1.729,1.789,1.842,1.848,2.5,2.871,2.777,2.387,2.12,1.923,45.691,2.89,20:00,2024-09-23
Sucre - FANCESSA,1.845,1.804,1.769,1.755,1.771,1.851,1.582,1.631,1.584,1.638,1.607,1.647,1.575,1.612,1.741,1.815,1.82,1.813,2.32,2.861,2.818,2.569,2.301,2.046,45.77,2.881,20:00,2024-09-24
