Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Sucre - Fancesa,1.779,1.737,1.705,1.701,1.745,1.627,1.497,1.539,1.486,1.527,1.553,1.588,1.588,1.528,1.636,1.619,1.698,1.685,1.95,2.733,2.712,2.506,2.181,2.001,43.317,2.777,19:45,2024-11-25
Sucre - Fancesa,1.875,1.839,1.807,1.812,1.811,1.696,1.48,1.525,1.532,1.544,1.515,1.54,1.55,1.508,1.595,1.615,1.628,1.756,2.014,2.654,2.61,2.425,2.112,1.931,43.373,2.685,19:30,2024-11-26
Sucre - Fancesa,1.835,1.748,1.724,1.751,1.78,1.751,1.604,1.65,1.611,1.645,1.634,1.637,1.589,1.545,1.615,1.64,1.754,1.873,2.167,2.71,2.707,2.452,2.146,1.966,44.533,2.777,20:15,2024-11-27
Sucre - Fancesa,1.824,1.768,1.739,1.747,1.761,1.711,1.547,1.546,1.531,1.606,1.578,1.639,1.57,1.536,1.622,1.632,1.675,1.705,1.908,2.544,2.578,2.432,2.16,1.961,43.319,2.615,20:30,2024-11-28
Sucre - Fancesa,1.836,1.745,1.702,1.712,1.709,1.73,1.514,1.501,1.515,1.503,1.485,1.527,1.532,1.528,1.644,1.683,1.621,1.656,1.756,2.587,2.609,2.453,2.17,1.964,42.68,2.672,19:45,2024-11-29
Sucre - Fancesa,1.874,1.771,1.741,1.74,1.734,1.658,1.431,1.524,1.536,1.557,1.558,1.598,1.55,1.491,1.376,1.377,1.419,1.462,1.808,2.35,2.426,2.306,2.123,1.917,41.324,2.45,20:15,2024-11-30
Sucre - Fancesa,1.805,1.731,1.72,1.715,1.765,1.616,1.39,1.429,1.495,1.515,1.503,1.593,1.6,1.659,1.721,1.706,1.693,1.649,1.891,2.544,2.575,2.343,2.065,1.885,42.603,2.617,20:30,2024-12-01
Sucre - Fancesa,1.783,1.751,1.738,1.716,1.767,1.673,1.526,1.577,1.533,1.569,1.525,1.509,1.47,1.478,1.503,1.489,1.547,1.533,1.81,2.498,2.53,2.353,2.064,1.863,41.802,2.56,20:00,2024-12-02
Sucre - Fancesa,1.81,1.75,1.68,1.639,1.661,1.599,1.439,1.477,1.469,1.529,1.482,1.458,1.446,1.492,1.531,1.565,1.586,1.513,1.705,2.478,2.505,2.325,2.046,1.863,41.044,2.553,19:45,2024-12-03
Sucre - Fancesa,1.773,1.761,1.708,1.694,1.703,1.68,1.512,1.582,1.569,1.621,1.57,1.647,1.532,1.5,1.599,1.617,1.671,1.69,1.826,2.554,2.56,2.372,2.119,1.952,42.81,2.633,19:45,2024-12-04
Sucre - Fancesa,1.813,1.754,1.731,1.72,1.733,1.591,1.456,1.487,1.556,1.552,1.529,1.589,1.538,1.581,1.664,1.628,1.685,1.712,1.821,2.602,2.659,2.457,2.162,1.977,42.994,2.678,20:00,2024-12-05
