Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Sucre 115,14.233,13.37,13.045,12.86,13.953,17.393,19.495,19.762,19.107,19.371,19.499,19.782,19.752,19.971,20.303,20.603,20.564,20.371,17.235,19.95,19.91,19.435,17.803,19.816,437.584,20.745,15:30,2024-11-25
Sucre 115,23.628,22.276,21.461,21.054,21.004,20.667,21.999,23.119,23.368,24.231,24.575,24.909,24.93,25.808,26.59,22.765,22.337,22,23.332,26.583,26.553,25.994,23.801,21.417,564.398,26.728,15:00,2024-11-26
Sucre 115,14.288,13.381,12.996,12.841,12.864,12.811,14.407,19.079,18.88,19.222,19.49,19.661,19.668,19.944,20.594,20.903,21.05,20.985,18.359,20.153,19.843,19.268,17.571,15.728,423.984,21.63,17:45,2024-11-27
Sucre 115,14.212,13.467,17.109,16.953,17.056,17.146,18.228,19.184,19.385,19.566,19.601,19.966,19.801,18.238,16.514,16.843,16.639,16.764,17.711,19.89,19.597,18.969,17.276,15.413,425.527,20.23,13:30,2024-11-28
Sucre 115,13.657,13.138,12.886,12.626,12.723,13.014,14.088,18.964,18.858,18.657,18.874,19.388,19.149,19.683,20.31,20.356,20.139,19.687,16.737,19.393,19.508,19.018,17.386,15.554,413.793,20.518,15:00,2024-11-29
Sucre 115,14.17,13.276,12.879,12.62,12.691,16.425,14.918,16.495,17.621,19.317,19.565,16.409,13.399,17.574,18.995,19.705,19.578,18.907,16.844,19.446,19.321,18.635,17.214,15.651,401.656,20.019,15:45,2024-11-30
Sucre 115,18.375,17.481,17.069,16.976,16.893,16.473,16.367,17.189,18.095,18.543,18.911,17.109,14.899,15.11,15.79,15.943,15.862,15.894,17.433,19.878,19.815,19.167,17.67,15.849,412.789,19.943,19:45,2024-12-01
Sucre 115,14.417,13.689,13.222,12.209,11.312,13.169,17.601,18.265,18.041,18.134,17.716,18.049,17.816,17.798,18.562,19.624,21.632,23.146,19.021,21.429,21.56,20.959,19.895,19.183,426.447,23.287,18:00,2024-12-02
Sucre 115,22.396,23.222,24.98,25.595,25.747,26.003,26.716,27.831,24.036,21.949,21.886,23.743,23.643,23.845,24.467,20.68,15.152,19.427,20.055,22.194,22.46,22.41,23.272,26.676,558.385,27.932,07:30,2024-12-03
Sucre 115,27.085,26.436,25.993,25.86,25.858,26.051,26.978,28.174,28.135,28.203,28.457,24.6,24.102,24.531,25.051,25.101,24.937,25.338,22.595,24,23.751,23.707,23.446,26.021,614.41,28.632,07:30,2024-12-04
Sucre 115,26.924,26.483,26.065,25.776,25.764,25.917,27.282,28.16,28.786,28.08,27.748,25.575,24.807,25.025,25.57,26.233,26.189,26.408,21.014,24.305,24.2,23.788,23.589,23.998,617.687,28.994,08:45,2024-12-05
Sucre 115,27.154,26.542,26.114,25.848,26.092,26.185,27.529,28.498,28.256,28.702,24.567,24.641,24.527,24.723,25.379,25.93,25.698,25.763,23.256,24.52,23.905,22.2,21.864,25.38,613.269,28.759,10:00,2024-12-06
Sucre 115,25.988,27.204,26.913,26.569,26.428,26.573,26.576,27.961,28.809,29.312,29.199,29.071,28.237,28.278,27.618,29.144,29.303,29.147,23.395,25.784,25.558,24.386,21.198,22.282,644.933,29.605,09:45,2024-12-07
Sucre 115,22.55,20.896,21.382,24.234,26.132,26.402,25.787,26.113,25.744,27.791,27.863,27.695,27.592,27.831,28.129,28.281,28.381,28.132,22.639,24.876,24.738,24.059,22.757,24.024,614.027,28.625,17:00,2024-12-08
Sucre 115,26.76,26.543,26.061,25.862,26.133,26.556,25.839,26.131,26.098,25.163,26.409,28.237,28.22,28.531,29.102,29.41,29.253,29.102,23.601,25.657,25.664,25.209,23.283,24.446,637.269,29.633,15:15,2024-12-09
Sucre 115,26.913,26.592,23.776,22.887,23.101,23.265,23.558,24.916,25.293,25.462,25.406,25.459,24.957,25.397,26.916,28.728,27.783,26.057,22.969,25.034,25.194,24.766,23.284,24.224,601.939,28.933,15:30,2024-12-10
Sucre 115,26.982,26.741,26.433,26.036,26.049,26.37,26.848,28.354,28.794,28.771,28.694,28.976,28.494,29.222,29.776,29.742,29.479,29.164,22.83,25.647,25.865,25.56,24.196,24.682,653.706,29.924,15:45,2024-12-11
Sucre 115,27.494,27.167,26.714,26.374,26.236,26.435,26.978,28.326,28.926,29.024,29.115,29.164,28.65,29.037,29.909,30.051,29.821,29.553,23.419,25.45,25.425,25.14,23.667,24.981,657.054,30.121,15:00,2024-12-12
Sucre 115,27.892,27.325,27.022,26.596,26.526,26.317,26.954,28.278,28.977,29.08,29.095,29.437,28.785,29.195,30.002,29.959,29.766,30.016,18.826,16.942,19.332,21.609,21.11,19.84,628.88,30.294,17:45,2024-12-13
Sucre 115,18.527,17.781,17.394,17.193,17.304,17.483,17.082,18.234,19.914,20.798,21.323,21.502,19.57,20.891,22.658,23.633,23.474,23.896,23.28,25.659,25.774,25.317,24.085,24.209,506.979,25.993,19:45,2024-12-14
Sucre 115,25.009,26.368,25.821,25.492,25.542,25.72,24.774,25.668,26.626,27.349,27.714,24.88,19.793,18.885,18.762,18.35,18.255,19.848,21.144,24.323,24.517,23.952,22.525,20.743,562.061,27.852,11:30,2024-12-15
Sucre 115,19.461,18.72,17.043,15.237,15.805,16.678,17.211,18.822,21.197,21.726,21.791,22.09,20.835,21.398,22.777,24.231,25.317,25.326,22.536,24.979,25.095,24.78,23.36,25.653,512.065,25.813,23:30,2024-12-16
Sucre 115,26.666,26.335,26.114,25.901,25.765,25.874,24.034,26.963,27.886,28.406,28.39,28.516,28.236,28.33,29.38,29.714,29.267,29.402,24.049,26.15,26.624,26.239,25.598,25.893,649.732,29.93,15:15,2024-12-17
Sucre 115,27.512,26.861,26.482,26.012,25.745,25.861,25.029,26.485,26.781,27.274,27.448,27.546,26.902,27.311,29.06,30.76,30.436,29.851,24.121,26.274,26.884,26.508,26.278,28.03,651.453,30.834,15:15,2024-12-18
Sucre 115,27.708,26.839,26.508,26.191,26.205,26.414,26.729,28.212,28.495,28.963,28.858,28.912,28.417,28.249,29.013,29.346,29.448,29.844,25.006,26.27,25.963,25.518,25.433,25.921,658.463,30.2,17:45,2024-12-19
Sucre 115,25.913,26.428,25.891,24.487,24.194,24.624,24.969,26.181,28.23,29.102,28.926,28.859,28.305,28.596,27.54,28.471,28.084,28.07,25.282,27.346,27.181,26.721,25.293,25.772,644.463,29.191,09:30,2024-12-20
