Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Sucre,13.689,12.316,11.507,11.135,11.093,11.5,10.299,10.004,11.362,12.862,13.843,14.277,14.262,13.924,14.565,15.38,15.667,16.689,20.908,22.637,22.236,20.885,18.406,15.409,354.852,22.717,19:45,2024-09-01
Sucre,13.074,11.683,11.079,10.671,11.159,12.26,15.129,16.01,16.632,17.372,17.901,18.967,18.266,17.294,17.625,18.63,18.85,18.382,21.074,22.496,21.768,20.399,17.957,15.254,399.929,22.733,19:00,2024-09-02
Sucre,12.929,11.749,11.336,11.274,11.421,12.049,13.65,14.674,16.188,17.523,17.674,18.273,17.102,16.896,18.158,18.845,18.713,18.933,21.969,23.46,22.696,21.579,19.173,15.878,402.14,23.741,19:30,2024-09-03
Sucre,13.39,12.027,11.451,11.209,11.684,12.554,14.865,15.693,16.633,17.637,17.911,18.648,17.721,17.245,18.1,18.706,18.796,19.534,21.918,23.412,22.643,21.413,18.908,15.696,407.79,23.474,19:45,2024-09-04
Sucre,13.33,12.052,11.48,11.168,11.769,12.559,15.284,15.597,16.556,17.769,18.058,18.346,17.645,16.988,17.931,18.816,18.638,19.43,22.47,23.204,22.491,21.18,18.704,15.575,407.036,23.522,19:00,2024-09-05
Sucre,13.313,12.018,11.347,11.164,11.613,12.368,14.52,15.635,16.872,17.706,17.994,18.662,17.834,17.384,18.494,19.321,18.656,19.128,21.829,22.966,22.214,20.881,18.823,16.11,406.849,23.162,18:45,2024-09-06
Sucre,13.945,12.517,11.688,11.412,11.767,12.146,11.939,13.396,15.508,16.833,17.477,17.617,17.046,16.706,17.158,17.249,16.918,16.974,20.205,21.733,21.166,20.063,18.062,15.932,385.456,21.829,19:15,2024-09-07
Sucre,14.097,12.821,12.032,11.58,11.897,11.975,11.181,11.512,12.647,14.195,14.665,14.921,14.841,14.624,15.225,15.705,16.198,16.537,19.82,21.231,20.957,20.004,17.853,15.389,361.907,21.289,20:00,2024-09-08
Sucre,13.448,11.983,11.384,11.152,11.482,12.305,14.762,15.406,16.006,17.12,17.517,18.227,17.735,16.888,17.309,19,18.674,18.79,21.452,23.182,22.195,20.847,18.181,15.32,400.365,23.223,19:30,2024-09-09
Sucre,13.103,11.889,11.365,11.174,11.521,12.284,13.92,14.743,16.319,17.408,17.542,18.029,17.017,16.637,17.215,18.386,18.408,18.848,22.207,23.531,22.887,21.454,19.046,16.225,401.155,23.579,19:15,2024-09-10
Sucre,13.798,12.455,11.885,11.274,11.305,12.166,13.454,15.227,16.892,18.15,18.228,18.663,17.69,17.64,18.638,19.473,19.547,19.966,22.767,23.828,23.136,21.726,19.214,16.174,413.293,24.035,18:45,2024-09-11
