Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Tarija,23.096,21.434,20.289,19.614,20.042,20.565,20.445,19.76,21.56,22.495,22.65,22.426,22.208,21.739,22.244,23.504,24.35,25.372,31.489,34.684,34.489,32.015,28.689,24.88,580.037,34.877,20:30,2024-09-01
Tarija,21.917,20.055,19.24,18.866,19.028,20.684,23.237,23.993,25.675,27.029,27.674,28.287,27.754,27.549,28.33,29.567,29.623,29.658,34.76,37.534,36.862,34.196,30.341,26.184,648.04,37.631,20:00,2024-09-02
Tarija,22.644,20.854,20.081,19.743,19.962,21.788,23.417,24.869,27.179,28.231,28.496,28.725,27.557,27.619,28.674,29.877,30.118,30.4,35.259,37.891,36.749,34.208,30.615,26.312,661.267,38.095,19:00,2024-09-03
Tarija,23.152,21.187,20.17,19.83,20.287,22.125,24.08,24.919,26.91,28.163,28.083,28.454,27.354,26.813,28.405,28.983,28.839,29.477,34.278,36.933,35.791,33.236,29.52,25.482,652.467,37.146,19:45,2024-09-04
Tarija,22.315,20.663,19.803,19.463,19.949,21.586,23.926,25.243,27.227,27.655,27.893,27.975,27.37,27.079,28.25,29.187,29.077,29.389,34.358,37.593,36.476,34.074,30.331,26.174,653.052,37.671,19:45,2024-09-05
Tarija,22.922,21.336,20.485,20.025,20.211,21.803,23.598,24.891,26.277,27.622,27.935,28.823,27.856,27.762,29.661,31.136,31.141,30.957,35.843,39.015,37.663,35.319,31.974,28.016,672.267,39.12,19:30,2024-09-06
Tarija,24.689,22.711,21.717,21.27,21.428,22.507,22.212,23.553,25.468,27.371,27.805,28.329,27.545,27.268,27.782,28.055,27.985,28.836,34.558,37.477,36.498,34.125,30.934,27.596,657.716,37.54,19:15,2024-09-07
Tarija,24.284,22.338,21.271,20.613,20.842,21.362,20.045,20.309,22.405,23.37,23.506,23.975,23.684,23.065,23.806,24.679,24.794,26.17,32.601,35.284,34.287,32.513,29.288,25.573,600.061,35.344,19:45,2024-09-08
Tarija,22.611,20.785,20.14,19.849,20.214,21.891,24.413,25.286,26.571,27.8,28.124,29.061,28.759,28.348,29.306,30.086,30.28,30.651,35.578,38.4,37.597,35.518,31.673,27.382,670.32,38.442,19:45,2024-09-09
Tarija,24.18,22.027,21.215,20.579,20.858,22.584,23.751,25.583,27.562,28.519,28.628,29.202,28.425,28.29,29.991,31.14,31.152,31.472,36.251,38.723,37.757,35.253,31.831,27.907,682.878,38.821,19:30,2024-09-10
Tarija,24.475,22.309,21.303,20.878,21.187,22.827,24.625,25.585,27.777,28.962,29.535,30.39,30.312,30.015,30.898,31.739,31.375,32.194,36.674,39.107,37.991,35.56,31.899,27.75,695.362,39.233,19:15,2024-09-11
Tarija,24.431,22.369,21.495,21.012,21.279,22.921,24.885,25.843,27.509,28.432,28.34,28.866,28.26,28.066,29.161,30.14,30.272,30.583,35.498,38.346,37.159,34.541,30.757,26.633,676.796,38.5,20:00,2024-09-12
Tarija,23.31,21.638,20.99,20.61,20.97,22.549,23.704,24.976,26.828,27.706,27.969,28.756,27.998,27.968,29.917,30.741,30.411,30.585,35.432,37.775,34.463,33.072,31.891,27.802,668.058,39.301,19:45,2024-09-13
Tarija,24.55,22.676,21.808,21.308,21.311,22.079,22.833,23.966,26.532,27.972,27.898,27.544,26.287,25.351,25.437,25.774,26.267,27.695,33.386,35.033,33.917,31.68,28.833,25.612,635.748,35.182,19:30,2024-09-14
Tarija,23.11,21.111,20.204,19.57,19.803,20.258,19.078,19.765,21.509,22.484,22.828,23.057,22.582,21.981,22.543,23.85,24.415,25.126,30.951,34.379,34.038,32.236,28.831,25.068,578.775,34.462,19:45,2024-09-15
Tarija,22.04,20.262,19.612,19.267,19.478,21.014,23.038,24.18,25.988,27.109,27.346,27.861,27.06,26.773,27.533,28.327,28.47,28.788,33.73,36.893,36.301,33.632,29.843,25.841,640.382,37.026,20:00,2024-09-16
Tarija,22.856,21.045,20.3,19.913,19.957,21.464,22.614,24.445,26.264,27.821,27.826,28.169,27.333,27.801,29.134,30.101,30.208,30.287,34.598,38.153,37.614,35.212,31.513,27.051,661.679,38.404,19:45,2024-09-17
Tarija,23.719,21.584,20.644,20.252,20.643,21.988,23.53,25.368,27.152,28.085,28.521,29.159,28.569,28.237,30.252,31.299,31.202,31.303,35.887,39.411,38.494,36.381,32.448,27.996,682.12,39.544,20:00,2024-09-18
Tarija,24.568,22.114,21.377,20.991,21.247,22.636,23.931,25.24,27.56,28.481,29.025,30.245,30.107,30.141,31.848,33.108,32.85,32.764,37.183,40.852,40.164,38.05,31.321,26.985,702.786,40.983,19:45,2024-09-19
Tarija,23.606,21.555,20.343,20.43,23.008,24.261,25.657,27.296,28.902,30.086,30.409,31.082,30.732,30.403,31.407,32.181,32.349,32.563,36.928,39.705,38.653,36.392,33,29.03,709.977,39.869,20:00,2024-09-20
Tarija,24.037,23.107,22.701,22.14,22.241,23.232,22.454,24.719,27.126,28.716,29.047,29.536,29.305,29.029,29.844,30.669,30.691,30.817,35.439,39.571,38.117,35.638,32.602,29.228,690.004,39.731,19:30,2024-09-21
Tarija,25.857,23.672,22.557,21.844,21.749,22.186,19.83,21.035,22.954,24.449,25.459,26.109,26.246,26.22,27.206,28.454,28.865,28.987,34.453,38.348,37.996,35.983,32.363,28.359,651.18,38.542,19:15,2024-09-22
Tarija,25.106,23.262,22.4,21.778,22.038,23.936,25.417,26.458,28.547,30.1,31.218,32.334,32.849,32.905,33.661,34.167,33.955,33.71,38.463,41.423,40.356,37.82,34.081,29.95,735.931,41.535,19:00,2024-09-23
Tarija,26.424,23.998,23.008,22.387,22.781,24.72,26.073,27.372,29.315,30.99,31.728,32.437,32.218,32.694,34.294,34.188,32.715,33.499,37.342,40.306,38.68,36.793,33.338,29.184,736.482,40.483,19:45,2024-09-24
Tarija,25.693,23.616,22.605,21.886,22.377,23.838,25.132,26.487,28.213,29.708,30.173,30.888,30.235,30.282,31.887,33.179,33.075,32.953,37.218,40.028,39.133,36.58,32.668,28.534,716.386,40.181,19:45,2024-09-25
Tarija,25.165,23.185,22.018,21.638,22.078,23.704,26.213,26.664,27.989,29.028,29.255,28.988,27.856,27.449,28.363,29.02,29.563,29.865,34.331,36.689,35.467,32.915,29.611,26.031,673.084,36.794,19:45,2024-09-26
Tarija,23.134,21.65,20.712,20.437,20.834,21.976,22.74,24.547,26.334,27.752,27.953,28.114,27.288,27.62,29.006,30.184,30.102,30.216,33.863,37.367,36.594,34.601,31.215,27.224,661.46,37.576,19:45,2024-09-27
Tarija,24.191,22.284,21.085,20.587,20.801,21.447,20.866,23.182,26.139,27.308,27.136,27.176,26.706,26.663,27.751,27.987,27.818,28.19,32.572,36.703,35.976,33.803,30.781,27.534,644.685,36.768,19:30,2024-09-28
Tarija,24.704,22.896,21.534,20.896,20.806,20.802,19.021,20.699,22.743,24.154,24.783,25.086,24.907,24.63,25.62,26.457,26.957,27.447,33.282,37.076,36.817,34.906,31.755,27.501,625.478,37.344,19:30,2024-09-29
Tarija,24.442,22.663,21.68,21.007,21.297,22.484,24.72,25.712,27.855,29.701,30.527,32.041,32.051,32.002,33.11,34.724,34.784,34.072,37.897,41.317,40.528,38.355,34.875,30.627,728.469,41.546,19:45,2024-09-30
Tarija,26.867,24.518,21.99,21.456,21.86,22.83,25.077,27.248,29.777,31.149,31.938,32.421,32.899,32.23,34.44,35.221,34.907,34.382,38.158,41.6,40.734,38.424,34.906,30.355,745.387,41.686,19:45,2024-10-01
Tarija,26.616,23.935,22.862,22.436,22.835,24.176,25.897,27.311,29.255,30.406,31.101,31.615,30.639,30.392,31.792,32.598,32.265,32.177,36.621,39.035,37.682,35.382,31.306,27.194,715.524,39.201,19:30,2024-10-02
Tarija,24.293,22.321,21.482,21.194,21.564,22.957,23.973,25.419,27.335,28.207,28.685,29.198,27.887,27.836,29.473,30.852,30.73,30.778,34.726,38.533,37.759,35.14,31.506,27.217,679.063,38.549,19:45,2024-10-03
Tarija,24.131,22.157,21.163,20.928,21.269,22.283,23.803,25.71,27.577,28.705,29.209,29.852,29.372,29.539,31.235,32.485,32.06,31.653,35.486,39.477,38.464,36.331,32.906,28.831,694.622,39.649,19:45,2024-10-04
Tarija,25.317,23.256,22.083,21.717,21.958,22.477,22.116,24.3,26.554,28.39,28.668,29.498,29.436,29.027,29.606,30.15,30.048,30.661,35.582,38.717,38.119,36.114,33.006,29.468,686.267,38.848,20:15,2024-10-05
Tarija,26.334,24.147,22.974,22.205,22.376,22.253,20.178,21.64,23.514,24.899,25.641,26.209,26.078,25.877,26.92,27.962,28.328,28.488,33.829,38.065,37.805,36.287,32.901,28.837,653.745,38.261,20:00,2024-10-06
Tarija,25.655,23.54,22.278,21.542,21.82,23.137,24.97,26.005,27.995,29.654,31.081,32.193,32.515,32.443,33.686,35.024,34.52,36.14,38.626,40.164,39.38,37.078,33.566,29.648,732.657,40.225,19:15,2024-10-07
Tarija,26.4,24.522,23.634,23.017,23.287,24.566,25.787,27.413,29.106,30.331,30.766,31.401,30.424,30.329,31.127,31.475,31.477,33.257,37.434,36.629,36.549,33.934,30.072,26.358,709.291,37.637,19:00,2024-10-08
Tarija,23.855,22.263,21.448,21.023,21.383,22.641,24.317,25.868,26.834,28.51,29.174,29.504,28.644,28.179,29.211,30.123,30.593,30.933,35.517,38.272,37.147,34.765,31.199,27.057,678.458,38.374,19:45,2024-10-09
Tarija,24.251,22.44,21.251,20.448,21.498,22.929,24.31,25.791,27.457,28.376,28.629,29.076,27.546,27.676,29.154,30.004,30.505,31.159,35.789,37.253,35.909,33.597,29.82,23.727,668.592,37.407,19:00,2024-10-10
Tarija,22.264,21.659,21.037,20.539,21.039,21.997,23.708,25.349,26.526,27.507,27.671,27.743,27.502,27.357,29.013,29.927,29.852,30.272,33.866,38.521,37.442,35.061,31.718,28.015,665.583,38.774,19:30,2024-10-11
Tarija,25.13,22.877,21.892,21.139,21.371,21.296,21.414,23.398,25.823,27.635,28.434,28.84,28.213,27.808,28.536,28.781,28.56,28.706,33.174,38.112,37.111,34.777,31.75,28.287,663.061,38.161,19:15,2024-10-12
Tarija,25.443,23.629,22.511,21.947,21.993,21.98,19.92,21.506,23.235,24.516,25.233,25.737,25.748,25.374,25.79,26.437,26.842,28.174,32.797,37.005,36.818,34.988,31.644,27.845,637.108,37.247,19:45,2024-10-13
Tarija,24.625,22.931,21.832,21.424,21.64,22.695,25.081,26.384,28.287,29.795,31.017,32.001,31.631,31.539,30.908,32.917,33.78,32.799,34.851,38.548,37.475,35.137,31.476,27.594,706.364,38.757,19:45,2024-10-14
Tarija,24.534,22.836,21.806,21.298,21.743,22.614,24.572,26.181,28.087,29.964,30.579,31.363,31.112,31.415,33.015,33.696,33.662,33.861,37.278,41.32,39.539,36.459,31.418,27.384,715.733,41.459,19:30,2024-10-15
Tarija,24.528,22.435,21.324,20.867,21.307,22.718,24.42,25.874,27.476,28.528,29.016,28.606,28.981,28.939,30.359,32.002,32.401,32.421,34.916,39.094,38.157,35.696,31.915,27.706,689.684,39.245,19:45,2024-10-16
Tarija,24.454,22.422,21.41,20.847,21.103,22.067,24.399,25.769,28.354,29.824,28.158,30.454,30.512,30.956,32.621,33.711,33.857,32.993,35.343,38.958,37.803,35.406,31.633,27.578,700.629,39.101,19:45,2024-10-17
Tarija,24.123,22.147,21.411,20.905,21.476,23.038,25.276,26.809,28.49,29.702,29.195,28.687,27.295,27.101,29.313,30.475,29.862,29.548,31.973,36.624,35.81,33.674,30.333,26.69,669.955,36.878,19:30,2024-10-18
Tarija,23.423,21.738,20.762,20.238,20.431,20.556,20.939,22.642,25.183,26.605,27.038,27.291,26.936,26.751,27.424,28.007,28.079,28.28,31.686,37.176,36.48,34.164,31.006,27.615,640.446,37.404,19:45,2024-10-19
Tarija,24.518,22.488,21.517,20.981,21.334,20.318,19.399,20.917,22.381,23.702,24.459,25.161,25.04,24.803,25.355,26.159,26.701,27.039,30.577,36.201,35.964,34.514,31.171,27.109,617.805,36.393,19:30,2024-10-20
Tarija,24.126,22.262,21.251,20.894,21.276,21.983,24.507,25.352,26.981,28.446,29.481,30.158,29.62,29.665,31.047,31.914,31.93,31.784,34.466,38.762,38.185,36.098,32.429,28.117,690.732,39.155,19:45,2024-10-21
Tarija,24.762,22.74,22.034,21.718,22.039,22.983,24.928,26.551,28.383,30.035,30.723,31.152,30.438,30.11,31.321,32.382,33.055,32.974,36.16,40.17,39.74,37.098,33.198,28.54,713.232,40.276,19:30,2024-10-22
Tarija,25.056,22.761,21.692,21.366,21.567,22.06,24.383,25.792,27.736,28.987,29.691,30.453,29.929,30.346,32.355,33.636,33.703,33.077,35.582,40.649,40.189,38.114,34.41,29.943,713.475,40.964,20:15,2024-10-23
Tarija,26.273,23.983,22.963,22.312,22.525,23.372,25.558,26.818,29.153,30.68,31.224,32.446,31.787,31.388,32.422,32.56,32.174,32.53,35.614,38.879,38.192,35.661,32.153,28.104,718.768,39.025,20:00,2024-10-24
