Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Telamayu,1.679,1.625,1.579,1.546,1.517,1.551,1.51,1.546,1.535,1.589,1.625,1.623,1.579,1.496,1.455,1.532,1.527,1.496,1.679,1.751,1.762,1.744,1.72,1.574,38.235,1.779,19:15,2024-09-01
Telamayu,1.468,1.4,1.373,1.355,1.306,1.321,1.286,1.426,1.75,2.32,2.593,2.748,2.466,2.464,2.493,2.363,1.872,1.766,1.872,1.983,1.881,1.825,1.779,1.623,44.73,2.86,11:30,2024-09-02
Telamayu,1.486,1.436,1.454,1.443,1.438,1.514,1.533,1.664,2.035,2.63,2.88,2.726,2.632,2.561,2.624,2.484,2.141,1.823,1.825,1.883,1.915,1.87,1.816,1.704,47.514,2.942,10:45,2024-09-03
Telamayu,1.518,1.485,1.44,1.434,1.423,1.59,1.655,1.731,2.132,2.799,2.839,2.879,2.725,2.658,2.332,2.174,1.844,1.774,1.643,1.733,1.919,1.796,1.732,1.625,46.879,2.928,11:15,2024-09-04
Telamayu,1.578,1.552,1.443,1.307,1.314,1.358,1.627,1.784,1.938,2.486,2.639,2.62,2.369,2.326,2.408,2.225,1.956,1.953,1.988,1.679,1.636,1.758,1.684,1.532,45.155,2.74,11:00,2024-09-05
Telamayu,1.39,1.349,1.324,1.332,1.283,1.361,1.462,1.755,1.965,2.607,2.702,2.312,1.835,1.68,1.83,1.872,1.945,1.881,1.904,1.757,1.895,1.76,1.669,1.538,42.406,2.799,10:30,2024-09-06
Telamayu,1.338,1.281,1.287,1.26,1.208,1.338,1.405,1.472,1.511,1.624,1.614,1.627,1.435,1.321,1.202,1.113,1.298,1.167,1.228,1.364,1.448,1.527,1.456,1.337,32.86,1.682,09:45,2024-09-07
Telamayu,1.299,1.276,1.214,1.198,1.191,1.277,1.186,0.985,1.02,1.091,1.111,1.074,1.043,1.067,1.294,1.21,1.325,1.319,1.453,1.493,1.514,1.517,1.475,1.409,30.036,1.545,21:00,2024-09-08
Telamayu,1.245,1.188,1.127,1.02,1.003,1.087,1.085,1.154,1.448,2.008,2.136,2.077,2.064,2.091,2.038,2.001,1.612,1.301,1.465,1.507,1.544,1.48,1.369,1.223,36.269,2.193,15:30,2024-09-09
Telamayu,1.131,1.155,1.119,1.086,1.138,1.141,1.284,1.464,1.69,2.121,2.313,2.208,2.079,2.046,2.175,2.057,1.698,1.628,1.7,1.606,1.563,1.52,1.449,1.35,38.716,2.353,11:00,2024-09-10
Telamayu,1.255,1.152,1.159,1.191,1.16,1.161,1.325,1.465,1.537,1.664,2.118,2.121,2.091,1.983,2.038,1.992,1.78,1.613,1.753,1.786,1.564,1.524,1.429,1.337,38.198,2.149,12:30,2024-09-11
Telamayu,1.25,1.135,1.073,1.026,1.002,1.045,1.106,1.215,1.236,1.309,1.496,1.55,1.531,1.452,1.52,1.569,1.538,1.559,1.443,1.481,1.521,1.435,1.363,1.262,32.113,1.687,11:15,2024-09-12
Telamayu,1.164,1.143,1.178,1.116,1.154,1.224,1.303,1.263,1.383,1.874,1.935,1.865,1.62,1.517,1.508,1.517,1.531,1.124,1.156,1.244,1.208,1.129,1.076,0.997,32.227,1.991,11:15,2024-09-13
Telamayu,1.042,0.999,0.984,0.976,0.959,1.064,0.987,1.099,1.166,1.228,1.348,1.382,1.286,1.16,1.256,1.201,1.162,1.187,1.245,1.293,1.37,1.337,1.222,1.133,28.081,1.441,11:15,2024-09-14
Telamayu,1.229,1.222,1.214,1.182,1.164,1.154,1.104,1.086,1.073,1.109,1.12,1.036,1.035,1.068,1.108,1.105,1.141,1.149,1.251,1.317,1.287,1.246,1.195,1.084,27.677,1.356,20:00,2024-09-15
Telamayu,1.042,1,0.99,0.979,0.997,1.062,1.077,1.208,1.333,1.679,2.176,2.175,2.101,2.052,2.167,2.172,1.743,1.576,1.704,1.706,1.637,1.576,1.518,1.437,37.104,2.239,11:30,2024-09-16
Telamayu,1.364,1.26,1.24,1.252,1.246,1.366,1.382,1.521,1.993,2.531,2.645,2.449,2.374,2.386,2.594,2.482,2.094,1.915,2.026,1.817,1.746,1.723,1.583,1.534,44.521,2.703,10:15,2024-09-17
Telamayu,1.372,1.191,1.156,1.137,1.146,1.252,1.342,1.461,1.804,2.321,2.296,2.355,2.329,2.244,2.219,2.139,1.78,1.754,1.734,1.603,1.677,1.637,1.545,1.443,40.935,2.493,11:30,2024-09-18
Telamayu,1.462,1.401,1.412,1.37,1.36,1.377,1.39,1.506,1.825,1.985,2.12,2.152,1.868,1.767,1.992,2.045,2.04,1.951,1.782,1.726,1.662,1.651,1.588,1.495,40.923,2.201,11:30,2024-09-19
Telamayu,1.393,1.38,1.348,1.283,1.296,1.467,1.401,1.468,1.662,2.114,2.599,2.51,2.497,2.693,2.945,2.53,1.851,1.705,1.714,1.697,1.666,1.631,1.57,1.448,43.867,3,14:30,2024-09-20
Telamayu,1.345,1.268,1.309,1.304,1.339,1.314,1.359,1.431,1.593,2.164,2.364,2.279,2.012,1.97,1.819,1.655,1.401,1.468,1.579,1.586,1.453,1.251,1.147,1.029,37.435,2.408,10:45,2024-09-21
Telamayu,1.028,0.987,0.974,0.973,0.953,0.962,0.861,0.869,0.896,0.959,1.133,1.157,1.257,1.282,1.309,1.31,1.329,1.378,1.494,1.533,1.439,1.497,1.323,1.222,28.124,1.554,19:00,2024-09-22
Telamayu,1.123,1.061,0.983,0.826,0.792,0.882,0.93,1.056,1.167,1.903,2.11,2.147,1.919,1.884,2.223,2.173,1.512,1.393,1.449,1.554,1.33,1.273,1.23,1.246,34.163,2.323,15:30,2024-09-23
Telamayu,1.146,1.125,1.148,1.116,1.131,1.289,1.331,1.376,1.636,2.278,2.438,2.498,2.221,2.169,2.211,2.112,1.553,1.568,1.707,1.583,1.422,1.238,1.092,1,38.385,2.55,11:30,2024-09-24
Telamayu,0.935,0.905,0.899,0.928,0.946,1.036,1.097,1.089,1.305,2.012,2.436,2.481,2.435,2.409,2.326,2.019,1.597,1.239,1.22,1.358,1.29,1.24,1.145,1.04,35.382,2.557,11:45,2024-09-25
Telamayu,0.954,0.888,0.883,0.924,0.962,1.065,1.081,1.249,1.657,2.514,2.871,2.733,2.482,2.448,2.279,2.121,1.552,1.547,1.628,1.718,1.673,1.616,1.53,1.383,39.758,2.915,11:00,2024-09-26
Telamayu,1.313,1.281,1.248,1.222,1.217,1.259,1.334,1.367,1.741,2.509,2.555,2.706,2.592,2.669,2.607,2.128,1.517,1.528,1.612,1.642,1.757,1.691,1.633,1.527,42.653,2.746,14:00,2024-09-27
