Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Torre Huayco,5.182,4.813,4.376,4.241,4.13,4.133,3.813,4.054,4.657,5.013,5.183,5.361,5.152,5.136,5.238,5.429,5.705,5.964,7.227,7.871,7.591,7.135,6.319,5.521,129.241,7.886,19:15,2024-09-01
Torre Huayco,4.954,4.517,4.221,4.162,4.14,4.348,4.403,5.306,5.236,5.22,5.494,5.622,5.422,5.417,5.621,6.048,6.221,6.192,7.164,8.115,8.012,7.561,6.679,5.862,135.934,8.213,19:45,2024-09-02
Torre Huayco,5.281,5.053,4.665,4.318,4.311,4.426,4.205,4.597,4.903,5.16,5.386,5.535,5.123,5.133,5.166,5.281,5.67,5.689,6.897,7.693,7.519,7.114,6.322,5.512,130.955,7.829,19:15,2024-09-03
Torre Huayco,4.853,4.36,4.18,4.102,4.067,3.9,3.199,3.679,4.116,4.105,4.286,4.495,4.533,4.788,5.082,5.286,5.748,5.713,6.776,7.593,7.549,7.144,6.379,5.639,121.571,7.613,20:00,2024-09-04
Torre Huayco,4.944,4.463,4.263,4.278,4.208,4.363,4.101,4.585,4.784,5.041,5.387,5.455,5.041,5.112,5.152,5.445,5.616,5.534,6.753,7.572,7.413,7.12,6.28,5.531,128.439,7.612,19:30,2024-09-05
Torre Huayco,4.837,4.312,3.946,3.903,3.911,4.001,3.826,4.364,4.657,4.864,5.176,5.312,4.845,4.859,4.845,5.165,5.403,5.5,6.615,7.44,7.284,6.935,6.211,5.636,123.842,7.488,19:30,2024-09-06
Torre Huayco,5.001,4.562,4.347,4.257,4.198,4.303,4.036,4.09,4.622,4.816,4.922,4.987,4.821,5.092,5.116,5.31,5.449,5.658,6.773,7.643,7.496,7.129,6.439,5.791,126.856,7.694,19:45,2024-09-07
Torre Huayco,5.182,4.813,4.376,4.241,4.13,4.133,3.813,4.054,4.657,5.013,5.183,5.361,5.152,5.136,5.238,5.429,5.705,5.964,7.227,7.871,7.591,7.135,6.319,5.521,129.241,7.886,19:15,2024-09-08
Torre Huayco,5.056,4.674,4.36,4.358,4.353,4.428,4.584,5.254,5.224,5.273,5.608,5.881,5.484,5.611,5.607,6.076,6.34,6.201,6.225,7.528,7.75,7.505,6.731,6.025,136.131,7.814,20:45,2024-09-09
Torre Huayco,5.449,4.995,4.819,4.654,4.621,4.805,4.513,4.891,5.002,5.405,5.724,5.903,5.581,5.727,5.849,6.041,6.417,6.36,7.505,8.297,8.181,7.746,6.951,6.214,141.646,8.38,19:45,2024-09-10
Torre Huayco,5.545,5.083,4.903,4.842,4.882,4.952,4.587,5.123,5.221,5.479,5.575,5.815,5.473,5.604,5.693,6.037,6.425,6.419,7.226,8.221,8.118,7.731,6.896,6.259,142.11,8.27,19:45,2024-09-11
Torre Huayco,5.473,5.082,4.868,4.887,4.822,4.927,4.781,5.143,5.272,5.569,5.728,5.85,5.53,5.704,5.717,6.076,6.355,6.312,7.23,8.16,8.02,7.695,6.934,6.21,142.342,8.242,19:30,2024-09-12
Torre Huayco,5.441,5.076,4.886,4.687,4.768,4.902,4.774,5.112,5.322,5.549,5.523,5.657,5.284,5.634,5.779,6.088,6.268,6.374,7.241,8.14,7.954,7.607,6.726,6.14,140.929,8.155,19:15,2024-09-13
Torre Huayco,5.547,5.273,4.954,4.926,4.809,4.985,4.5,4.829,5.35,5.509,5.609,5.68,5.58,5.519,5.529,5.523,5.845,5.916,6.936,7.901,7.67,7.24,6.569,5.866,138.06,7.978,19:45,2024-09-14
Torre Huayco,5.409,5.1,4.813,4.806,4.649,4.668,4.198,4.266,4.695,4.865,4.995,5.144,5.043,5.147,5.315,5.609,5.723,5.782,6.735,7.648,7.465,7.05,6.269,5.482,130.871,7.69,19:30,2024-09-15
Torre Huayco,4.828,4.524,4.273,4.279,4.233,4.379,4.41,5.124,5.184,5.325,5.392,5.82,5.487,5.581,5.71,6.155,6.317,6.387,7.198,8.061,7.915,7.448,6.592,5.878,136.495,8.083,19:30,2024-09-16
Torre Huayco,5.195,4.908,4.693,4.674,4.609,4.767,4.432,5.027,5.35,5.544,5.742,5.864,5.461,5.526,5.718,6.031,6.301,6.382,7.295,8.125,8.051,7.74,6.952,6.091,140.477,8.18,19:30,2024-09-17
Torre Huayco,5.386,4.958,4.779,4.767,4.816,4.821,4.736,5.38,5.407,5.579,5.766,6.036,5.582,5.703,5.868,6.092,6.247,6.367,7.254,8.199,8.11,7.707,6.928,6.201,142.685,8.213,19:45,2024-09-18
Torre Huayco,5.492,4.963,4.818,4.889,4.828,4.957,4.72,5.196,5.228,5.22,5.395,5.694,5.298,5.587,5.824,6.171,6.309,6.343,7.014,8.094,7.989,7.518,6.858,6.087,140.49,8.136,19:45,2024-09-19
Torre Huayco,5.375,4.994,4.738,4.656,4.706,4.955,4.676,5.206,5.497,5.519,5.611,5.881,5.334,5.673,5.855,6.053,6.376,6.454,7.185,7.93,7.685,7.383,6.787,6.122,140.648,7.954,19:30,2024-09-20
Torre Huayco,5.497,5.049,4.834,4.888,4.847,4.88,4.416,4.834,5.42,5.539,5.675,5.859,5.555,5.608,5.609,5.654,5.839,6.025,7.052,8.128,7.902,7.471,6.754,6.118,139.451,8.17,19:30,2024-09-21
Torre Huayco,5.501,5.066,4.908,4.822,4.742,4.861,4.263,4.268,4.673,4.897,4.944,5.092,4.996,5.049,5.286,5.586,5.67,5.842,6.833,7.864,7.704,7.266,6.557,5.698,132.385,7.891,19:45,2024-09-22
Torre Huayco,5.053,4.553,4.324,4.272,4.21,4.38,4.435,5.32,5.399,5.434,5.614,5.845,5.549,5.663,5.767,6.073,6.135,6.156,7.09,7.918,7.924,7.534,6.509,5.73,136.883,7.997,19:45,2024-09-23
Torre Huayco,5.046,4.632,4.5,4.435,4.593,4.793,4.497,5.087,5.264,5.49,5.65,5.945,5.539,5.743,5.743,6.045,6.268,6.287,7.102,8.153,8.103,7.764,6.954,5.906,139.536,8.236,19:45,2024-09-24
Torre Huayco,5.403,4.979,4.824,4.798,4.55,4.674,4.402,4.932,5.03,5.112,5.363,5.607,5.479,5.675,5.631,5.866,6.052,6.034,7.021,8.207,8.135,7.793,6.915,6.256,138.733,8.275,19:45,2024-09-25
Torre Huayco,5.647,5.095,4.864,4.809,4.806,4.94,4.764,5.093,5.252,5.428,5.44,5.784,5.579,5.721,5.794,5.913,6.096,6.124,6.984,8.063,7.913,7.532,6.706,6.086,140.43,8.117,19:30,2024-09-26
Torre Huayco,5.448,5.027,4.859,4.813,4.831,4.926,4.725,5.155,5.303,5.396,5.616,5.771,5.544,5.683,5.863,6.029,6.177,6.034,6.743,7.93,7.696,7.33,6.504,5.818,139.218,8.012,19:30,2024-09-27
Torre Huayco,5.203,4.956,4.861,4.872,4.89,4.944,4.418,4.804,5.25,5.632,5.679,5.873,5.615,5.707,5.833,5.837,5.873,5.855,6.558,7.792,7.736,7.392,6.573,5.953,138.105,7.853,20:00,2024-09-28
Torre Huayco,5.473,5.118,4.921,4.837,4.714,4.717,4.123,4.234,4.793,4.957,5.017,5.166,5.152,5.152,5.272,5.494,5.587,5.591,6.493,7.748,7.69,7.208,6.445,5.563,131.465,7.81,20:15,2024-09-29
Torre Huayco,5.068,4.678,4.388,4.293,4.261,4.36,4.458,5.28,5.395,5.641,5.645,5.809,5.621,5.706,5.79,6.067,6.316,6.304,7.098,8.194,8.034,7.531,6.677,5.986,138.598,8.242,20:00,2024-09-30
Torre Huayco,5.395,5.05,4.831,4.809,4.709,4.805,4.617,5.071,5.131,5.408,5.535,5.693,5.464,5.698,5.878,6.197,6.438,6.438,7.006,8.186,7.998,7.552,6.852,6.173,140.931,8.203,19:45,2024-10-01
Torre Huayco,5.422,5.021,4.79,4.685,4.677,4.749,4.53,4.994,5.047,5.238,5.449,5.591,5.299,5.524,5.667,5.976,6.258,6.364,7.105,8.068,7.869,7.474,6.63,5.731,138.155,8.136,19:45,2024-10-02
Torre Huayco,5.07,4.721,4.527,4.373,4.372,4.696,4.551,5.178,5.435,5.569,5.906,6.281,5.755,5.866,5.843,6.109,6.265,6.273,7.084,8.227,7.981,7.661,6.907,6.15,140.797,8.27,19:45,2024-10-03
Torre Huayco,5.508,5.233,4.925,4.813,4.831,4.926,4.725,5.155,5.303,5.396,5.616,5.771,5.544,5.683,5.863,6.029,6.177,6.034,6.743,7.93,7.696,7.33,6.504,5.818,139.55,8.012,19:30,2024-10-04
Torre Huayco,5.203,4.956,4.861,4.872,4.89,4.944,4.418,4.804,5.25,5.632,5.679,5.873,5.615,5.707,5.833,5.837,5.873,5.855,6.558,7.792,7.736,7.392,6.573,5.953,138.105,7.853,20:00,2024-10-05
Torre Huayco,5.473,5.118,4.921,4.837,4.714,4.717,4.123,4.234,4.793,4.957,5.017,5.166,5.152,5.152,5.272,5.494,5.587,5.591,6.493,7.748,7.69,7.208,6.445,5.563,131.465,7.81,20:15,2024-10-06
Torre Huayco,5.033,4.768,4.44,4.37,4.405,4.473,4.87,5.143,5.213,5.438,5.538,5.725,5.465,5.433,5.535,6.305,6.548,6.398,7.383,8.373,8.095,7.59,6.753,6.163,139.45,8.41,20:00,2024-10-07
Torre Huayco,5.395,5.05,4.831,4.809,4.709,4.805,4.617,5.071,5.131,5.408,5.535,5.693,5.464,5.698,5.878,6.197,6.438,6.438,7.006,8.186,7.998,7.552,6.852,6.173,140.931,8.203,19:45,2024-10-08
Torre Huayco,5.422,5.021,4.79,4.685,4.677,4.749,4.53,4.994,5.047,5.238,5.449,5.591,5.299,5.524,5.667,5.976,6.258,6.364,7.105,8.068,7.869,7.474,6.63,5.731,138.155,8.136,19:45,2024-10-09
Torre Huayco,5.07,4.721,4.527,4.373,4.372,4.696,4.551,5.178,5.435,5.569,5.906,6.281,5.755,5.866,5.843,6.109,6.265,6.273,7.084,8.227,7.981,7.661,6.907,6.15,140.797,8.27,19:45,2024-10-10
Torre Huayco,5.508,5.233,4.925,4.813,4.831,4.926,4.725,5.155,5.303,5.396,5.616,5.771,5.544,5.683,5.863,6.029,6.177,6.034,6.743,7.93,7.696,7.33,6.504,5.818,139.55,8.012,19:30,2024-10-11
Torre Huayco,5.203,4.956,4.861,4.872,4.89,4.944,4.418,4.804,5.25,5.632,5.679,5.873,5.615,5.707,5.833,5.837,5.873,5.855,6.558,7.792,7.736,7.392,6.573,5.953,138.105,7.853,20:00,2024-10-12
Torre Huayco,5.473,5.118,4.921,4.837,4.714,4.717,4.123,4.234,4.793,4.957,5.017,5.166,5.152,5.152,5.272,5.494,5.587,5.591,6.493,7.748,7.69,7.208,6.445,5.563,131.465,7.81,20:15,2024-10-13
Torre Huayco,5.033,4.768,4.44,4.37,4.405,4.473,4.87,5.143,5.213,5.438,5.538,5.725,5.465,5.433,5.535,6.305,6.548,6.398,7.383,8.373,8.095,7.59,6.753,6.163,139.45,8.41,20:00,2024-10-14
Torre Huayco,5.395,5.05,4.831,4.809,4.709,4.805,4.617,5.071,5.131,5.408,5.535,5.693,5.464,5.698,5.878,6.197,6.438,6.438,7.006,8.186,7.998,7.552,6.852,6.173,140.931,8.203,19:45,2024-10-15
Torre Huayco,5.422,5.021,4.79,4.685,4.677,4.749,4.53,4.994,5.047,5.238,5.449,5.591,5.299,5.524,5.667,5.976,6.258,6.364,7.105,8.068,7.869,7.474,6.63,5.731,138.155,8.136,19:45,2024-10-16
Torre Huayco,5.07,4.721,4.527,4.373,4.372,4.696,4.551,5.178,5.435,5.569,5.906,6.281,5.755,5.866,5.843,6.109,6.265,6.273,7.084,8.227,7.981,7.661,6.907,6.15,140.797,8.27,19:45,2024-10-17
Torre Huayco,5.508,5.233,4.925,4.813,4.831,4.926,4.725,5.155,5.303,5.396,5.616,5.771,5.544,5.683,5.863,6.029,6.177,6.034,6.743,7.93,7.696,7.33,6.504,5.818,139.55,8.012,19:30,2024-10-18
Torre Huayco,5.203,4.956,4.861,4.872,4.89,4.944,4.418,4.804,5.25,5.632,5.679,5.873,5.615,5.707,5.833,5.837,5.873,5.855,6.558,7.792,7.736,7.392,6.573,5.953,138.105,7.853,20:00,2024-10-19
Torre Huayco,5.473,5.118,4.921,4.837,4.714,4.717,4.123,4.234,4.793,4.957,5.017,5.166,5.152,5.152,5.272,5.494,5.587,5.591,6.493,7.748,7.69,7.208,6.445,5.563,131.465,7.81,20:15,2024-10-20
Torre Huayco,5.033,4.768,4.44,4.37,4.405,4.473,4.87,5.143,5.213,5.438,5.538,5.725,5.465,5.433,5.535,6.305,6.548,6.398,7.383,8.373,8.095,7.59,6.753,6.163,139.45,8.41,20:00,2024-10-21
