Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Trinidad,18.077,16.691,15.512,14.501,13.325,12.627,11.162,9.622,9.798,10.094,10.457,10.982,11.462,12.004,12.517,13.006,13.102,13.354,15.319,15.803,15.139,14.567,13.715,12.232,315.066,18.781,00:15,2024-09-01
Trinidad,10.964,10.092,9.516,9.087,8.771,8.65,8.666,9.198,10.151,11.037,11.868,12.815,13.168,14.041,15.487,16.78,16.869,16.917,18.422,18.361,17.809,17.318,16.359,14.833,317.178,18.872,19:00,2024-09-02
Trinidad,13.192,11.993,11.233,10.637,9.946,9.529,10.274,10.509,11.811,13.173,14.571,16.012,16.74,19.174,21.466,22.252,21.709,20.94,22.006,22.286,21.735,21.645,21.292,19.84,393.96,22.521,19:00,2024-09-03
Trinidad,17.818,15.967,14.822,13.58,12.845,12.136,11.374,12.071,13.952,15.818,17.214,18.794,19.278,22.002,24.258,24.642,23.583,22.707,23.969,24.24,23.977,23.983,23.534,22.207,454.769,24.793,15:00,2024-09-04
Trinidad,20.202,18.262,17.125,15.89,14.771,14.118,13.037,12.443,14.112,15.043,15.612,16.259,15.674,16.149,17.173,17.574,17.395,17.158,18.403,18.822,18.389,18.312,17.799,16.409,396.13,20.895,00:15,2024-09-05
Trinidad,14.63,13.578,12.591,12.061,11.349,11.186,10.939,11.071,12.365,13.398,13.694,14.271,13.981,14.427,15.163,15.648,15.615,16.173,17.546,17.311,16.687,16.042,15.18,13.64,338.544,17.961,18:45,2024-09-06
Trinidad,12.335,11.526,10.805,10.605,10.279,10.103,9.542,9.706,10.684,11.631,12.217,13.794,14.549,15.01,16.096,17.077,17.348,18.036,19.945,20.545,20.08,19.662,18.855,17.75,348.181,20.737,19:00,2024-09-07
Trinidad,16.152,14.788,13.715,12.871,12.061,11.422,10.092,9.586,10.399,11.355,12.53,14.054,15.158,16.52,18.213,19.192,18.973,18.656,20.369,21.124,20.909,20.892,20.642,19.447,379.116,21.239,19:15,2024-09-08
Trinidad,17.774,16.239,15.069,14.054,13.242,12.618,11.693,12.302,14.835,16.923,18.536,20.309,20.652,22.399,24.336,24.833,23.845,22.817,23.58,23.321,23.145,23.181,22.665,21.367,459.731,24.991,15:00,2024-09-09
Trinidad,19.285,17.564,16.355,15.273,14.645,15.605,13.876,12.696,15.37,17.466,19.399,21.288,21.772,23.527,25.328,25.713,24.589,23.401,24.249,23.897,23.89,24.073,23.709,22.45,485.417,25.915,15:15,2024-09-10
Trinidad,20.656,18.797,17.477,16.282,15.252,14.359,13.35,14.108,17.003,19.084,20.689,22.485,23.363,25.055,26.672,26.688,24.677,23.792,25.13,25.539,25.201,25.586,25.658,24.645,511.545,27.088,15:15,2024-09-11
Trinidad,22.619,21.02,19.47,18.332,17.28,16.277,15.029,15.258,18.959,20.325,22.331,24.007,24.426,25.248,25.737,24.97,22.814,19.027,18.88,19.009,18.305,18.318,18.073,16.971,482.684,25.779,14:15,2024-09-12
Trinidad,15.555,14.469,13.709,13.087,12.369,12.046,11.611,12.244,14.849,16.719,18.261,20.496,21.27,22.982,25.07,25.459,24.104,22.836,24.253,25.044,24.909,24.674,24.455,23.457,463.927,25.601,15:15,2024-09-13
Trinidad,21.916,20.439,19.324,18.192,17.286,16.337,14.972,14.74,16.183,18.082,19.413,20.917,20.757,18.375,17.504,16.025,14.616,14.403,15.886,15.946,15.504,14.625,13.521,12.509,407.468,22.527,00:15,2024-09-14
Trinidad,11.727,11.055,10.58,9.582,5.467,0.925,2.013,8.447,8.89,9.233,9.438,9.671,9.714,9.408,9.38,9.595,9.868,10.324,12.621,13.406,12.951,12.422,11.564,10.434,228.712,13.555,19:30,2024-09-15
Trinidad,9.493,8.852,8.456,8.165,8.01,8.019,7.751,8.563,10.063,11.358,11.845,12.828,12.84,13.3,14.306,15.108,15.066,14.92,16.643,17.116,16.73,16.417,15.504,14.185,295.535,17.325,19:00,2024-09-16
Trinidad,12.606,11.423,10.87,10.534,10.174,9.814,9.485,10.415,11.883,13.011,13.877,15.12,14.93,16.21,17.583,18.199,17.907,17.457,18.808,19.084,18.262,18.238,17.437,16.339,349.663,19.393,18:45,2024-09-17
Trinidad,14.728,13.517,12.62,12.132,11.571,11.178,10.81,11.302,12.752,13.955,15.33,16.74,16.913,18.768,20.866,21.348,21.204,20.678,22.164,22.581,22.36,22.462,21.859,20.601,408.436,22.869,18:45,2024-09-18
