Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Urubó - 115,7.416,8.766,8.712,8.328,8.062,8.015,7.91,7.978,8.579,9.245,9.818,10.098,10.171,10.326,10.261,10.354,10.31,10.518,11.683,9.165,9.002,8.833,8.373,7.609,219.534,12.092,18:45,2024-09-01
Urubó - 115,6.849,6.365,0.874,0.026,0.025,0.026,0.024,0.023,0.024,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.245,7.084,00:15,2024-09-02
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-03
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:30,2024-09-04
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-05
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-06
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-07
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-08
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-09
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-10
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-11
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-12
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-13
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-14
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-15
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-16
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     ,2024-09-17
Urubó - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.387,18.69,18.252,16.985,16.284,15.333,14.539,13.253,12.015,10.941,139.679,18.812,15:30,2024-09-18
Urubó - 115,9.845,8.954,8.395,7.987,7.744,7.793,8.578,10.62,14.411,16.923,18.519,19.431,19.422,20.001,21.63,22.291,21.18,19.649,18.936,18.367,17.371,16.274,15.081,13.707,363.108,22.506,15:30,2024-09-19
Urubó - 115,12.296,11.177,10.43,9.878,9.352,9.201,9.726,12.285,16.193,19.018,20.851,22.001,21.965,22.828,24.429,24.854,23.804,21.971,20.95,19.514,18.214,16.968,15.612,14.553,408.071,25.097,15:45,2024-09-20
