Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Urubó 115,13.902,12.669,11.854,11.143,10.621,10.162,11.425,15.383,20.513,23.714,24.629,25.18,25.037,26.135,27.655,28.619,27.489,25.622,23.215,22.568,21.435,20.209,18.328,16.659,474.167,28.793,15:45,2024-11-25
Urubó 115,15.062,13.644,12.737,12.075,11.45,10.896,11.963,15.894,20.499,23.21,24.53,25.267,25.109,26.557,28.04,28.65,27.682,25.181,23.112,22.033,20.883,19.492,18.196,16.652,478.815,28.683,15:15,2024-11-26
Urubó 115,15.026,13.749,12.871,12.108,11.562,11.03,11.74,14.625,18.774,20.88,22.155,23.53,23.535,23.822,24.974,25.19,24.746,23.333,21.514,20.99,20,18.922,17.339,15.814,448.229,25.432,15:45,2024-11-27
Urubó 115,14.197,12.94,12.105,11.533,11.104,10.595,11.278,13.657,17.147,19.489,20.558,21.333,21.247,22.674,24.176,24.567,23.67,22.434,20.78,19.985,18.957,17.708,16.496,14.977,423.608,24.694,15:30,2024-11-28
Urubó 115,13.622,12.413,11.607,11.113,10.744,10.4,11.135,14.227,18.306,21.81,22.692,23.249,22.895,23.858,25.495,26.171,25.669,24.036,22.094,21.36,20.165,18.622,17.373,16.136,445.192,26.343,16:00,2024-11-29
Urubó 115,14.906,13.792,12.829,12.1,11.509,10.872,10.973,12.542,16.1,18.775,20.035,21.056,20.875,20.836,21.472,21.557,20.981,19.815,19.283,19.518,18.939,18.247,17.446,16.509,410.967,21.711,15:30,2024-11-30
Urubó 115,15.284,14.103,13.192,12.616,12.008,11.566,11.208,12.139,13.364,14.927,16.045,16.802,17.057,17.009,17.429,18.053,18.411,17.853,17.295,17.971,17.983,17.97,17.552,16.298,374.137,18.495,16:30,2024-12-01
Urubó 115,14.918,13.83,12.947,12.274,11.668,11.131,11.969,14.972,19.46,21.679,20.64,19.639,17.312,15.884,15.917,15.94,15.323,14.485,13.507,12.893,12.256,11.549,10.563,9.44,350.196,22.144,09:30,2024-12-02
Urubó 115,8.488,7.741,7.204,6.866,6.769,6.693,7.297,8.855,10.21,11.2,11.509,12.057,12.026,11.828,12.839,13.596,13.156,12.457,12.227,12.279,11.779,11.032,10.055,9.083,247.245,13.714,15:45,2024-12-03
Urubó 115,8.075,7.434,7.078,6.88,6.682,6.64,7.304,9.116,10.582,11.991,13.25,14.008,14.239,14.928,15.986,16.118,15.663,15.026,14.05,13.973,13.116,12.265,11.203,10.128,275.732,16.185,15:15,2024-12-04
Urubó 115,9.047,8.244,7.693,7.405,7.239,7.201,7.977,10.012,12.409,14.574,15.614,16.658,16.906,17.07,18.003,19.061,19.808,18.558,17.066,16.71,15.639,14.381,13.118,11.791,322.185,20.186,16:15,2024-12-05
Urubó 115,10.59,9.618,8.994,8.563,8.249,8.077,8.863,11.052,13.623,15.856,16.861,16.982,16.982,17.326,18.327,18.77,17.509,16.448,15.932,15.974,14.893,13.673,12.505,11.504,327.169,19.024,15:45,2024-12-06
Urubó 115,10.55,9.754,9.063,8.688,8.359,8.318,8.565,9.354,11.125,13.239,14.13,14.654,14.133,14.037,14.141,13.942,14.178,14.116,14.126,14.501,14.162,13.255,12.605,11.848,290.842,14.815,11:30,2024-12-07
Urubó 115,10.738,10.002,9.414,9.119,8.798,8.493,8.229,8.258,8.673,9.246,9.596,9.599,9.654,9.683,9.574,9.652,9.611,9.833,10.334,11.027,10.904,10.666,10.241,9.41,230.752,11.103,19:30,2024-12-08
Urubó 115,8.561,7.939,7.532,7.281,7.127,7.203,7.666,9.632,11.965,13.767,15.028,16.036,16.098,16.704,17.248,18.431,18.469,17.438,16.013,15.911,14.963,13.663,12.311,10.678,307.664,18.716,16:15,2024-12-09
Urubó 115,9.305,8.372,7.792,7.515,7.311,7.135,7.793,9.491,11.262,12.742,13.736,14.536,15.148,16.195,17.905,18.97,18.57,17.084,16.158,16.121,15.146,13.84,12.684,11.505,306.316,19.191,16:00,2024-12-10
Urubó 115,10.143,9.227,8.654,8.289,8.056,7.908,8.752,11.444,14.785,16.918,18.521,19.787,20.147,20.633,22.418,23.26,22.841,20.927,19.421,18.933,17.681,16.222,14.944,13.612,373.521,23.34,15:30,2024-12-11
Urubó 115,12.21,11.037,10.18,9.704,9.256,8.86,9.864,12.958,17.45,20.85,22.185,23.436,23.49,24.321,24.867,23.794,22.148,20.535,18.998,18.696,17.582,16.098,14.833,13.636,406.985,25.316,14:30,2024-12-12
Urubó 115,12.311,11.162,10.475,10.039,9.714,9.514,10.079,12.458,16.409,18.681,20.456,21.085,21.395,21.775,22.32,22.776,21.676,20.438,19.044,18.82,17.697,15.349,13.345,12.201,389.221,23.014,15:15,2024-12-13
Urubó 115,10.961,10.01,9.355,8.846,8.555,8.273,8.341,9.223,11.454,14.355,15.921,16.648,16.033,14.991,14.614,14.724,14.346,14.012,13.905,14.477,14.437,13.957,13.508,12.792,303.737,16.772,11:45,2024-12-14
Urubó 115,11.974,10.871,10.019,9.429,9.005,8.328,8.285,8.82,9.594,10.333,10.99,11.684,12.355,13.484,14.04,14.733,15.349,15.284,15.059,15.821,15.815,15.821,15.384,14.241,296.717,15.947,20:00,2024-12-15
Urubó 115,13.003,11.83,11.018,10.318,9.677,9.247,10.086,13.17,17.737,21.172,22.314,23.266,23.582,24.425,26.033,26.704,26.006,24.394,22.328,21.547,20.101,18.626,17.37,16.103,440.058,26.775,15:30,2024-12-16
Urubó 115,14.593,13.29,12.383,11.644,11.06,10.515,10.953,13.985,19.109,22.986,24.485,25.749,25.981,26.933,28.299,28.677,27.85,25.944,23.566,22.679,21.335,19.84,18.463,16.999,477.318,28.748,15:15,2024-12-17
Urubó 115,15.249,13.82,13.894,13.094,12.494,11.97,12.357,15.029,19.816,24.247,26.124,27.583,27.868,28.24,29.058,27.718,25.28,23.258,22.01,21.455,20.065,18.594,17.413,16.046,482.683,29.334,14:15,2024-12-18
Urubó 115,14.463,13.149,12.184,11.552,11.228,10.945,11.46,14.039,18.178,21.407,22.533,23.69,23.92,24.345,25.336,22.922,21.147,20.304,19.262,19.09,17.887,16.222,14.962,13.843,424.069,25.958,14:30,2024-12-19
Urubó 115,12.617,11.531,10.804,10.291,9.983,9.874,10.326,12.167,14.832,17.237,19.154,20.518,19.02,18.151,18.175,18.613,18.69,17.949,16.65,16.661,15.403,14.244,13.322,12.265,358.478,20.726,12:00,2024-12-20
Urubó 115,11.309,10.37,9.734,9.293,9.022,8.836,8.891,9.778,11.709,13.428,14.415,15.155,14.829,14.78,15.571,16.26,16.413,16.105,15.613,16.427,15.984,15.195,14.34,13.408,316.865,16.538,16:45,2024-12-21
Urubó 115,12.392,11.335,10.738,10.253,9.797,9.32,9.218,9.578,9.796,9.993,10.373,10.829,10.892,10.974,10.862,11.044,11.196,11.512,11.68,12.399,12.276,11.892,11.392,10.524,260.264,12.821,00:15,2024-12-22
Urubó 115,9.498,8.683,8.226,7.904,7.716,7.735,8.16,10.261,13.417,15.948,16.986,18.01,18.251,18.635,19.83,20.556,20.028,19.376,17.843,17.251,16.262,15.199,14.359,13.32,343.454,20.697,15:30,2024-12-23
Urubó 115,12.056,10.888,9.867,9.364,8.986,8.64,9.281,11.59,15.445,18.382,19.665,20.514,20.585,20.922,21.248,21.06,20.035,19.124,18.535,17.604,14.948,13.101,11.703,10.812,364.353,21.413,15:00,2024-12-24
Urubó 115,10.166,9.745,9.224,8.785,8.374,8.031,7.714,7.886,8.251,9.165,10.008,10.506,11.184,11.622,11.967,12.224,11.924,11.622,11.602,12.244,12.233,11.901,11.374,10.566,248.318,12.351,20:00,2024-12-25
Urubó 115,9.773,9.014,8.461,8.113,7.857,7.631,8.12,10.131,13.067,15.306,16.008,16.905,16.994,17.356,18.666,19.736,19.533,18.53,16.999,16.54,15.267,14.3,13.355,12.203,329.864,19.931,16:00,2024-12-26
Urubó 115,10.999,10.034,9.34,8.794,8.414,8.045,8.503,10.582,14.151,16.947,18.431,19.146,19.3,19.855,21.19,22.019,21.577,20.56,18.813,17.893,16.719,15.718,14.924,13.734,365.689,22.039,15:45,2024-12-27
Urubó 115,12.54,11.315,10.446,9.815,9.384,8.909,8.978,10.292,13.114,16.293,17.579,18.374,18.26,18.003,18.198,18.28,18.387,17.72,17.207,17.504,16.961,16.278,15.792,14.899,354.528,18.558,12:00,2024-12-28
Urubó 115,13.582,12.464,11.571,10.907,10.345,9.79,9.674,10.487,11.742,13.115,14.238,15.076,15.233,15.634,16.297,16.8,17.151,16.851,16.467,16.841,16.68,16.673,16.482,15.514,339.613,17.287,17:00,2024-12-29
Urubó 115,14.181,12.92,11.856,11.045,10.412,9.998,10.319,12.816,17.401,21.314,22.893,23.824,23.935,24.65,25.963,26.417,25.607,23.988,21.723,20.681,19.427,18.531,17.638,16.533,444.072,26.56,15:15,2024-12-30
Urubó 115,15.085,13.713,12.576,11.814,11.317,10.779,10.953,13.014,17.466,20.91,22.436,23.297,23.416,23.245,23.376,23.111,22.219,21.09,20.259,21.158,21.003,19.608,17.602,15.756,435.202,23.576,12:00,2024-12-31
Urubó 115,14.838,14.426,13.874,13.105,12.661,12.164,11.77,12.467,13.4,14.503,15.43,16.307,16.969,17.355,17.882,18.262,18.434,18.165,17.739,18.106,18.142,17.836,17.527,16.48,377.844,18.5,17:00,2025-01-01
Urubó 115,15.339,14.139,13.242,12.638,12.165,11.757,11.841,14.235,18.044,21.225,22.58,23.479,23.681,24.469,25.758,26.179,25.146,23.089,21.222,20.455,19.449,18.685,17.761,16.638,453.217,26.307,15:30,2025-01-02
Urubó 115,15.307,14.014,13.069,12.277,11.754,11.334,11.432,14.297,18.814,22.01,22.817,23.763,24.14,25.029,26.301,26.213,25.019,23.083,20.725,19.962,18.573,17.175,16.29,15.503,448.902,26.649,15:00,2025-01-03
Urubó 115,14.263,13.25,12.338,11.611,11.068,10.747,10.543,11.266,13.005,15.2,16.374,16.715,16.126,15.656,15.785,16.105,16.415,15.89,15.518,16.303,15.909,15.249,14.453,13.382,343.169,16.755,11:45,2025-01-04
Urubó 115,12.118,11.161,10.535,10.113,9.673,9.427,9.13,9.771,10.69,12.116,13.13,14.09,14.472,14.785,15.348,15.162,14.616,14.182,13.961,14.411,14.415,14.443,14.18,13.252,305.182,15.486,15:00,2025-01-05
Urubó 115,12.05,11.194,10.519,10.012,9.609,9.517,9.919,11.97,15.405,18.495,20.789,21.731,22.105,22.919,24.628,25.52,23.983,21.759,19.158,18.444,17.477,16.606,15.641,14.514,403.966,25.692,15:30,2025-01-06
Urubó 115,13.026,11.776,10.902,10.315,9.98,9.855,10.129,12.073,15.394,18.921,20.516,21.49,21.004,19.43,18.013,18.113,17.901,17.127,16.01,15.734,15.023,13.958,13.053,11.986,361.729,21.808,12:00,2025-01-07
Urubó 115,10.825,9.955,9.424,8.989,8.728,8.711,9.129,11.164,14.366,16.552,17.279,18.11,18.192,18.573,19.036,18.941,18.794,18.158,16.866,16.703,15.665,14.736,13.671,12.576,345.142,19.153,14:30,2025-01-08
Urubó 115,11.212,10.069,9.402,9.02,8.71,8.64,9.164,11.078,13.959,16.137,17.689,18.961,19.727,20.452,22.226,23.007,22.622,21.142,19.104,18.366,17.219,16.124,15.055,14.114,373.2,23.14,15:30,2025-01-09
Urubó 115,12.79,11.635,10.781,10.24,9.869,9.589,9.965,12.302,15.769,19.088,20.447,21.22,21.75,22.705,24.186,24.612,21.864,19.816,18.381,17.933,16.815,15.378,14.038,12.994,394.167,25.006,15:15,2025-01-10
Urubó 115,11.738,10.801,10.166,9.761,9.026,7.768,8.34,9.657,10.92,12.461,12.796,13.07,12.627,12.33,12.526,13.316,14.102,14.037,13.644,14.119,14.04,13.471,12.915,12.033,285.666,14.46,17:15,2025-01-11
Urubó 115,11.051,10.218,9.613,9.148,8.801,8.676,8.466,8.627,9.121,10.077,10.624,11.078,11.153,11.131,11.503,11.732,11.86,11.812,12.092,13.173,13.142,12.97,12.485,11.5,260.052,13.3,20:00,2025-01-12
Urubó 115,10.535,9.706,9.064,8.616,8.28,8.107,8.673,11.477,15.931,19.579,21.279,22.438,22.575,22.984,24.495,25.236,23.768,22.683,20.476,19.586,18.674,17.563,16.382,14.869,402.977,25.441,15:30,2025-01-13
Urubó 115,13.321,12.032,11.051,10.395,9.977,9.707,10.06,12.705,16.503,19.173,19.764,21.466,22.853,22.45,23.632,23.218,21.925,19.344,17.69,17.109,15.832,14.801,13.694,12.337,391.037,23.744,15:00,2025-01-14
Urubó 115,11.089,10.078,9.366,8.869,8.538,8.362,8.844,11.243,14.919,18.315,20.046,21.123,21.449,22.28,23.366,23.805,23.218,21.842,19.896,18.836,17.714,16.83,15.683,14.483,390.195,23.858,15:45,2025-01-15
Urubó 115,12.944,11.647,10.547,9.971,9.5,9.189,9.896,12.786,17.764,21.088,22.507,23.568,23.798,24.841,26.107,26.641,26.078,24.584,22.263,21.213,20.056,18.57,17.591,16.344,439.495,26.679,16:00,2025-01-16
Urubó 115,14.73,13.345,12.321,11.601,11.042,10.67,11.113,14.047,19.051,22.348,24.246,25.681,26.099,27.037,28.631,28.966,28.118,26.427,24.241,22.29,19.848,18.397,17.477,16.555,474.28,29.118,15:15,2025-01-17
Urubó 115,15.233,14.048,13.133,12.399,11.682,11.296,11.069,12.447,15.303,19.347,21.242,22.501,22.522,22.249,22.687,22.35,21.622,20.788,20.054,20.704,20.502,19.921,19.374,18.247,430.721,22.887,15:00,2025-01-18
Urubó 115,16.797,15.517,14.587,13.934,13.28,12.856,11.921,12.275,13.599,14.985,16.584,17.978,18.567,19.015,19.673,20.256,19.961,16.163,15.431,15.835,15.832,15.871,15.253,14.019,380.19,20.345,16:00,2025-01-19
Urubó 115,12.723,11.743,10.95,10.462,9.937,9.635,9.878,11.887,15.747,18.501,18.637,18.372,17.476,16.86,16.718,17.015,17.149,16.174,14.897,14.846,14.09,12.984,12.009,10.972,339.663,19.017,10:00,2025-01-20
Urubó 115,9.866,8.985,8.531,8.248,8.048,8.057,8.589,10.92,14.611,17.554,19.459,20.496,20.563,21.162,23.031,24.028,23.434,22.259,19.992,19.02,17.835,16.515,15.191,13.964,380.36,24.122,15:45,2025-01-21
Urubó 115,12.584,11.48,10.678,10.204,9.751,9.506,9.15,9.566,10.38,11.619,13.129,14.405,15.181,15.929,16.5,15.951,14.495,13.821,13.96,14.237,13.928,13.639,12.98,11.856,304.929,16.571,15:00,2025-01-22
Urubó 115,10.649,10.174,11.962,11.462,11.015,10.787,11.018,13.609,17.703,20.654,22.295,22.116,21.486,21.992,21.874,22.001,20.164,18.226,15.632,15.393,14.216,12.996,11.809,10.373,379.607,22.853,14:15,2025-01-23
Urubó 115,9.172,8.379,7.838,7.478,7.273,7.409,7.887,10.04,12.97,16.026,17.508,18.406,18.402,18.778,20.055,21.154,20.848,19.919,18.008,17.572,16.362,14.838,13.865,12.653,342.84,21.246,15:45,2025-01-24
