Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Urubó,89.904,80.672,75.88,72.867,71.848,70.865,58.277,49.64,53.392,57.515,62.187,64.793,65.458,66.24,67.747,69.013,70.177,80.242,102.273,106.687,105.133,101.234,94.689,88.088,1824.823,107.099,19:30,2024-09-01
Urubó,82.728,77.204,77.327,75.713,75.607,77.814,84.164,92.805,106.043,117.607,125.46,133.71,134.097,139.597,134.873,139.231,136.264,126.596,127.11,125.837,121.075,113.764,114.048,107.774,2646.45,141.775,14:00,2024-09-02
Urubó,97.581,89.243,84.859,82.621,81.79,83.998,90.249,100.028,113.261,116.525,127.994,133.274,134.004,144.398,155.488,159.64,152.786,141.086,142.208,139.62,134.444,129.263,116.935,124.601,2875.895,160.681,15:30,2024-09-03
Urubó,117.25,107.377,103.671,100.187,97.61,97.734,100.86,103.786,109.129,122.847,132.44,141.562,140.551,146.969,158.545,145.761,139.577,126.988,130.401,141.764,138.337,132.972,124.129,112.078,2972.526,161.909,14:45,2024-09-04
Urubó,109.781,107.307,101.958,98.661,95.96,95.758,99.666,105.394,115.041,111.864,117.603,115.973,113.048,118.759,129.25,132.875,126.536,119.958,122.86,120.558,114.326,123.762,119.561,110.402,2726.861,133.974,15:30,2024-09-05
Urubó,101.697,93.619,89.972,87.086,84.556,82.409,76.938,78.357,88.671,96.634,99.946,103.631,104.662,107.083,108.175,107.196,104.329,104.065,116.298,118.447,115.698,111.736,106.63,98.955,2386.792,119.257,19:00,2024-09-06
Urubó,92.279,87.565,84.264,81.583,81.195,82.196,82.524,88.335,101.62,114.394,123.927,130.256,130.964,133.127,136.085,135.99,132.979,130.505,140.261,139.614,135.165,129.736,125.047,113.902,2733.513,142.279,18:45,2024-09-07
Urubó,105.489,99.118,94.63,91.513,89.291,87.596,79.428,83.075,95.96,103.8,113.791,121.89,128.184,138.472,137.554,126.517,123.846,116.158,122.471,131.081,132.88,129.107,121.148,117.494,2690.493,144.273,14:15,2024-09-08
Urubó,117.19,105.472,96.693,91.335,88.354,87.368,87.401,103.576,126.374,133.063,146.518,151.844,155.342,158.554,164.934,164.964,156.468,141.656,137.856,149.458,147.249,147.429,141.737,147.047,3147.883,166.107,15:30,2024-09-09
Urubó,133.027,122.209,113.706,108.308,104.075,100.88,99.086,107.767,125.598,143.592,155.435,164.012,156.296,157.42,168.556,164.396,150.504,133.365,133.769,149.542,146.867,140.775,137.031,140.231,3256.447,170.351,15:15,2024-09-10
Urubó,136.367,122.887,114.149,109.297,106.296,104.822,104.595,106.25,127.698,148.17,153.691,156.932,156.556,163.339,176.514,172.874,162.994,145.988,146.194,153.457,149.351,150.712,145.817,136.76,3351.713,178.901,14:45,2024-09-11
Urubó,134.893,119.985,108.997,95.625,104.217,102.047,102.452,111.79,128.818,126.808,123.505,129.309,134.44,140.114,143.886,134.269,126.061,119.158,133.502,141.955,136.4,130.428,122.309,112.909,2963.876,144.444,14:15,2024-09-12
Urubó,102.656,109.47,104.626,99.66,97.024,96.679,97.89,112.007,129.129,125.66,134.973,140.818,130.844,148.967,154.539,155.41,146.499,138.458,146.962,139.113,145.97,145.912,143.152,138.471,3084.888,156.091,15:30,2024-09-13
Urubó,127.44,116.843,118.594,115.811,103.346,99.264,97.691,99.459,103.626,114.013,117.401,117.274,112.897,109.887,107.259,104.23,103.812,101.402,111.985,114.525,110.527,105.934,98.826,92.517,2604.563,133.3,00:15,2024-09-14
Urubó,85.657,81.062,79.492,79.192,76.366,74.314,71.743,71.536,78.03,82.672,88.513,91.674,94.27,95.943,97.245,94.44,91.561,91.31,103.854,109.268,107.78,104.259,98.284,89.259,2137.724,109.412,19:45,2024-09-15
Urubó,78.145,73.06,71.254,69.816,69.367,70.788,74.032,85.034,99.989,111.359,117.573,121.522,121.661,126.126,135.378,141.101,139.143,132.575,136.442,136.611,131.919,123.162,113.937,106.174,2586.165,141.944,15:45,2024-09-16
Urubó,96.468,88.921,85.301,82.932,80.929,81.124,82.293,78.955,94.979,110.298,120.036,124.257,124.28,129.564,136.674,138.822,133.801,122.647,122.284,120.068,120.226,119.849,121.642,110.971,2627.321,139.179,15:15,2024-09-17
Urubó,100.033,93.26,88.483,85.973,87.721,89.583,91.976,100.027,121.703,133.802,131.325,139.719,141.937,145.222,143.929,132.982,118.484,102.62,113.64,132.561,126.938,125.46,129.107,122.43,2798.915,146.714,13:15,2024-09-18
Urubó,109.613,99.209,94.182,91.853,89.598,89.269,90.232,98.589,119.945,124.316,131.886,142.911,144.382,155.347,144.205,136.709,126.398,98.217,107.825,127.213,128.986,130.791,127.199,131.492,2840.366,159.162,14:00,2024-09-19
Urubó,117.821,118.724,111.029,106.029,102.977,100.01,88.911,91.203,115.461,127.055,138.703,146.877,146.427,147.057,151.351,152.325,139.7,131.152,139.267,140.083,151.166,147.986,141.414,134.593,3087.321,154.196,20:45,2024-09-20
Urubó,124.428,121.608,128.931,123.133,117.145,115.278,108.788,107.299,111.438,128.734,143.075,150.914,150.155,151.63,155.52,150.291,144.871,135.162,139.163,138.208,136.571,133.766,138.337,133.375,3187.822,156.751,14:45,2024-09-21
Urubó,130.009,118.417,116.736,117.194,112.626,106.963,97.809,101.337,110.294,123.563,131.365,129.516,135.047,136.073,139.12,143.933,136.551,129.022,134.483,136.363,135.034,143.051,140.275,130.819,3035.601,145.114,21:45,2024-09-22
Urubó,125.994,122.946,123.175,117.642,112.923,107.425,104.641,119.319,134.25,142.438,135.266,142.219,137.969,142.624,143.046,145.224,134.734,117.91,113.288,126.321,117.94,122.227,117.112,121.58,3028.211,146.872,15:30,2024-09-23
Urubó,110.307,114.346,123.721,118.745,113.22,108.752,98.926,102.925,115.266,123.607,124.387,127.074,127.601,130.863,131.418,135.356,134.487,135.326,133.599,132.111,133.388,136.61,134.3,147.427,2993.761,156.479,23:45,2024-09-24
Urubó,144.609,131.885,122.96,116.85,111.004,105.941,100.798,98.969,125.422,135.118,138.097,137.922,138.58,143.848,148.423,151.406,139.739,124.419,124.863,130.902,132.295,134.213,130.817,131.692,3100.772,152.569,15:30,2024-09-25
Urubó,129.853,122.31,127.644,125.756,117.315,113.871,115.394,114.18,124.301,129.735,131.884,132.201,128.662,130.805,133.955,132.4,127.409,115.348,116.708,120.392,112.851,110.307,108.377,99.791,2921.451,135.402,14:30,2024-09-26
Urubó,93.767,89.492,83.875,81.404,80.48,82.328,84.003,92.584,108.338,116.532,112.978,121.312,123.839,132.014,140.618,146.09,142.15,131.489,138.589,137.449,128.948,125.544,128.394,119.779,2741.995,147.055,15:30,2024-09-27
Urubó,110.654,101.289,95.72,91.815,89.667,88.287,87.811,97.811,116.731,130.877,125.99,133.05,134.598,137.266,131.015,131.89,128.898,124.135,134.17,135.221,128.981,121.995,131.202,124.508,2833.582,138.781,13:45,2024-09-28
Urubó,114.706,106.745,99.814,94.299,92.78,90.29,81.255,85.41,95.981,107.703,118.753,128.322,135.115,141.105,138.419,142.548,143.771,138.857,142.247,140.84,137.665,142.589,147.011,141.418,2907.641,149.962,22:45,2024-09-29
Urubó,130.083,119.762,112.531,108.452,104.569,101.514,101.649,114.13,132.36,143.333,149.411,149.068,153.294,157.091,163.606,163.954,154.923,148.216,155.91,145.592,143.805,142.207,133.619,126.078,3255.158,165.292,14:30,2024-09-30
Urubó,133.416,122.849,126.484,119.639,113.797,108.383,106.071,115.28,132.289,145.907,147.372,152.166,148.088,155.537,159.991,165.202,160.077,143.852,148.843,148.627,153.988,152.554,151.044,140.263,3351.717,165.764,15:30,2024-10-01
Urubó,126.853,118.691,127.685,122.717,117.724,116.383,107.817,109.945,135.37,144.808,148.215,147.222,142.989,154.995,149.275,138.35,129.304,114.689,135.098,143.376,148.871,149.255,138.975,127.924,3196.529,156.786,14:00,2024-10-02
Urubó,118.796,125.258,114.96,106.694,101.147,96.958,94.37,91.789,100.036,112.897,121.161,128.326,128.354,139.201,151.987,153.405,148.157,139.128,139.227,137.504,133.66,128.636,123.744,112.868,2948.265,154.41,15:00,2024-10-03
Urubó,100.496,103.213,96.165,91.779,87.313,84.18,83.645,93.71,114.668,120.835,124.754,133.515,135.294,143.774,150.564,149.759,143.154,133.381,131.442,126.917,127.259,122.025,122.03,112.495,2832.367,153.336,14:45,2024-10-04
Urubó,102.77,106.23,103.989,97.55,93.842,90.151,85.311,95.015,113.889,126.262,132.615,137.61,134.61,136.545,142.159,138.653,132.239,125.377,127.075,128.224,135.44,131.793,125.444,118.407,2861.2,143.942,14:45,2024-10-05
Urubó,108.44,99.924,99.765,99.945,97.736,91.957,85.796,89.476,100.313,114.871,120.43,128.285,126.224,126.996,112.928,99.79,89.554,85.134,87.085,86.119,98.804,109.215,110.732,104.516,2474.034,132.304,12:15,2024-10-06
Urubó,101.516,118.684,120.614,114.975,110.436,106.202,103.668,118.893,141.163,142.254,144.168,149.344,143.341,141.583,142.137,145.628,137.216,126.693,119.429,125.613,128.722,123.585,118.806,111.367,3036.037,150.993,12:00,2024-10-07
Urubó,98.065,84.881,76.291,69.792,83.816,80.81,85.48,95.605,128.147,138.768,141.81,150.61,141.8,151.781,152.262,150.397,141.994,127.669,128.752,130.424,128.458,129.163,122.756,112.245,2851.776,155.747,13:15,2024-10-08
Urubó,96.649,81.262,77.509,81.769,100.923,92.982,92.455,106.289,124.564,125.393,122.086,127.219,122.847,123.438,130.726,132.705,122.054,115.551,115.073,113.748,110.302,93.634,86.07,82.135,2577.384,135.236,15:15,2024-10-09
