Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Uyuni,2,1.823,1.73,1.703,1.625,1.62,1.42,1.358,1.72,1.918,1.993,2.003,1.995,2,2.413,2.568,2.613,2.355,2.628,2.945,3.025,2.955,2.393,2.015,50.813,3.11,21:00,2024-09-01
Uyuni,1.723,1.553,1.49,1.413,1.405,1.423,1.508,1.995,1.798,1.818,1.84,1.863,1.875,1.868,2.12,2.253,2.243,2.268,2.61,3.12,3.245,3.15,2.853,2.373,49.8,3.34,20:45,2024-09-02
Uyuni,1.88,1.75,1.678,1.63,1.6,1.628,1.643,1.913,1.955,2.065,2.325,2.343,2.153,1.918,2.063,2.203,2.173,2.215,2.673,3.245,3.23,3.07,2.705,2.278,52.33,3.28,19:30,2024-09-03
Uyuni,2.01,1.828,1.783,1.755,1.688,1.73,1.71,2.048,1.97,1.98,2,2,1.868,1.863,2.078,2.223,2.173,2.24,2.655,3.16,3.158,3.03,2.705,2.255,51.905,3.2,19:45,2024-09-04
Uyuni,1.978,1.815,1.72,1.643,1.7,1.903,1.7,2.058,2.058,2.093,2.083,1.985,1.87,1.883,2.123,2.215,2.2,2.23,2.638,3.22,3.18,3.295,2.975,2.553,53.113,3.39,21:30,2024-09-05
Uyuni,2.095,1.84,1.74,1.71,1.638,1.67,1.698,1.958,1.988,2.17,2.56,2.768,2.61,2.325,2.535,2.613,2.355,2.293,2.618,3.105,3.18,3.203,2.673,2.265,55.605,3.32,21:00,2024-09-06
Uyuni,1.958,2.013,1.743,1.69,1.613,1.663,1.585,1.65,1.925,2.108,2.23,2.25,2.165,2.085,2.313,2.485,2.338,2.288,2.595,3.13,3.165,3.235,2.878,2.343,53.443,3.34,21:00,2024-09-07
Uyuni,2.02,1.875,1.808,1.753,1.72,1.718,1.588,1.533,1.883,2.18,2.213,2.1,1.955,1.928,2.238,2.403,2.338,2.288,2.415,2.83,2.818,2.865,2.653,2.175,51.29,2.93,21:30,2024-09-08
Uyuni,1.778,1.63,1.53,1.48,1.453,1.503,1.565,2.068,2.113,2.173,2.073,2.103,2.01,1.975,2.103,2.218,2.328,2.22,2.615,3.128,3.095,2.975,2.825,2.403,51.358,3.15,19:45,2024-09-09
Uyuni,1.955,1.795,1.718,1.645,1.643,1.668,1.673,1.97,2.038,2.018,2.045,2.083,2.028,2.05,2.353,2.49,2.553,2.323,2.755,3.203,3.24,3.173,2.698,2.29,53.4,3.36,21:00,2024-09-10
Uyuni,2.048,1.873,1.825,1.973,1.733,1.74,1.715,2.07,2.033,2.06,2.153,2.11,1.985,1.998,2.433,2.375,2.265,2.37,2.648,3.103,3.178,3.228,2.898,2.36,54.168,3.32,21:30,2024-09-11
Uyuni,2.033,1.82,1.77,1.698,1.693,1.76,1.79,2.113,2.08,2.098,2.018,2.033,1.9,1.908,2.173,2.275,2.213,2.29,2.73,3.208,3.248,3.168,2.923,2.615,53.55,3.28,20:30,2024-09-12
Uyuni,2.338,1.913,1.805,1.795,1.685,1.383,1.415,1.583,1.933,2.158,2.19,2.298,2.098,2.043,2.275,2.41,2.48,2.393,2.743,3.238,3.21,3.155,2.91,2.455,53.9,3.27,19:45,2024-09-13
Uyuni,2.04,1.895,1.998,1.893,1.758,1.768,1.673,1.86,2.088,2.12,2.263,2.335,2.253,2.183,2.418,2.538,2.515,2.363,2.735,3.28,3.245,3.133,2.955,2.518,55.82,3.32,19:45,2024-09-14
Uyuni,2.1,1.913,1.84,1.815,1.755,1.755,1.648,1.69,1.87,2.058,2.16,2.288,2.163,2.103,2.485,2.7,2.505,2.3,2.508,3.008,3.045,2.973,2.555,2.185,53.418,3.06,20:45,2024-09-15
Uyuni,1.873,1.883,1.853,1.69,1.575,1.623,1.588,2.055,1.963,2.01,2.065,2.285,2.193,2.188,2.538,2.568,2.39,2.378,2.725,3.173,3.11,2.995,2.72,2.435,53.87,3.23,19:30,2024-09-16
Uyuni,2.113,1.73,1.653,1.608,1.59,1.658,1.623,1.928,2.035,2.193,2.188,2.225,2.08,2.053,2.24,2.275,2.283,2.42,2.78,3.34,3.315,3.315,3.038,2.6,54.278,3.42,21:45,2024-09-17
Uyuni,2.078,1.883,1.945,1.903,1.748,1.793,1.77,2.145,2.1,2.358,2.62,2.585,2.343,2.295,2.59,2.425,2.318,2.333,2.803,3.303,3.375,3.208,2.775,2.34,57.03,3.39,21:00,2024-09-18
Uyuni,2.005,1.843,1.775,1.718,1.683,1.728,1.71,2.145,2.063,2.125,2.068,1.918,1.825,1.818,2.073,2.18,2.17,2.105,2.435,3.075,3.19,3.33,3.005,2.588,52.57,3.37,21:00,2024-09-19
Uyuni,2.05,1.858,1.583,1.55,1.51,1.573,1.52,1.833,1.898,2.118,2.19,2.205,2.09,2.078,2.453,2.485,2.283,2.28,2.615,3.133,3.145,3.058,3.013,2.593,53.108,3.17,20:00,2024-09-20
Uyuni,2.045,1.89,1.788,1.768,1.733,1.733,1.575,1.78,2,2.16,2.193,2.253,2.203,2.163,2.44,2.425,2.308,2.215,2.603,3.098,3.05,2.883,2.593,2.26,53.153,3.1,19:15,2024-09-21
Uyuni,2.018,1.858,1.745,1.708,1.685,1.728,1.53,1.62,1.69,1.865,1.903,1.945,1.985,1.923,2.12,2.265,2.198,2.088,2.318,2.758,2.755,2.608,2.348,2.003,48.658,2.8,20:00,2024-09-22
Uyuni,1.708,1.553,1.483,1.438,1.423,1.463,1.51,1.985,1.865,1.845,1.88,2.11,2.003,1.93,2.123,2.29,2.31,2.343,2.768,3.175,3.148,3.008,2.72,2.333,50.408,3.2,19:45,2024-09-23
Uyuni,2.063,1.918,1.843,1.808,1.81,1.828,1.673,2,2,2.055,2.04,2.095,2.035,2.033,2.125,2.24,2.188,2.248,2.643,3.145,3.125,2.983,2.658,2.268,52.818,3.17,19:45,2024-09-24
