Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Villa Tunari,4.434,4.153,3.719,3.87,3.775,3.833,3.748,3.728,3.805,4,4.158,4.109,4.296,4.335,4.263,4.375,4.377,4.418,5.299,5.847,5.766,5.383,4.822,4.346,104.858,5.916,20:15,2024-09-01
Villa Tunari,4.038,3.793,3.675,3.602,3.57,3.738,4.014,3.789,3.773,3.905,4.179,4.292,4.476,4.799,4.97,5.107,5.115,5.192,6.057,6.592,6.514,6.024,5.387,4.805,111.403,6.649,19:30,2024-09-02
Villa Tunari,4.447,4.147,3.99,3.926,3.906,4.153,4.382,4.08,4.088,4.339,4.478,4.79,4.915,5.441,5.61,5.746,5.777,5.799,6.545,7.118,7.033,6.643,5.938,5.241,122.529,7.178,19:15,2024-09-03
Villa Tunari,4.723,4.454,4.281,4.17,4.193,4.375,4.574,4.348,4.477,4.744,5.215,5.332,5.608,5.976,6.2,6.424,6.507,6.563,7.27,7.768,7.65,7.257,6.57,5.864,134.541,7.908,19:15,2024-09-04
Villa Tunari,5.383,5.085,4.869,4.918,5.097,5.005,5.229,4.955,5.134,5.343,5.923,6.06,6.017,6.406,6.922,6.829,6.897,6.977,7.947,8.497,7.604,7.271,7.134,6.303,147.802,8.656,19:30,2024-09-05
Villa Tunari,6.173,5.015,4.349,4.572,5.492,5.782,5.803,5.741,5.758,5.775,5.928,6.181,6.004,6.309,6.755,6.615,6.714,6.646,7.514,8.195,8.048,7.584,6.677,6.185,149.811,8.318,19:45,2024-09-06
Villa Tunari,5.992,5.767,5.536,5.547,5.548,5.704,5.57,5.442,5.532,4.856,5.74,6.157,6.001,6.205,6.25,5.931,6.033,6.398,7.471,7.755,7.797,7.476,6.842,6.258,147.804,7.964,20:30,2024-09-07
Villa Tunari,5.951,5.755,5.454,5.427,5.545,5.516,5.436,5.456,5.68,6.026,6.107,6.45,6.512,6.557,6.562,6.618,6.763,6.691,7.75,8.338,8.342,7.968,7.298,6.585,154.786,8.519,21:00,2024-09-08
Villa Tunari,6.152,5.891,5.643,5.525,5.593,5.671,5.802,5.573,5.942,6.026,6.343,6.584,6.556,7.006,7.437,7.412,7.387,7.608,8.272,8.91,8.706,8.299,7.437,6.699,162.471,8.965,19:30,2024-09-09
Villa Tunari,6.265,6.053,5.814,5.579,5.611,5.733,5.803,5.535,5.85,6.142,6.305,6.577,6.807,7.406,7.712,7.691,7.716,7.749,8.768,9.324,9.041,8.687,7.891,7.002,167.06,9.471,20:00,2024-09-10
