Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Villamontes,3.364,3.206,3.095,3.049,3.056,3.088,2.785,2.399,2.557,2.584,2.627,2.674,2.69,2.724,2.792,2.853,2.945,2.994,4.159,4.53,4.441,4.223,3.879,3.506,76.218,4.551,19:30,2024-09-01
Villamontes,3.256,3.142,3.039,2.976,2.974,3.072,2.782,2.576,2.634,2.743,2.813,2.948,3.008,3.177,3.357,3.687,3.827,3.831,4.931,5.178,4.989,4.788,4.362,3.918,84.006,5.205,19:00,2024-09-02
Villamontes,3.511,3.338,3.203,3.144,3.167,3.269,2.961,2.735,2.829,3.052,3.224,3.397,3.378,3.526,3.673,3.83,3.871,3.841,4.88,5.114,4.994,4.76,4.347,3.942,87.984,5.181,19:15,2024-09-03
Villamontes,3.574,3.326,3.207,3.152,3.162,3.247,3.005,2.759,2.911,2.949,3.056,3.157,3.179,3.328,3.46,3.574,3.654,3.722,4.743,5.032,4.891,4.692,4.327,3.973,86.077,5.071,19:15,2024-09-04
Villamontes,3.627,3.373,3.236,3.18,3.175,3.326,3.097,2.858,3.008,3.087,3.166,3.278,3.187,3.359,3.509,3.74,3.773,3.736,4.794,5.06,4.894,4.634,4.196,3.744,87.034,5.199,19:00,2024-09-05
Villamontes,3.448,3.219,3.111,3.049,3.077,3.17,2.798,2.671,2.792,2.903,3.02,3.171,3.238,3.533,3.77,4.072,4.193,4.165,5.241,5.39,5.205,4.963,4.653,4.175,89.024,5.543,19:00,2024-09-06
Villamontes,3.808,3.559,3.375,3.296,3.281,3.352,2.879,2.731,2.897,3.071,3.238,3.374,3.474,3.669,3.777,3.843,3.932,4.057,5.053,5.289,5.176,5.002,4.73,4.355,91.215,5.357,19:15,2024-09-07
Villamontes,4.017,3.796,3.64,3.518,3.491,3.527,3.067,2.806,2.897,2.994,3.043,3.178,3.255,3.35,3.461,3.528,3.602,3.779,4.804,5.03,4.985,4.85,4.507,4.11,89.232,5.062,19:15,2024-09-08
Villamontes,3.743,3.493,3.379,3.292,3.274,3.378,3.112,2.915,3.037,3.224,3.418,3.586,3.574,3.883,4.093,4.484,4.574,4.568,5.409,5.491,5.387,5.146,4.809,4.379,95.644,5.632,18:45,2024-09-09
Villamontes,3.954,3.716,3.534,3.435,3.414,3.509,3.14,3.047,3.247,3.479,3.729,3.907,4.009,4.483,4.735,5.044,5.053,5.088,6.038,6.22,6.177,6.075,5.776,5.244,106.052,6.25,20:00,2024-09-10
Villamontes,4.682,4.312,4.106,3.886,3.797,3.815,3.4,3.268,3.529,3.748,4.036,4.285,4.281,4.683,4.861,5.014,4.917,4.811,5.669,5.77,5.62,5.381,4.954,4.448,107.27,5.877,19:00,2024-09-11
Villamontes,4.037,3.792,3.659,3.562,3.495,3.581,3.265,3.137,3.218,3.213,3.301,3.356,3.271,3.372,3.42,3.558,3.669,3.771,4.798,5.023,4.948,4.728,4.369,3.964,90.505,5.07,19:00,2024-09-12
Villamontes,3.632,3.448,3.321,3.282,3.269,3.408,3.111,2.964,3.115,3.301,3.507,3.64,3.663,3.924,4.267,4.649,4.641,4.594,5.477,5.636,5.463,5.346,5.108,4.84,97.599,5.779,19:00,2024-09-13
Villamontes,4.49,4.191,3.976,3.854,3.829,3.856,3.446,3.157,3.348,3.166,3.282,3.24,3.225,3.265,3.272,3.328,3.434,3.504,4.632,4.879,4.725,4.509,4.232,3.978,90.814,4.89,19:15,2024-09-14
Villamontes,3.705,3.505,3.339,3.259,3.275,3.293,2.609,2.518,2.717,2.824,2.983,3.117,3.178,3.302,3.41,3.507,3.617,3.635,4.578,5.019,4.894,4.701,4.329,3.849,85.162,5.071,19:30,2024-09-15
Villamontes,3.533,3.333,3.21,3.116,3.136,3.227,2.865,2.761,2.913,3.057,3.23,3.358,3.349,3.509,3.636,3.866,3.983,3.924,4.958,5.273,5.132,4.877,4.403,3.964,88.609,5.313,19:00,2024-09-16
Villamontes,3.629,3.425,3.31,3.22,3.267,3.379,2.881,2.847,3.031,3.197,3.385,3.634,3.646,4.03,4.374,4.723,4.876,4.674,5.515,5.718,5.594,5.334,4.924,4.41,97.019,5.846,19:00,2024-09-17
Villamontes,4.018,3.753,3.56,3.402,3.349,3.388,2.918,2.985,3.332,3.619,3.916,4.179,4.231,4.695,5.039,5.441,5.477,5.291,6.082,6.255,6.234,5.964,5.603,5.132,107.858,6.373,18:45,2024-09-18
Villamontes,4.627,4.288,4.055,3.899,3.847,3.872,3.368,3.339,3.867,4.178,4.531,4.85,5.029,5.847,6.212,6.572,6.598,6.225,6.838,7.029,7.038,7.142,6.932,6.431,126.61,7.206,19:00,2024-09-19
Villamontes,5.788,5.313,4.976,4.7,4.529,4.465,3.837,3.86,4.437,4.708,4.877,4.989,5.043,5.664,6.114,6.316,6.254,5.865,6.535,6.71,6.546,6.472,6.361,6.04,130.398,6.824,19:00,2024-09-20
Villamontes,5.55,5.108,4.859,4.623,4.43,4.239,3.539,3.535,3.919,4.141,4.377,4.75,4.975,5.31,5.76,5.923,5.874,5.601,6.462,6.897,6.845,6.793,6.648,6.352,126.507,6.955,19:45,2024-09-21
Villamontes,5.913,5.504,5.183,4.954,4.817,4.644,3.753,3.6,3.902,4.312,4.8,5.16,5.276,5.894,6.435,6.482,6.245,6.017,6.833,7.431,7.472,7.599,7.586,7.121,136.93,7.665,22:00,2024-09-22
Villamontes,6.533,6.035,5.68,5.335,5.137,4.973,4.243,4.356,5.096,5.527,5.826,6.029,6.076,6.779,7.14,7.426,7.267,6.844,7.553,7.629,7.543,7.693,7.616,7.167,151.5,7.825,19:00,2024-09-23
