Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Vinto - 115,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.005,0.005,0.006,0.005,0.005,0.123,0.008,10:30,2024-09-01
Vinto - 115,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.007,0.005,0.159,0.01,13:00,2024-09-02
Vinto - 115,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.006,0.006,0.006,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.132,0.007,09:15,2024-09-03
Vinto - 115,0.005,0.004,0.004,0.004,0.003,0.003,0.002,0.004,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.007,0.006,0.006,0.005,0.129,0.008,17:45,2024-09-04
Vinto - 115,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.004,0.004,0.005,0.005,0.006,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.004,0.004,0.005,0.004,0.004,0.107,0.007,12:45,2024-09-05
Vinto - 115,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.003,0.005,0.007,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.008,0.005,0.004,0.004,0.13,0.009,11:45,2024-09-06
Vinto - 115,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.004,0.005,0.008,0.009,0.009,0.009,0.009,0.008,0.007,0.008,0.005,0.004,0.004,0.005,0.006,0.005,0.005,0.131,0.01,13:15,2024-09-07
Vinto - 115,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.125,0.007,09:00,2024-09-08
Vinto - 115,0.005,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.006,0.005,0.006,0.006,0.005,0.005,0.131,0.007,12:45,2024-09-09
Vinto - 115,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.008,0.008,0.008,0.008,0.009,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.006,0.005,0.005,0.154,0.009,12:45,2024-09-10
Vinto - 115,0.005,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.007,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.009,0.01,0.008,0.007,0.007,0.005,0.005,0.005,0.155,0.01,17:15,2024-09-11
Vinto - 115,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.004,0.005,0.003,0.003,0.004,0.004,0.004,0.004,0.097,0.008,17:15,2024-09-12
Vinto - 115,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.004,0.005,0.006,0.008,0.008,0.009,0.009,0.009,0.007,0.007,0.008,0.007,0.008,0.009,0.008,0.007,0.006,0.145,0.01,21:15,2024-09-13
Vinto - 115,0.006,0.006,0.005,0.005,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.006,0.007,0.007,0.007,0.006,0.005,0.004,0.003,0.004,0.005,0.005,0.005,0.004,0.122,0.007,10:30,2024-09-14
Vinto - 115,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.005,0.004,0.004,0.004,0.004,0.137,0.008,10:45,2024-09-15
