Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Vinto 115,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.006,0.007,0.006,0.006,0.006,0.007,0.009,0.01,0.16,0.01,23:00,2024-11-25
Vinto 115,0.008,0.007,0.006,0.005,0.004,0.004,0.004,0.005,0.006,0.007,0.007,0.009,0.01,0.01,0.009,0.009,0.007,0.005,0.007,0.006,0.007,0.008,0.006,0.005,0.16,0.011,21:45,2024-11-26
Vinto 115,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.006,0.006,0.006,0.007,0.01,0.009,0.006,0.006,0.005,0.005,0.139,0.011,19:00,2024-11-27
Vinto 115,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.008,0.008,0.007,0.006,0.006,0.006,0.007,0.007,0.007,0.005,0.006,0.006,0.005,0.006,0.136,0.009,10:45,2024-11-28
Vinto 115,0.006,0.005,0.005,0.004,0.003,0.003,0.004,0.005,0.006,0.006,0.007,0.008,0.007,0.006,0.006,0.007,0.004,0.006,0.006,0.006,0.008,0.007,0.006,0.005,0.133,0.009,12:15,2024-11-29
Vinto 115,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.005,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.006,0.004,0.002,0.003,0.002,0.001,0.001,0.002,0.003,0.092,0.006,08:00,2024-11-30
Vinto 115,0.001,0.003,0.003,0.002,0.001,0.004,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.005,0.005,0.006,0.006,0.006,0.008,0.01,0.007,0.006,0.006,0.128,0.01,20:15,2024-12-01
Vinto 115,0.006,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.006,0.008,0.007,0.004,0.129,0.008,21:30,2024-12-02
Vinto 115,0.003,0.005,0.005,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.007,0.006,0.142,0.008,12:45,2024-12-03
Vinto 115,0.006,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.006,0.007,0.161,0.008,10:30,2024-12-04
Vinto 115,0.007,0.007,0.006,0.006,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.155,0.008,11:30,2024-12-05
Vinto 115,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.009,0.01,0.01,0.011,0.01,0.01,0.009,0.009,0.008,0.006,0.005,0.006,0.006,0.006,0.006,0.168,0.011,12:30,2024-12-06
