Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Vinto,46.812,43.242,41.773,40.385,39.231,39.421,37.074,34.035,35.45,37.502,39.235,41.152,41.061,41.252,42.399,44.096,44.515,46.378,53.479,60.505,60.172,56.863,52.37,46.956,1065.357,60.764,19:30,2024-09-01
Vinto,42.164,39.492,37.432,36.612,36.393,36.4,39.667,45.784,47.417,50.179,51.749,52.615,50.19,49.864,51.1,53.124,53.676,54.383,61.108,68.22,67.345,63.58,57.727,52.321,1198.542,68.49,19:45,2024-09-02
Vinto,49.22,47.44,45.636,44.773,43.55,44.246,44.593,46.544,48.199,52.195,50.29,51.431,48.695,48.028,50.184,53.086,52.192,52.23,58.404,66.578,65.983,62.322,57.171,51.794,1234.785,66.746,19:30,2024-09-03
Vinto,48.16,45.053,44.024,42.914,41.568,42.791,44.209,47.062,49.27,52.985,54.631,54.433,50.668,50.32,52.349,52.924,51.51,50.922,57.218,65.7,64.644,61.707,57.266,51.999,1234.329,65.971,19:45,2024-09-04
Vinto,47.669,45.471,44.473,43.684,43.073,44.397,45.006,47.259,50.633,54.089,55.143,56.01,53.209,53.053,55.387,55.839,53.732,53.5,60.065,67.695,66.392,63.417,58.381,52.541,1270.118,67.788,20:00,2024-09-05
Vinto,48.692,46.344,45.055,44.193,43.223,44.005,44.427,46.822,49.426,52.638,54.805,54.309,51.102,50.697,53.371,53.795,51.669,51.308,58.197,66.183,64.969,61.838,56.365,51.578,1245.008,66.353,19:45,2024-09-06
Vinto,48.745,46.342,44.679,43.474,42.895,44.147,44.257,45.459,48.67,51.045,52.718,51.523,47.005,45.603,46.007,45.098,45.246,48.006,56.623,62.994,61.529,59.075,54.179,50.886,1186.203,63.289,19:45,2024-09-07
Vinto,47.05,44.316,42.62,41.588,39.88,40.037,37.801,36.143,37.936,39.009,39.724,40.419,39.531,39.532,40.825,42.24,41.783,42.237,51.262,58.94,58.97,56.563,50.735,45.453,1054.595,59.374,20:30,2024-09-08
Vinto,41.093,39.216,38.071,37.552,37.108,38.625,40.515,44.336,46.422,49.641,51.321,51.682,48.855,48.652,51.23,49.321,51.024,51.216,58.457,65.961,65.405,61.975,56.643,51.521,1175.843,66.205,20:00,2024-09-09
Vinto,48.219,45.762,44.519,43.573,42.711,44.142,45.641,48.589,50.266,53.779,54.877,54.973,52.393,52.25,54.371,53.819,53.172,55.783,60.98,67.936,67.08,62.735,57.452,52.04,1267.065,68.349,19:45,2024-09-10
Vinto,49.062,47.52,46.086,45.208,44.428,45.727,46.913,49.235,50.936,52.825,55.339,55.225,52.35,52.385,54.997,55.283,54.671,54.828,61.311,67.65,66.836,63.308,58.243,53.387,1283.754,67.786,19:30,2024-09-11
Vinto,49.644,47.361,46.284,45.627,45.036,46.358,46.664,49.287,52.391,55.458,57.433,57.276,54.091,53.603,55.306,56.152,55.714,54.938,58.684,65.169,64.663,61.501,57.529,52.453,1288.623,65.817,19:30,2024-09-12
Vinto,48.492,46.561,45.404,44.837,44.698,45.721,46.261,47.737,49.997,52.804,55.06,54.823,52.649,52.091,55.703,55.46,53.042,53.327,59.167,65.511,64.186,61.401,56.606,51.528,1263.065,65.912,20:00,2024-09-13
Vinto,48.697,46.181,44.822,44.207,43.032,44.493,44.287,45.913,50.105,52.079,52.952,51.721,47.918,45.864,45.934,46.606,46.536,46.51,54.036,61.097,59.885,57.125,53.138,49.163,1182.3,61.483,20:00,2024-09-14
Vinto,46.2,43.862,41.666,40.382,39.742,40.05,37.139,36.433,37.565,39.186,40.552,41.152,40.012,40.481,41.77,42.568,42.86,43.437,50.283,58.76,58.464,56.619,52.045,45.933,1057.159,59.075,20:00,2024-09-15
Vinto,41.987,39.319,38.157,37.91,38.056,38.908,39.797,45.52,48.298,51.322,54.293,55.176,53.22,52.384,53.873,53.916,52.711,52.671,59.644,67.387,66.348,63.006,58.244,53.912,1216.06,67.696,19:30,2024-09-16
Vinto,49.584,46.897,45.579,45.085,44.136,45.367,45.344,48.538,50.525,54.523,56.61,56.772,54.718,54.039,54.037,54.53,53.201,52.787,59.722,68.105,67.559,64.626,59.072,53.144,1284.502,68.647,20:00,2024-09-17
Vinto,49.677,47.632,46.263,44.956,43.738,45.57,45.669,49.87,51.328,54.169,56.261,56.701,53.526,53.182,55.109,54.48,53.309,52.294,59.209,67.357,66.401,62.933,57.689,53.159,1280.484,67.593,19:45,2024-09-18
Vinto,50.078,47.24,46.392,45.043,43.899,44.628,45.285,48.267,50.223,53.845,55.681,56.72,54.428,54.503,56.067,56.365,55.574,54.621,60.442,68.132,67.122,63.905,58.32,53.45,1290.228,68.284,20:00,2024-09-19
Vinto,50.522,47.974,47.124,45.583,44.898,46.56,46.597,50.146,52.261,54.226,55.478,55.539,52.302,51.999,54.719,55.295,53.645,53.107,58.57,66.616,64.492,61.689,57.863,53.895,1281.102,66.826,19:45,2024-09-20
Vinto,51.07,48.659,47.369,45.981,44.853,45.969,44.095,46.166,50.903,52.109,52.413,51.36,47.821,45.369,46.389,47.546,47.931,47.632,53.711,62.236,60.828,58.382,54.059,50.033,1202.883,62.626,19:45,2024-09-21
Vinto,47.05,44.731,43.009,41.858,40.978,41.013,37.396,36.36,37.646,39.148,39.828,40.676,40.568,41.315,42.162,42.946,42.905,43.76,52.167,59.308,58.44,56.027,51.412,45.27,1065.974,59.962,19:30,2024-09-22
Vinto,41.432,39.059,38.018,37.356,37.275,38.311,39.564,44.172,46.181,49.743,52.319,52.514,50.741,50.781,51.717,53.641,53.185,53.406,60.032,67.432,66.351,63.09,57.758,52.079,1196.156,67.703,20:00,2024-09-23
Vinto,49.103,47.59,46.214,45.124,44.877,45.456,46.152,48.776,52.083,55.47,54.849,56.706,54.322,54.546,56.673,56.653,54.754,53.846,59.928,69.606,68.162,64.443,59.506,54.393,1299.232,70.061,19:45,2024-09-24
Vinto,50.869,48.314,47.229,46.416,45.697,46.657,47.112,50.26,51.564,53.761,54.71,55.661,53.192,53.335,56.082,57.031,54.202,54.387,60.212,67.495,66.039,62.909,57.96,52.707,1293.801,67.831,19:30,2024-09-25
Vinto,48.466,47.069,46.158,44.805,44.255,45.209,45.807,49.047,51.441,53.599,54.787,55.843,54.471,55.223,57.141,57.275,55.583,54.306,59.717,68.137,67.369,64.143,59.603,54.035,1293.488,68.573,19:30,2024-09-26
Vinto,50.343,48.347,47.576,46.35,45.977,46.424,45.771,48.841,53.121,56.883,58.171,58.59,56.257,56.363,57.966,56.604,54.414,53.934,59.096,67.388,66.38,64.215,60.166,55.347,1314.526,67.806,19:45,2024-09-27
Vinto,51.755,49.742,47.968,45.94,45.123,46.301,45.174,47.798,51.453,53.022,52.686,52.123,48.629,47.763,48.782,49.969,49.036,49.112,56,64.699,62.854,59.873,55.63,51.767,1233.196,64.788,19:45,2024-09-28
Vinto,48.319,45.632,43.944,43.01,41.835,41.538,37.195,37.321,35.681,36.858,38.301,39.053,39.268,39.385,41.418,44.421,43.72,44.304,51.356,59.934,60.24,58.282,54.051,48.473,1073.538,60.449,20:00,2024-09-29
Vinto,44.43,41.881,40.056,39.444,39.196,40.077,40.776,46.327,48.308,51.216,53.257,53.416,52.018,51.751,54.432,55.467,55.542,55.178,60.88,69.173,67.97,65.115,60.193,54.162,1240.264,69.563,19:30,2024-09-30
Vinto,50.09,48.159,47.266,46.522,45.907,46.762,45.091,48.621,51.052,54.526,56.137,56.301,55.134,54.741,56.472,56.493,55.221,54.295,59.853,69.29,67.805,64.725,59.992,55.223,1305.68,69.574,19:30,2024-10-01
Vinto,51.61,49.274,47.775,47.346,46.18,46.9,46.015,50.439,52.43,55.086,57.108,56.332,53.333,53.679,55.794,56.954,54.639,53.142,57.619,67.107,66.552,63.294,58.498,54.196,1301.302,67.508,20:00,2024-10-02
Vinto,50.678,48.303,48.034,46.937,45.952,47.244,46.586,50.222,52.102,55.402,57.408,57.978,56.108,55.88,58.008,59.859,58.509,57.48,62.232,68.243,67.006,64.273,59.954,54.733,1329.132,68.663,19:45,2024-10-03
Vinto,51.103,49.451,47.863,47.07,46.452,47.181,46.013,49.748,51.404,54.551,55.817,56.66,53.845,54.019,57.326,58.155,56.339,55.828,59.919,67.105,65.611,62.918,58.757,54.538,1307.672,67.374,19:45,2024-10-04
Vinto,50.871,48.729,47.435,46.166,44.449,45.437,43.357,46.522,49.567,52.239,51.642,50.652,46.672,46.37,46.747,47.868,47.669,47.74,55.65,64.55,63.087,60.271,55.172,51.271,1210.133,64.881,19:30,2024-10-05
Vinto,48.284,46.036,44.149,42.394,40.901,41.092,36.947,36.877,35.752,37.99,38.921,38.603,38.026,38.606,40.198,43.222,43.962,43.966,51.783,60.612,60.495,57.951,52.837,47.523,1067.125,61.217,20:00,2024-10-06
Vinto,43.517,41.252,39.847,38.9,38.795,39.529,39.658,44.88,47.142,50.881,53.018,53.903,50.456,50.919,53.115,54.791,54.264,53.404,59.69,68.515,66.924,62.815,56.646,52.174,1215.034,68.761,19:45,2024-10-07
Vinto,49.047,47.831,46.736,46.455,45.27,46.43,46.106,50.207,51.568,54.392,56.489,56.437,54.896,54.85,55.988,56.281,56.274,58.346,58.086,61.174,61.686,59.122,54.204,50.512,1278.386,62.724,20:00,2024-10-08
Vinto,47.393,45.875,45.026,44.526,43.66,44.731,45.067,48.654,49.657,53.381,55.116,55.713,52.324,52.106,55.094,55.273,54.39,54.43,58.653,68.068,66.744,63.529,58.299,53.062,1270.773,68.363,19:30,2024-10-09
Vinto,48.89,46.509,45.871,44.623,44.211,44.985,44.806,49.297,50.899,52.817,54.147,54.879,52.089,50.871,52.809,54.062,54.558,53.707,58.397,67.4,65.733,62.158,56.353,52.035,1262.107,67.94,19:30,2024-10-10
Vinto,49.009,47.299,47.364,46.495,45.854,46.191,45.52,49.877,53.03,56.323,55.967,54.943,52.061,51.816,54.092,54.275,53.904,53.83,58.973,66.954,65.275,62.943,58.529,54.232,1284.756,67.297,19:30,2024-10-11
Vinto,51.48,49.745,48.159,46.184,45.289,45.787,43.303,46.528,51.286,52.777,52.455,50.863,47.787,46.731,47.603,48.433,47.588,47.062,53.337,61.219,60.212,57.581,54.08,50.925,1206.414,61.487,19:45,2024-10-12
Vinto,47.623,44.623,42.882,41.839,40.637,40.264,35.887,35.255,37.219,38.33,39.077,39.661,39.405,40.059,40.656,41.398,41.753,42.18,49.129,58.029,58.164,55.771,51.123,45.962,1046.926,58.748,20:15,2024-10-13
