Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Warnes,80.706,75.748,73.701,71.695,70.654,69.035,65.295,63.867,67.081,68.37,70.949,73.057,73.81,75.7,78.034,79.207,78.657,78.767,89.457,93.62,93.593,90.292,85.521,77.855,1844.67,93.963,20:15,2024-09-01
Warnes,72.71,70.422,68.163,67.244,68.199,70.62,70.438,72.709,77.977,81.712,81.654,83.177,82.087,85.794,90.666,95.457,97.994,93.512,101.226,105.125,105.279,103.297,97.324,87.068,2029.853,105.412,20:45,2024-09-02
Warnes,82,78.579,76.306,74.382,74.303,75.621,75.61,76.828,83.485,88.788,92.149,94.439,93.252,95.818,99.586,100.821,102,103.14,106.6,110.028,112.467,112.051,108.093,96.434,2212.78,113.284,21:00,2024-09-03
Warnes,87.712,81.265,81.865,78.801,80.236,80.728,80.773,82.891,87.232,91.793,92.069,93.256,92.842,99.555,102.746,105.688,108.439,107.923,112.926,116.876,117.999,117.286,110.717,98.492,2310.11,119.518,21:00,2024-09-04
Warnes,91.014,86.702,84.633,80.747,80.425,81.76,80.474,81.721,87.656,91.973,91.908,92.619,89.178,91.238,63.565,62.97,98.472,97.18,101.308,103.764,103.678,102.412,97.139,88.287,2130.822,104.117,19:30,2024-09-05
Warnes,81.447,77.224,74.19,73.325,71.905,72.286,66.304,67.687,75.708,81.148,82.807,85.071,83.153,86.569,89.057,68.585,84.265,88.433,99.113,101.651,100.419,97.655,92.164,83.853,1984.018,102.436,19:00,2024-09-06
Warnes,78.248,75.662,73.635,72.432,72.875,74.064,71.488,74.509,82.98,87.645,88.524,89.473,88.954,90.216,91.961,93.004,95.344,98.415,105.767,107.928,106.573,103.574,99.643,92.075,2114.992,108.276,19:00,2024-09-07
Warnes,85.689,80.706,78.446,76.065,74.518,74.284,67.322,67.365,72.846,77.925,75.414,70.557,71.448,69.94,72.511,97.216,99.541,99.637,106.507,108.913,109.994,109.162,105.56,99.118,2050.684,110.329,20:30,2024-09-08
Warnes,92.218,85.728,80.18,77.999,77.136,78.731,76.469,80.465,89.111,94.413,96.992,101.469,101.47,108.454,112.956,114.11,115.41,113.576,117.322,119.331,121.339,122.068,118.442,107.439,2402.828,122.922,21:30,2024-09-09
Warnes,103.171,98.407,95.191,92.193,90.713,89.322,84.61,91.512,98.312,96.581,99.419,100.832,100.326,102.002,56.596,58.95,83.025,115.48,118.585,119.819,120.124,119.77,117.844,107.657,2360.44,120.785,20:45,2024-09-10
Warnes,102.608,98.763,93.936,92.053,90.15,90.167,85.977,91.01,100.574,103.995,106.319,106.116,107.23,112.41,114.103,112.22,117.768,114.04,117.317,117.469,119.495,119.954,117.702,109.484,2540.86,120.097,21:00,2024-09-11
