Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Yacuiba,7.572,7.055,6.873,6.708,6.843,6.983,6.256,5.957,6.3,6.772,7.012,7.302,7.248,7.141,7.253,7.297,7.301,7.542,9.704,10.942,10.758,10.169,9.255,8.274,184.514,11.107,19:45,2024-09-01
Yacuiba,7.353,6.779,6.504,6.396,6.513,6.958,6.552,6.552,7.306,7.722,8.053,8.454,8.265,8.293,8.649,9.058,9.1,9.266,11.076,12.1,11.895,11.174,9.938,8.75,202.704,12.147,19:30,2024-09-02
Yacuiba,7.664,6.993,6.682,6.568,6.755,7.107,6.859,7.073,7.841,8.462,8.691,8.859,8.468,8.493,8.724,9.073,9.229,9.436,11.437,12.393,12.114,11.366,10.131,9.028,209.443,12.426,19:30,2024-09-03
Yacuiba,7.975,7.413,7.124,6.96,7.081,7.53,7.173,7.391,8.052,8.517,8.749,8.967,8.702,8.696,9.023,9.187,9.334,9.361,11.36,12.288,11.958,11.259,9.892,8.774,212.766,12.414,19:45,2024-09-04
Yacuiba,7.777,7.099,6.542,6.397,6.253,6.899,6.857,6.984,7.428,7.771,8.219,8.639,8.366,8.483,8.866,9.231,9.21,9.223,11.024,12.141,11.927,11.218,9.924,8.732,205.206,12.226,19:45,2024-09-05
Yacuiba,7.771,7.148,5.962,5.847,6.015,6.483,7.045,7.162,8.059,8.532,8.859,9.203,9.097,9.262,9.619,10.12,10.295,10.305,11.907,12.758,12.344,11.742,10.729,9.6,215.859,12.828,19:30,2024-09-06
Yacuiba,8.586,7.87,7.454,7.337,7.505,7.592,6.814,7.088,7.781,8.352,8.646,9.249,9.146,9.345,9.549,9.602,9.654,9.675,11.344,12.215,11.93,11.341,10.437,9.548,218.058,12.283,19:45,2024-09-07
Yacuiba,8.533,7.882,7.434,7.038,7.108,7.319,6.411,6.454,6.924,7.235,7.463,7.698,7.716,7.694,7.79,7.992,8.024,8.435,10.498,11.385,11.164,10.616,9.688,8.65,197.148,11.47,19:30,2024-09-08
Yacuiba,7.772,7.156,6.858,6.759,6.896,7.209,6.828,6.967,7.948,8.702,9.167,9.532,9.423,9.706,10.159,10.794,10.791,10.623,12.106,12.73,12.405,11.625,10.502,9.162,221.815,12.792,19:45,2024-09-09
Yacuiba,8.05,7.479,7.162,6.99,7.195,7.561,7.085,7.526,8.637,9.408,10.293,10.756,10.636,11.02,11.62,12.266,12.171,12.23,13.819,14.324,14.044,13.318,11.872,10.374,245.837,14.416,19:30,2024-09-10
Yacuiba,9.065,8.266,7.927,7.638,7.618,7.898,7.504,7.857,8.871,9.374,9.881,10.187,9.977,10.169,10.558,10.852,10.55,10.432,11.989,12.546,12.216,11.513,10.356,9.13,232.372,12.653,19:45,2024-09-11
Yacuiba,8.195,7.457,5.645,5.502,5.63,6.445,7.511,7.619,8.305,8.88,9.037,9.154,8.801,8.861,8.897,9.071,9.145,9.384,11.221,12.118,11.976,11.393,10.36,9.229,209.835,12.217,19:45,2024-09-12
Yacuiba,8.267,7.684,7.381,6.881,6.988,7.344,6.623,7.092,7.92,8.407,8.753,9.057,8.796,9.23,9.692,10.146,10.312,10.596,12.031,12.923,12.683,12.051,11.092,10.08,222.026,12.988,19:30,2024-09-13
Yacuiba,8.924,8.198,7.836,7.601,7.687,7.62,7.138,7.232,8.032,8.406,8.662,8.776,8.556,8.284,8.361,8.43,8.6,8.954,10.856,11.516,11.349,10.753,9.939,9.098,210.807,11.612,19:30,2024-09-14
Yacuiba,8.227,7.696,7.315,6.923,7.081,7.125,5.955,6.257,6.736,7.163,7.437,7.587,7.697,7.716,7.875,8.031,8.078,8.137,10.004,11.296,11.179,10.531,9.579,8.524,194.146,11.399,19:45,2024-09-15
Yacuiba,7.601,7.081,6.781,6.598,6.718,7.003,6.496,6.898,7.638,8.374,8.809,9.303,9.188,9.263,9.614,9.996,9.943,9.995,11.607,12.683,12.435,11.759,10.424,9.248,215.453,12.786,19:45,2024-09-16
Yacuiba,8.223,7.606,7.325,7.132,7.29,7.57,6.927,7.602,8.34,8.942,9.394,9.901,9.643,9.863,10.369,11.012,11.125,11.071,12.565,13.449,13.222,12.525,11.205,9.923,232.22,13.525,19:45,2024-09-17
Yacuiba,8.79,8.028,7.705,7.458,7.607,7.899,7.38,7.962,8.899,9.47,10.102,10.602,10.664,11.153,11.863,12.544,12.467,12.346,13.492,14.328,14.042,13.338,12.039,10.606,250.781,14.372,20:00,2024-09-18
Yacuiba,9.332,8.525,8.207,7.902,7.949,8.223,7.639,8.243,9.544,9.986,11.074,11.827,11.91,12.67,13.587,14.415,14.245,13.891,14.915,15.732,11.49,12.627,13.44,12.191,269.559,15.852,19:45,2024-09-19
Yacuiba,10.763,9.924,9.242,8.742,8.677,8.721,8.282,8.755,10.293,11.23,11.834,12.339,12.007,12.438,13.341,13.851,13.572,13.189,14.466,15.218,14.706,13.995,12.872,11.777,280.229,15.317,19:45,2024-09-20
Yacuiba,10.477,9.625,9.057,8.691,8.643,8.643,7.808,8.285,9.258,10.151,10.873,11.553,11.955,12.387,12.876,13.237,13.269,12.855,14.303,15.43,15.057,14.216,13.392,12.324,274.362,15.536,20:00,2024-09-21
Yacuiba,11.202,10.276,9.652,9.277,9.16,9.049,7.769,8.138,8.917,9.736,10.735,11.722,12.338,12.784,13.446,13.854,13.867,13.516,15.152,16.393,16.499,16.174,15.387,14.115,289.156,16.655,20:00,2024-09-22
Yacuiba,12.631,11.48,10.703,10.24,10.102,10.219,9.447,10.274,12.196,13.13,13.819,14.329,14.263,15.125,16.237,16.783,16.317,15.877,17.059,17.704,17.389,16.907,15.862,14.278,332.368,17.878,19:00,2024-09-23
Yacuiba,12.792,11.678,10.95,10.496,10.177,10.166,9.346,9.941,11.61,12.466,12.99,13.541,13.548,14.415,15.278,16.058,15.679,15.353,16.873,17.228,16.892,16.073,14.68,13.175,321.403,17.349,18:45,2024-09-24
Yacuiba,11.619,10.683,10.07,9.599,9.574,9.552,8.818,9.335,10.536,11.15,11.449,12.037,11.881,12.627,13.509,14.234,13.781,13.362,14.432,15.132,15.048,14.406,13.064,11.713,287.611,15.292,19:00,2024-09-25
Yacuiba,10.456,9.638,9.111,8.843,8.851,9.079,8.771,8.885,9.499,9.847,9.896,9.666,9.134,9.081,9.04,9.068,8.927,9.229,11.118,11.914,11.652,10.922,9.921,8.88,231.427,11.98,19:30,2024-09-26
Yacuiba,7.851,7.304,6.98,6.836,7.022,7.145,6.577,7.21,7.89,8.408,8.71,9.084,8.955,9.015,9.492,9.824,9.739,9.732,11.089,12.325,12.202,11.506,10.415,9.394,214.702,12.462,19:45,2024-09-27
Yacuiba,8.465,7.774,7.378,7.177,7.216,7.138,6.338,6.998,7.916,8.584,9.032,9.511,9.558,9.711,10.052,10.343,10.428,10.416,11.929,13.102,12.937,12.301,11.46,10.639,226.402,13.185,19:45,2024-09-28
Yacuiba,9.683,8.847,8.355,7.969,7.905,7.766,6.791,7.208,7.811,8.57,9.172,9.779,10.374,10.867,11.607,12.131,12.329,12.105,13.703,14.992,15.039,14.734,13.886,12.61,254.23,15.177,20:15,2024-09-29
Yacuiba,11.315,10.322,9.656,9.124,8.971,8.787,8.209,8.86,10.718,11.925,12.849,13.71,14.126,15.156,16.353,17.165,17.145,16.721,17.444,18.171,18.116,17.604,16.63,15.173,324.246,18.222,19:00,2024-09-30
Yacuiba,13.661,12.388,10.174,9.65,9.371,10.524,9.868,10.869,12.803,13.638,14.182,14.607,14.705,15.391,16.691,17.472,17.017,16.313,16.798,17.481,17.255,16.86,15.877,14.555,338.147,17.671,19:00,2024-10-01
Yacuiba,13.177,11.94,11.199,10.636,10.255,9.887,9.026,9.458,10.558,11.185,11.581,12.116,11.528,11.943,12.94,13.365,12.71,12.082,13.269,14.113,14,13.495,12.358,11.142,283.962,14.185,19:45,2024-10-02
Yacuiba,9.773,8.998,8.646,8.445,8.434,8.531,7.967,8.407,9.187,9.923,10.326,10.593,10.625,11.107,11.669,12.326,12.039,11.544,12.693,13.672,13.366,12.474,11.14,9.898,251.781,13.777,19:45,2024-10-03
Yacuiba,8.767,8.054,7.65,7.4,7.489,7.426,6.936,7.434,8.526,9.324,9.789,10.224,10.312,10.882,11.664,12.448,12.462,12.219,13.087,14.049,13.51,12.736,11.699,10.503,244.583,14.107,19:00,2024-10-04
Yacuiba,9.46,8.653,8.188,7.825,7.706,7.589,5.615,6.812,8.698,9.441,10.143,10.987,11.628,12.369,13.191,13.707,13.809,13.318,14.526,15.43,15.317,14.865,14.111,13.018,266.404,15.482,19:30,2024-10-05
Yacuiba,11.961,11.091,10.532,9.988,9.849,9.556,8.468,8.758,9.414,10.197,10.958,11.781,12.363,13.014,13.779,14.185,13.945,13.665,15.027,16.099,16.185,16.116,15.395,14.314,296.638,16.275,21:15,2024-10-06
Yacuiba,12.871,11.743,10.816,10.211,10.024,9.684,9.047,9.802,11.907,13.419,14.447,15.301,15.382,16.526,17.73,18.377,17.965,17.266,17.806,18.407,18.477,18.169,17.226,15.459,348.058,18.548,20:15,2024-10-07
Yacuiba,13.714,12.623,11.843,11.065,10.66,10.342,9.412,10.102,11.172,11.89,12.116,12.087,11.616,11.734,12.111,12.366,11.933,11.934,12.99,13.401,13.052,12.189,10.895,9.773,281.016,14.35,00:15,2024-10-08
Yacuiba,8.811,8.354,8.06,7.884,8.069,8.182,7.808,8.388,9.023,9.278,9.334,9.266,8.896,8.744,8.809,9.136,9.371,9.844,11.196,11.82,11.549,10.877,10.049,8.952,221.696,11.873,19:45,2024-10-09
Yacuiba,8.066,7.564,7.345,7.156,5.806,6.444,7.271,7.589,8.252,8.528,8.622,8.729,8.462,8.478,8.552,8.878,9.098,9.751,11.167,11.779,11.528,10.69,9.699,8.738,208.188,11.901,19:45,2024-10-10
Yacuiba,7.863,7.369,7.183,6.943,6.828,6.603,6.333,6.843,7.613,8.09,8.517,8.845,8.831,9.035,9.563,9.869,9.995,9.956,10.99,12.56,12.487,11.747,10.798,9.763,214.622,12.762,20:00,2024-10-11
Yacuiba,8.718,7.988,7.527,7.295,7.296,7.013,6.577,7.149,8.156,8.784,9.147,9.775,9.851,9.856,9.984,10.13,10.38,10.303,11.361,13.082,13.103,12.609,11.707,10.732,228.519,13.278,20:00,2024-10-12
Yacuiba,9.741,8.979,8.574,8.312,8.268,8.015,7.258,7.659,8.28,8.845,9.676,10.423,10.981,11.541,12.022,12.448,12.232,12.03,13.379,15.055,15.243,14.88,14.08,12.854,260.773,15.304,19:45,2024-10-13
Yacuiba,11.634,10.676,9.983,9.501,9.233,8.882,8.396,9.234,11.003,12.172,13.086,14.007,14.294,15.281,16.265,16.81,15.918,15.485,16.307,17.079,16.997,16.503,15.538,14.19,318.47,17.219,20:00,2024-10-14
Yacuiba,12.496,11.333,10.634,10.022,9.856,9.469,9.124,10.423,12.431,13.649,14.704,15.516,15.617,16.693,17.466,17.819,17.271,16.338,16.97,17.698,17.681,17.228,16.27,14.823,341.529,17.915,15:15,2024-10-15
Yacuiba,12.061,7.763,6.46,5.717,5.536,6.847,7.28,8.369,9.543,10.178,10.699,11.196,11.247,12.25,13.385,13.907,13.651,13.288,14.085,15.185,14.942,14.384,13.076,11.456,262.503,15.294,19:45,2024-10-16
Yacuiba,10.195,9.455,8.994,8.669,8.649,8.186,7.813,8.752,10.202,11.23,12.165,12.854,12.835,13.677,14.785,15.709,15.469,14.58,15.211,16.13,16.041,15.563,14.543,12.948,294.653,16.233,19:00,2024-10-17
Yacuiba,11.544,10.347,9.688,8.899,6.951,7.358,8.618,9.115,9.229,9.193,9.279,9.284,9.08,9.218,9.676,10.339,10.526,10.406,11.598,12.624,12.414,11.824,10.806,9.852,237.864,12.743,19:45,2024-10-18
Yacuiba,8.925,8.28,7.878,7.693,7.707,7.476,6.835,7.472,8.432,9.137,9.582,9.893,9.831,10.027,10.373,10.551,10.668,10.477,11.567,13.187,13.149,12.525,11.544,10.468,233.676,13.337,20:00,2024-10-19
Yacuiba,9.534,8.779,8.355,8.107,7.859,7.202,6.723,7.226,7.845,8.418,8.939,9.541,10.028,10.521,10.961,11.368,11.427,11.192,12.111,13.683,13.643,13.31,12.486,11.262,240.517,13.793,20:00,2024-10-20
Yacuiba,9.972,9.029,8.488,8.201,8.164,7.689,7.626,8.404,10.369,11.44,12.304,13.169,13.246,14.083,14.918,15.738,15.349,14.757,14.933,16.129,15.93,15.422,14.402,13.087,292.847,16.202,20:00,2024-10-21
Yacuiba,11.799,10.731,10.089,9.647,9.507,9.173,8.767,9.708,11.449,12.398,13.086,13.914,14.074,14.538,15.598,16.429,16.101,15.07,15.503,16.828,16.98,16.772,15.632,13.938,317.727,17.033,20:00,2024-10-22
