Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Yapacani,6.699,6.422,6.229,6.112,6.127,6.265,5.928,5.515,5.602,5.618,5.593,5.606,5.735,5.785,5.954,6.223,6.435,6.464,7.925,8.482,8.225,7.8,7.192,6.551,154.485,8.553,19:30,2024-09-01
Yapacani,6.089,5.885,5.764,5.721,5.843,6.122,6.228,6.471,7.66,8.523,8.731,8.686,8.222,8.793,9.872,10.195,10.099,8.842,9.616,9.821,10.099,9.623,8.583,7.381,192.87,10.297,15:45,2024-09-02
Yapacani,6.785,6.484,6.394,6.277,6.366,6.752,6.885,7.185,8.476,9.184,9.415,9.573,8.419,9.146,10.569,10.656,10.302,9.461,10.142,10.334,10.413,10.1,9.351,8.166,206.835,10.789,15:15,2024-09-03
Yapacani,7.255,6.916,6.743,6.662,6.789,7.038,6.994,7.414,8.872,9.128,9.454,9.863,9.069,9.697,10.866,11.336,11.323,10.186,10.667,10.746,10.763,10.484,9.883,8.515,216.661,11.46,16:00,2024-09-04
Yapacani,7.415,7.062,6.832,6.759,6.824,7.153,7.525,7.858,9.225,9.78,10.11,10.194,8.621,9.265,10.22,10.839,10.5,9.099,9.755,9.561,9.656,9.202,8.333,7.457,209.245,10.937,16:00,2024-09-05
Yapacani,6.726,6.44,6.401,6.298,6.386,6.674,6.93,7.26,8.42,8.968,9.495,9.719,8.088,8.614,9.804,9.943,9.775,9.004,10.011,9.75,9.935,9.551,9.027,7.917,201.135,10.202,18:45,2024-09-06
Yapacani,7.052,6.714,6.555,6.616,6.775,6.957,6.671,6.574,8.015,8.391,8.4,8.26,7.468,7.48,7.772,8.035,8.133,7.97,9.418,9.359,9.276,8.936,8.448,7.926,187.204,9.819,18:45,2024-09-07
Yapacani,7.406,7.006,6.767,6.637,6.669,6.86,6.063,4.991,5.652,6.195,6.263,6.532,6.677,6.93,7.208,7.507,7.716,7.88,9.334,9.849,9.612,9.202,8.531,7.792,175.279,9.927,19:15,2024-09-08
Yapacani,7.195,6.699,6.633,6.638,6.616,6.829,6.894,7.13,8.239,9.096,9.459,10.302,9.243,10.178,11.566,11.833,11.642,10.575,10.847,10.735,10.924,10.605,9.856,8.839,218.574,11.885,16:00,2024-09-09
Yapacani,7.672,7.289,7.188,7.18,7.286,7.752,7.87,7.942,9.856,10.425,11.155,11.439,10.037,11.118,12.565,12.893,12.728,10.969,10.897,10.962,11.234,10.814,10.129,9.093,236.492,13.005,15:45,2024-09-10
Yapacani,7.962,7.594,7.472,7.212,7.342,7.842,7.954,8.339,9.732,10.564,10.978,11.573,9.973,10.938,12.36,12.588,12.131,10.561,11.183,11.443,11.36,11.032,10.434,9.324,237.889,12.741,15:15,2024-09-11
Yapacani,8.28,7.892,7.804,7.797,7.897,8.439,8.498,8.559,10.09,10.614,10.756,10.716,8.805,9.148,10.625,11.175,11.216,9.872,10.098,9.962,10.19,9.972,9.217,8.294,225.914,11.307,16:00,2024-09-12
Yapacani,7.486,7.214,7.242,7.332,7.454,7.89,8.219,8.328,9.407,10.398,10.762,11.057,9.756,10.563,12.132,12.534,12.534,10.956,10.835,11.308,11.487,11.237,10.673,9.335,236.138,12.725,15:45,2024-09-13
Yapacani,8.371,7.961,7.797,7.776,7.53,7.694,7.931,7.859,8.629,8.617,8.215,7.973,6.633,6.506,6.653,6.741,6.849,6.586,7.853,8.292,8.229,7.995,7.349,6.836,182.877,8.981,09:00,2024-09-14
Yapacani,6.209,5.874,5.711,5.531,5.559,5.635,5.561,4.995,5.274,5.543,5.522,5.404,5.247,5.308,5.61,5.869,5.967,5.914,7.43,8.085,7.872,7.45,6.893,6.3,144.76,8.135,19:00,2024-09-15
Yapacani,5.956,5.715,5.622,5.627,5.865,6.306,6.143,6.648,7.723,7.511,8.447,9.139,8.079,8.72,9.969,10.43,10.246,9.052,9.384,9.479,9.796,9.437,8.687,7.693,191.673,10.638,16:00,2024-09-16
