Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Camiri,3.327,4.992,19:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Camiri,3.138,4.992,19:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Camiri,3.076,4.992,19:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Camiri,2.909,4.992,19:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Camiri,3.002,4.992,19:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Camiri,3.04,4.992,19:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Camiri,2.721,4.992,19:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Camiri,2.595,4.992,19:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Camiri,2.673,4.992,19:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Camiri,2.61,4.992,19:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Camiri,2.693,4.992,19:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Camiri,2.79,4.992,19:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Camiri,3.044,4.992,19:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Camiri,3.088,4.992,19:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Camiri,3.126,4.992,19:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Camiri,3.178,4.992,19:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Camiri,3.275,4.992,19:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Camiri,3.434,4.992,19:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Camiri,4.545,4.992,19:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Camiri,4.93,4.992,19:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Camiri,4.851,4.992,19:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Camiri,4.615,4.992,19:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Camiri,4.143,4.992,19:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Camiri,3.578,4.992,19:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Camiri,3.174,5.286,19:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Camiri,2.961,5.286,19:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Camiri,2.796,5.286,19:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Camiri,2.746,5.286,19:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Camiri,2.727,5.286,19:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Camiri,2.858,5.286,19:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Camiri,2.907,5.286,19:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Camiri,2.873,5.286,19:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Camiri,2.965,5.286,19:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Camiri,3.044,5.286,19:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Camiri,3.123,5.286,19:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Camiri,3.182,5.286,19:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Camiri,3.252,5.286,19:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Camiri,3.323,5.286,19:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Camiri,3.617,5.286,19:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Camiri,3.705,5.286,19:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Camiri,3.805,5.286,19:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Camiri,3.95,5.286,19:15,2024-09-02,18:00:00
2024-09-02 19:00:00,Camiri,4.956,5.286,19:15,2024-09-02,19:00:00
2024-09-02 20:00:00,Camiri,5.239,5.286,19:15,2024-09-02,20:00:00
