Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Chimore,5.741,7.792,19:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Chimore,5.391,7.792,19:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Chimore,5.145,7.792,19:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Chimore,4.856,7.792,19:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Chimore,4.812,7.792,19:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Chimore,4.931,7.792,19:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Chimore,4.904,7.792,19:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Chimore,4.842,7.792,19:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Chimore,5.05,7.792,19:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Chimore,5.159,7.792,19:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Chimore,5.253,7.792,19:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Chimore,5.475,7.792,19:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Chimore,5.607,7.792,19:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Chimore,5.688,7.792,19:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Chimore,5.817,7.792,19:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Chimore,5.815,7.792,19:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Chimore,5.849,7.792,19:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Chimore,5.954,7.792,19:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Chimore,7.198,7.792,19:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Chimore,7.751,7.792,19:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Chimore,7.63,7.792,19:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Chimore,7.122,7.792,19:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Chimore,6.363,7.792,19:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Chimore,5.624,7.792,19:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Chimore,5.149,8.887,19:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Chimore,4.835,8.887,19:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Chimore,4.677,8.887,19:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Chimore,4.572,8.887,19:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Chimore,4.526,8.887,19:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Chimore,4.761,8.887,19:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Chimore,5.214,8.887,19:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Chimore,5.015,8.887,19:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Chimore,5.033,8.887,19:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Chimore,5.374,8.887,19:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Chimore,5.695,8.887,19:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Chimore,5.954,8.887,19:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Chimore,5.934,8.887,19:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Chimore,6.295,8.887,19:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Chimore,6.65,8.887,19:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Chimore,6.97,8.887,19:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Chimore,7.21,8.887,19:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Chimore,7.112,8.887,19:15,2024-09-02,18:00:00
