Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Ecebol - Potosí,0.325,0.437,19:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Ecebol - Potosí,0.334,0.437,19:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Ecebol - Potosí,0.325,0.437,19:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Ecebol - Potosí,0.332,0.437,19:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Ecebol - Potosí,0.336,0.437,19:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Ecebol - Potosí,0.343,0.437,19:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Ecebol - Potosí,0.289,0.437,19:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Ecebol - Potosí,0.268,0.437,19:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Ecebol - Potosí,0.248,0.437,19:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Ecebol - Potosí,0.265,0.437,19:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Ecebol - Potosí,0.261,0.437,19:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Ecebol - Potosí,0.252,0.437,19:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Ecebol - Potosí,0.251,0.437,19:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Ecebol - Potosí,0.247,0.437,19:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Ecebol - Potosí,0.245,0.437,19:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Ecebol - Potosí,0.248,0.437,19:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Ecebol - Potosí,0.252,0.437,19:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Ecebol - Potosí,0.264,0.437,19:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Ecebol - Potosí,0.336,0.437,19:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Ecebol - Potosí,0.349,0.437,19:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Ecebol - Potosí,0.337,0.437,19:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Ecebol - Potosí,0.339,0.437,19:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Ecebol - Potosí,0.355,0.437,19:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Ecebol - Potosí,0.344,0.437,19:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Ecebol - Potosí,0.329,0.904,16:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Ecebol - Potosí,0.338,0.904,16:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Ecebol - Potosí,0.332,0.904,16:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Ecebol - Potosí,0.337,0.904,16:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Ecebol - Potosí,0.348,0.904,16:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Ecebol - Potosí,0.352,0.904,16:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Ecebol - Potosí,0.293,0.904,16:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Ecebol - Potosí,0.284,0.904,16:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Ecebol - Potosí,0.3,0.904,16:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Ecebol - Potosí,0.277,0.904,16:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Ecebol - Potosí,0.293,0.904,16:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Ecebol - Potosí,0.297,0.904,16:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Ecebol - Potosí,0.298,0.904,16:30,2024-09-02,13:00:00
2024-09-02 14:00:00,Ecebol - Potosí,0.293,0.904,16:30,2024-09-02,14:00:00
2024-09-02 15:00:00,Ecebol - Potosí,0.395,0.904,16:30,2024-09-02,15:00:00
2024-09-02 16:00:00,Ecebol - Potosí,0.787,0.904,16:30,2024-09-02,16:00:00
2024-09-02 17:00:00,Ecebol - Potosí,0.678,0.904,16:30,2024-09-02,17:00:00
2024-09-02 18:00:00,Ecebol - Potosí,0.296,0.904,16:30,2024-09-02,18:00:00
2024-09-02 19:00:00,Ecebol - Potosí,0.334,0.904,16:30,2024-09-02,19:00:00
2024-09-02 20:00:00,Ecebol - Potosí,0.349,0.904,16:30,2024-09-02,20:00:00
2024-09-02 21:00:00,Ecebol - Potosí,0.349,0.904,16:30,2024-09-02,21:00:00
2024-09-02 22:00:00,Ecebol - Potosí,0.351,0.904,16:30,2024-09-02,22:00:00
2024-09-02 23:00:00,Ecebol - Potosí,0.34,0.904,16:30,2024-09-02,23:00:00
2024-09-03 00:00:00,Ecebol - Potosí,0.362,0.904,16:30,2024-09-03,00:00:00
2024-09-03 01:00:00,Ecebol - Potosí,0.349,1.095,12:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Ecebol - Potosí,0.361,1.095,12:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Ecebol - Potosí,0.366,1.095,12:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Ecebol - Potosí,0.36,1.095,12:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Ecebol - Potosí,0.378,1.095,12:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Ecebol - Potosí,0.382,1.095,12:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Ecebol - Potosí,0.321,1.095,12:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Ecebol - Potosí,0.303,1.095,12:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Ecebol - Potosí,0.312,1.095,12:15,2024-09-03,09:00:00
2024-09-03 10:00:00,Ecebol - Potosí,0.476,1.095,12:15,2024-09-03,10:00:00
2024-09-03 11:00:00,Ecebol - Potosí,0.956,1.095,12:15,2024-09-03,11:00:00
2024-09-03 12:00:00,Ecebol - Potosí,0.971,1.095,12:15,2024-09-03,12:00:00
2024-09-03 13:00:00,Ecebol - Potosí,0.719,1.095,12:15,2024-09-03,13:00:00
2024-09-03 14:00:00,Ecebol - Potosí,0.306,1.095,12:15,2024-09-03,14:00:00
2024-09-03 15:00:00,Ecebol - Potosí,0.307,1.095,12:15,2024-09-03,15:00:00
2024-09-03 16:00:00,Ecebol - Potosí,0.288,1.095,12:15,2024-09-03,16:00:00
2024-09-03 17:00:00,Ecebol - Potosí,0.267,1.095,12:15,2024-09-03,17:00:00
2024-09-03 18:00:00,Ecebol - Potosí,0.247,1.095,12:15,2024-09-03,18:00:00
2024-09-03 19:00:00,Ecebol - Potosí,0.307,1.095,12:15,2024-09-03,19:00:00
2024-09-03 20:00:00,Ecebol - Potosí,0.313,1.095,12:15,2024-09-03,20:00:00
2024-09-03 21:00:00,Ecebol - Potosí,0.318,1.095,12:15,2024-09-03,21:00:00
2024-09-03 22:00:00,Ecebol - Potosí,0.326,1.095,12:15,2024-09-03,22:00:00
2024-09-03 23:00:00,Ecebol - Potosí,0.316,1.095,12:15,2024-09-03,23:00:00
2024-09-04 00:00:00,Ecebol - Potosí,0.317,1.095,12:15,2024-09-04,00:00:00
2024-09-04 01:00:00,Ecebol - Potosí,0.333,0.431,04:30,2024-09-04,01:00:00
2024-09-04 02:00:00,Ecebol - Potosí,0.338,0.431,04:30,2024-09-04,02:00:00
2024-09-04 03:00:00,Ecebol - Potosí,0.342,0.431,04:30,2024-09-04,03:00:00
2024-09-04 04:00:00,Ecebol - Potosí,0.342,0.431,04:30,2024-09-04,04:00:00
2024-09-04 05:00:00,Ecebol - Potosí,0.348,0.431,04:30,2024-09-04,05:00:00
2024-09-04 06:00:00,Ecebol - Potosí,0.344,0.431,04:30,2024-09-04,06:00:00
2024-09-04 07:00:00,Ecebol - Potosí,0.277,0.431,04:30,2024-09-04,07:00:00
2024-09-04 08:00:00,Ecebol - Potosí,0.261,0.431,04:30,2024-09-04,08:00:00
2024-09-04 09:00:00,Ecebol - Potosí,0.275,0.431,04:30,2024-09-04,09:00:00
2024-09-04 10:00:00,Ecebol - Potosí,0.28,0.431,04:30,2024-09-04,10:00:00
2024-09-04 11:00:00,Ecebol - Potosí,0.264,0.431,04:30,2024-09-04,11:00:00
2024-09-04 12:00:00,Ecebol - Potosí,0.258,0.431,04:30,2024-09-04,12:00:00
2024-09-04 13:00:00,Ecebol - Potosí,0.234,0.431,04:30,2024-09-04,13:00:00
