Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Guarayos,2.944,3.493,19:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Guarayos,2.772,3.493,19:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Guarayos,2.634,3.493,19:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Guarayos,2.418,3.493,19:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Guarayos,2.331,3.493,19:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Guarayos,2.274,3.493,19:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Guarayos,2.05,3.493,19:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Guarayos,2.083,3.493,19:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Guarayos,2.174,3.493,19:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Guarayos,2.188,3.493,19:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Guarayos,2.23,3.493,19:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Guarayos,2.249,3.493,19:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Guarayos,2.383,3.493,19:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Guarayos,2.491,3.493,19:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Guarayos,2.539,3.493,19:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Guarayos,2.484,3.493,19:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Guarayos,2.478,3.493,19:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Guarayos,2.505,3.493,19:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Guarayos,3.23,3.493,19:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Guarayos,3.477,3.493,19:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Guarayos,3.416,3.493,19:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Guarayos,3.316,3.493,19:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Guarayos,3.186,3.493,19:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Guarayos,3.164,3.493,19:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Guarayos,2.938,4.289,20:30,2024-09-02,01:00:00
2024-09-02 02:00:00,Guarayos,2.742,4.289,20:30,2024-09-02,02:00:00
2024-09-02 03:00:00,Guarayos,2.597,4.289,20:30,2024-09-02,03:00:00
2024-09-02 04:00:00,Guarayos,2.627,4.289,20:30,2024-09-02,04:00:00
2024-09-02 05:00:00,Guarayos,2.633,4.289,20:30,2024-09-02,05:00:00
2024-09-02 06:00:00,Guarayos,2.443,4.289,20:30,2024-09-02,06:00:00
2024-09-02 07:00:00,Guarayos,2.352,4.289,20:30,2024-09-02,07:00:00
2024-09-02 08:00:00,Guarayos,2.581,4.289,20:30,2024-09-02,08:00:00
2024-09-02 09:00:00,Guarayos,2.586,4.289,20:30,2024-09-02,09:00:00
2024-09-02 10:00:00,Guarayos,3.473,4.289,20:30,2024-09-02,10:00:00
2024-09-02 11:00:00,Guarayos,3.666,4.289,20:30,2024-09-02,11:00:00
2024-09-02 12:00:00,Guarayos,3.759,4.289,20:30,2024-09-02,12:00:00
2024-09-02 13:00:00,Guarayos,2.968,4.289,20:30,2024-09-02,13:00:00
