Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Jeruyo,7.279,7.699,22:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Jeruyo,7.278,7.699,22:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Jeruyo,7.27,7.699,22:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Jeruyo,7.292,7.699,22:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Jeruyo,7.185,7.699,22:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Jeruyo,7.148,7.699,22:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Jeruyo,7.094,7.699,22:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Jeruyo,7.223,7.699,22:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Jeruyo,7.267,7.699,22:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Jeruyo,7.304,7.699,22:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Jeruyo,7.29,7.699,22:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Jeruyo,7.382,7.699,22:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Jeruyo,6.687,7.699,22:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Jeruyo,4.696,7.699,22:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Jeruyo,6.738,7.699,22:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Jeruyo,7.557,7.699,22:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Jeruyo,7.56,7.699,22:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Jeruyo,7.589,7.699,22:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Jeruyo,7.584,7.699,22:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Jeruyo,7.505,7.699,22:45,2024-09-01,20:00:00
2024-09-01 21:00:00,Jeruyo,7.409,7.699,22:45,2024-09-01,21:00:00
2024-09-01 22:00:00,Jeruyo,7.528,7.699,22:45,2024-09-01,22:00:00
2024-09-01 23:00:00,Jeruyo,7.63,7.699,22:45,2024-09-01,23:00:00
2024-09-02 00:00:00,Jeruyo,7.585,7.699,22:45,2024-09-02,00:00:00
2024-09-02 01:00:00,Jeruyo,7.494,8.295,10:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Jeruyo,7.531,8.295,10:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Jeruyo,7.61,8.295,10:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Jeruyo,7.485,8.295,10:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Jeruyo,7.452,8.295,10:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Jeruyo,7.528,8.295,10:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Jeruyo,7.429,8.295,10:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Jeruyo,7.674,8.295,10:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Jeruyo,7.888,8.295,10:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Jeruyo,8.116,8.295,10:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Jeruyo,8.104,8.295,10:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Jeruyo,7.966,8.295,10:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Jeruyo,7.611,8.295,10:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Jeruyo,7.561,8.295,10:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Jeruyo,7.958,8.295,10:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Jeruyo,8.007,8.295,10:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Jeruyo,8.02,8.295,10:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Jeruyo,7.997,8.295,10:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Jeruyo,7.438,8.295,10:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Jeruyo,7.346,8.295,10:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Jeruyo,7.299,8.295,10:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Jeruyo,7.436,8.295,10:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Jeruyo,7.475,8.295,10:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Jeruyo,7.479,8.295,10:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Jeruyo,7.376,8.179,08:15,2024-09-03,01:00:00
2024-09-03 02:00:00,Jeruyo,7.42,8.179,08:15,2024-09-03,02:00:00
2024-09-03 03:00:00,Jeruyo,7.533,8.179,08:15,2024-09-03,03:00:00
2024-09-03 04:00:00,Jeruyo,7.485,8.179,08:15,2024-09-03,04:00:00
2024-09-03 05:00:00,Jeruyo,7.62,8.179,08:15,2024-09-03,05:00:00
2024-09-03 06:00:00,Jeruyo,7.696,8.179,08:15,2024-09-03,06:00:00
2024-09-03 07:00:00,Jeruyo,7.664,8.179,08:15,2024-09-03,07:00:00
2024-09-03 08:00:00,Jeruyo,7.753,8.179,08:15,2024-09-03,08:00:00
2024-09-03 09:00:00,Jeruyo,8.031,8.179,08:15,2024-09-03,09:00:00
2024-09-03 10:00:00,Jeruyo,7.936,8.179,08:15,2024-09-03,10:00:00
2024-09-03 11:00:00,Jeruyo,7.932,8.179,08:15,2024-09-03,11:00:00
2024-09-03 12:00:00,Jeruyo,7.944,8.179,08:15,2024-09-03,12:00:00
2024-09-03 13:00:00,Jeruyo,7.568,8.179,08:15,2024-09-03,13:00:00
2024-09-03 14:00:00,Jeruyo,7.634,8.179,08:15,2024-09-03,14:00:00
2024-09-03 15:00:00,Jeruyo,7.956,8.179,08:15,2024-09-03,15:00:00
2024-09-03 16:00:00,Jeruyo,7.899,8.179,08:15,2024-09-03,16:00:00
2024-09-03 17:00:00,Jeruyo,7.703,8.179,08:15,2024-09-03,17:00:00
2024-09-03 18:00:00,Jeruyo,7.475,8.179,08:15,2024-09-03,18:00:00
2024-09-03 19:00:00,Jeruyo,5.651,8.179,08:15,2024-09-03,19:00:00
2024-09-03 20:00:00,Jeruyo,4.271,8.179,08:15,2024-09-03,20:00:00
2024-09-03 21:00:00,Jeruyo,4.268,8.179,08:15,2024-09-03,21:00:00
2024-09-03 22:00:00,Jeruyo,4.289,8.179,08:15,2024-09-03,22:00:00
2024-09-03 23:00:00,Jeruyo,4.276,8.179,08:15,2024-09-03,23:00:00
2024-09-04 00:00:00,Jeruyo,4.22,8.179,08:15,2024-09-04,00:00:00
2024-09-04 01:00:00,Jeruyo,4.144,10.581,18:45,2024-09-04,01:00:00
2024-09-04 02:00:00,Jeruyo,4.274,10.581,18:45,2024-09-04,02:00:00
2024-09-04 03:00:00,Jeruyo,4.367,10.581,18:45,2024-09-04,03:00:00
2024-09-04 04:00:00,Jeruyo,4.405,10.581,18:45,2024-09-04,04:00:00
2024-09-04 05:00:00,Jeruyo,4.437,10.581,18:45,2024-09-04,05:00:00
2024-09-04 06:00:00,Jeruyo,4.412,10.581,18:45,2024-09-04,06:00:00
2024-09-04 07:00:00,Jeruyo,4.312,10.581,18:45,2024-09-04,07:00:00
2024-09-04 08:00:00,Jeruyo,4.604,10.581,18:45,2024-09-04,08:00:00
2024-09-04 09:00:00,Jeruyo,4.732,10.581,18:45,2024-09-04,09:00:00
2024-09-04 10:00:00,Jeruyo,4.814,10.581,18:45,2024-09-04,10:00:00
2024-09-04 11:00:00,Jeruyo,4.814,10.581,18:45,2024-09-04,11:00:00
2024-09-04 12:00:00,Jeruyo,4.851,10.581,18:45,2024-09-04,12:00:00
2024-09-04 13:00:00,Jeruyo,4.381,10.581,18:45,2024-09-04,13:00:00
2024-09-04 14:00:00,Jeruyo,4.603,10.581,18:45,2024-09-04,14:00:00
2024-09-04 15:00:00,Jeruyo,4.975,10.581,18:45,2024-09-04,15:00:00
2024-09-04 16:00:00,Jeruyo,6.567,10.581,18:45,2024-09-04,16:00:00
2024-09-04 17:00:00,Jeruyo,8.125,10.581,18:45,2024-09-04,17:00:00
2024-09-04 18:00:00,Jeruyo,8.58,10.581,18:45,2024-09-04,18:00:00
2024-09-04 19:00:00,Jeruyo,10.061,10.581,18:45,2024-09-04,19:00:00
2024-09-04 20:00:00,Jeruyo,10.324,10.581,18:45,2024-09-04,20:00:00
2024-09-04 21:00:00,Jeruyo,10.248,10.581,18:45,2024-09-04,21:00:00
2024-09-04 22:00:00,Jeruyo,10.426,10.581,18:45,2024-09-04,22:00:00
2024-09-04 23:00:00,Jeruyo,10.36,10.581,18:45,2024-09-04,23:00:00
2024-09-05 00:00:00,Jeruyo,10.336,10.581,18:45,2024-09-05,00:00:00
2024-09-05 01:00:00,Jeruyo,10.346,11.597,12:00,2024-09-05,01:00:00
2024-09-05 02:00:00,Jeruyo,10.416,11.597,12:00,2024-09-05,02:00:00
2024-09-05 03:00:00,Jeruyo,10.343,11.597,12:00,2024-09-05,03:00:00
2024-09-05 04:00:00,Jeruyo,10.459,11.597,12:00,2024-09-05,04:00:00
2024-09-05 05:00:00,Jeruyo,10.407,11.597,12:00,2024-09-05,05:00:00
2024-09-05 06:00:00,Jeruyo,10.404,11.597,12:00,2024-09-05,06:00:00
2024-09-05 07:00:00,Jeruyo,10.368,11.597,12:00,2024-09-05,07:00:00
2024-09-05 08:00:00,Jeruyo,10.477,11.597,12:00,2024-09-05,08:00:00
2024-09-05 09:00:00,Jeruyo,11.035,11.597,12:00,2024-09-05,09:00:00
2024-09-05 10:00:00,Jeruyo,11.137,11.597,12:00,2024-09-05,10:00:00
2024-09-05 11:00:00,Jeruyo,11.016,11.597,12:00,2024-09-05,11:00:00
2024-09-05 12:00:00,Jeruyo,11.153,11.597,12:00,2024-09-05,12:00:00
2024-09-05 13:00:00,Jeruyo,10.588,11.597,12:00,2024-09-05,13:00:00
2024-09-05 14:00:00,Jeruyo,8.806,11.597,12:00,2024-09-05,14:00:00
2024-09-05 15:00:00,Jeruyo,8.691,11.597,12:00,2024-09-05,15:00:00
2024-09-05 16:00:00,Jeruyo,10.952,11.597,12:00,2024-09-05,16:00:00
2024-09-05 17:00:00,Jeruyo,11.061,11.597,12:00,2024-09-05,17:00:00
2024-09-05 18:00:00,Jeruyo,10.999,11.597,12:00,2024-09-05,18:00:00
2024-09-05 19:00:00,Jeruyo,10.388,11.597,12:00,2024-09-05,19:00:00
2024-09-05 20:00:00,Jeruyo,10.386,11.597,12:00,2024-09-05,20:00:00
2024-09-05 21:00:00,Jeruyo,10.39,11.597,12:00,2024-09-05,21:00:00
2024-09-05 22:00:00,Jeruyo,10.515,11.597,12:00,2024-09-05,22:00:00
2024-09-05 23:00:00,Jeruyo,10.467,11.597,12:00,2024-09-05,23:00:00
2024-09-06 00:00:00,Jeruyo,10.366,11.597,12:00,2024-09-06,00:00:00
2024-09-06 01:00:00,Jeruyo,10.412,11.188,09:45,2024-09-06,01:00:00
2024-09-06 02:00:00,Jeruyo,10.411,11.188,09:45,2024-09-06,02:00:00
2024-09-06 03:00:00,Jeruyo,10.431,11.188,09:45,2024-09-06,03:00:00
2024-09-06 04:00:00,Jeruyo,10.366,11.188,09:45,2024-09-06,04:00:00
2024-09-06 05:00:00,Jeruyo,10.427,11.188,09:45,2024-09-06,05:00:00
2024-09-06 06:00:00,Jeruyo,10.562,11.188,09:45,2024-09-06,06:00:00
2024-09-06 07:00:00,Jeruyo,10.375,11.188,09:45,2024-09-06,07:00:00
2024-09-06 08:00:00,Jeruyo,10.596,11.188,09:45,2024-09-06,08:00:00
2024-09-06 09:00:00,Jeruyo,10.94,11.188,09:45,2024-09-06,09:00:00
2024-09-06 10:00:00,Jeruyo,11.103,11.188,09:45,2024-09-06,10:00:00
2024-09-06 11:00:00,Jeruyo,10.947,11.188,09:45,2024-09-06,11:00:00
2024-09-06 12:00:00,Jeruyo,10.951,11.188,09:45,2024-09-06,12:00:00
2024-09-06 13:00:00,Jeruyo,10.596,11.188,09:45,2024-09-06,13:00:00
2024-09-06 14:00:00,Jeruyo,10.634,11.188,09:45,2024-09-06,14:00:00
2024-09-06 15:00:00,Jeruyo,10.938,11.188,09:45,2024-09-06,15:00:00
2024-09-06 16:00:00,Jeruyo,10.887,11.188,09:45,2024-09-06,16:00:00
2024-09-06 17:00:00,Jeruyo,11.015,11.188,09:45,2024-09-06,17:00:00
2024-09-06 18:00:00,Jeruyo,10.976,11.188,09:45,2024-09-06,18:00:00
2024-09-06 19:00:00,Jeruyo,10.56,11.188,09:45,2024-09-06,19:00:00
2024-09-06 20:00:00,Jeruyo,10.475,11.188,09:45,2024-09-06,20:00:00
2024-09-06 21:00:00,Jeruyo,10.555,11.188,09:45,2024-09-06,21:00:00
2024-09-06 22:00:00,Jeruyo,10.569,11.188,09:45,2024-09-06,22:00:00
2024-09-06 23:00:00,Jeruyo,10.515,11.188,09:45,2024-09-06,23:00:00
2024-09-07 00:00:00,Jeruyo,10.468,11.188,09:45,2024-09-07,00:00:00
2024-09-07 01:00:00,Jeruyo,10.514,11.193,09:15,2024-09-07,01:00:00
2024-09-07 02:00:00,Jeruyo,10.469,11.193,09:15,2024-09-07,02:00:00
2024-09-07 03:00:00,Jeruyo,10.544,11.193,09:15,2024-09-07,03:00:00
2024-09-07 04:00:00,Jeruyo,10.559,11.193,09:15,2024-09-07,04:00:00
2024-09-07 05:00:00,Jeruyo,10.667,11.193,09:15,2024-09-07,05:00:00
2024-09-07 06:00:00,Jeruyo,10.679,11.193,09:15,2024-09-07,06:00:00
2024-09-07 07:00:00,Jeruyo,10.57,11.193,09:15,2024-09-07,07:00:00
2024-09-07 08:00:00,Jeruyo,10.701,11.193,09:15,2024-09-07,08:00:00
2024-09-07 09:00:00,Jeruyo,10.957,11.193,09:15,2024-09-07,09:00:00
2024-09-07 10:00:00,Jeruyo,10.084,11.193,09:15,2024-09-07,10:00:00
2024-09-07 11:00:00,Jeruyo,7.569,11.193,09:15,2024-09-07,11:00:00
2024-09-07 12:00:00,Jeruyo,7.271,11.193,09:15,2024-09-07,12:00:00
2024-09-07 13:00:00,Jeruyo,7.218,11.193,09:15,2024-09-07,13:00:00
2024-09-07 14:00:00,Jeruyo,7.253,11.193,09:15,2024-09-07,14:00:00
2024-09-07 15:00:00,Jeruyo,7.208,11.193,09:15,2024-09-07,15:00:00
2024-09-07 16:00:00,Jeruyo,7.255,11.193,09:15,2024-09-07,16:00:00
2024-09-07 17:00:00,Jeruyo,7.257,11.193,09:15,2024-09-07,17:00:00
2024-09-07 18:00:00,Jeruyo,7.212,11.193,09:15,2024-09-07,18:00:00
2024-09-07 19:00:00,Jeruyo,7.223,11.193,09:15,2024-09-07,19:00:00
2024-09-07 20:00:00,Jeruyo,7.215,11.193,09:15,2024-09-07,20:00:00
2024-09-07 21:00:00,Jeruyo,7.349,11.193,09:15,2024-09-07,21:00:00
2024-09-07 22:00:00,Jeruyo,7.337,11.193,09:15,2024-09-07,22:00:00
2024-09-07 23:00:00,Jeruyo,7.281,11.193,09:15,2024-09-07,23:00:00
2024-09-08 00:00:00,Jeruyo,7.283,11.193,09:15,2024-09-08,00:00:00
2024-09-08 01:00:00,Jeruyo,7.255,10.747,08:30,2024-09-08,01:00:00
2024-09-08 02:00:00,Jeruyo,9.289,10.747,08:30,2024-09-08,02:00:00
2024-09-08 03:00:00,Jeruyo,10.498,10.747,08:30,2024-09-08,03:00:00
2024-09-08 04:00:00,Jeruyo,10.466,10.747,08:30,2024-09-08,04:00:00
2024-09-08 05:00:00,Jeruyo,10.303,10.747,08:30,2024-09-08,05:00:00
2024-09-08 06:00:00,Jeruyo,10.372,10.747,08:30,2024-09-08,06:00:00
2024-09-08 07:00:00,Jeruyo,10.398,10.747,08:30,2024-09-08,07:00:00
2024-09-08 08:00:00,Jeruyo,10.536,10.747,08:30,2024-09-08,08:00:00
2024-09-08 09:00:00,Jeruyo,10.648,10.747,08:30,2024-09-08,09:00:00
2024-09-08 10:00:00,Jeruyo,10.461,10.747,08:30,2024-09-08,10:00:00
2024-09-08 11:00:00,Jeruyo,10.543,10.747,08:30,2024-09-08,11:00:00
2024-09-08 12:00:00,Jeruyo,10.462,10.747,08:30,2024-09-08,12:00:00
2024-09-08 13:00:00,Jeruyo,10.466,10.747,08:30,2024-09-08,13:00:00
2024-09-08 14:00:00,Jeruyo,10.439,10.747,08:30,2024-09-08,14:00:00
2024-09-08 15:00:00,Jeruyo,10.42,10.747,08:30,2024-09-08,15:00:00
2024-09-08 16:00:00,Jeruyo,10.504,10.747,08:30,2024-09-08,16:00:00
2024-09-08 17:00:00,Jeruyo,10.425,10.747,08:30,2024-09-08,17:00:00
2024-09-08 18:00:00,Jeruyo,10.393,10.747,08:30,2024-09-08,18:00:00
2024-09-08 19:00:00,Jeruyo,10.343,10.747,08:30,2024-09-08,19:00:00
2024-09-08 20:00:00,Jeruyo,10.321,10.747,08:30,2024-09-08,20:00:00
2024-09-08 21:00:00,Jeruyo,10.466,10.747,08:30,2024-09-08,21:00:00
2024-09-08 22:00:00,Jeruyo,10.59,10.747,08:30,2024-09-08,22:00:00
2024-09-08 23:00:00,Jeruyo,10.553,10.747,08:30,2024-09-08,23:00:00
2024-09-09 00:00:00,Jeruyo,10.502,10.747,08:30,2024-09-09,00:00:00
2024-09-09 01:00:00,Jeruyo,10.511,11.208,17:45,2024-09-09,01:00:00
2024-09-09 02:00:00,Jeruyo,10.385,11.208,17:45,2024-09-09,02:00:00
2024-09-09 03:00:00,Jeruyo,10.436,11.208,17:45,2024-09-09,03:00:00
2024-09-09 04:00:00,Jeruyo,10.377,11.208,17:45,2024-09-09,04:00:00
2024-09-09 05:00:00,Jeruyo,10.38,11.208,17:45,2024-09-09,05:00:00
2024-09-09 06:00:00,Jeruyo,10.487,11.208,17:45,2024-09-09,06:00:00
2024-09-09 07:00:00,Jeruyo,8.498,11.208,17:45,2024-09-09,07:00:00
2024-09-09 08:00:00,Jeruyo,7.512,11.208,17:45,2024-09-09,08:00:00
2024-09-09 09:00:00,Jeruyo,7.434,11.208,17:45,2024-09-09,09:00:00
2024-09-09 10:00:00,Jeruyo,8.018,11.208,17:45,2024-09-09,10:00:00
2024-09-09 11:00:00,Jeruyo,8.008,11.208,17:45,2024-09-09,11:00:00
2024-09-09 12:00:00,Jeruyo,7.976,11.208,17:45,2024-09-09,12:00:00
2024-09-09 13:00:00,Jeruyo,7.868,11.208,17:45,2024-09-09,13:00:00
2024-09-09 14:00:00,Jeruyo,8.184,11.208,17:45,2024-09-09,14:00:00
2024-09-09 15:00:00,Jeruyo,8.814,11.208,17:45,2024-09-09,15:00:00
2024-09-09 16:00:00,Jeruyo,10.999,11.208,17:45,2024-09-09,16:00:00
2024-09-09 17:00:00,Jeruyo,10.779,11.208,17:45,2024-09-09,17:00:00
2024-09-09 18:00:00,Jeruyo,11.133,11.208,17:45,2024-09-09,18:00:00
2024-09-09 19:00:00,Jeruyo,10.718,11.208,17:45,2024-09-09,19:00:00
2024-09-09 20:00:00,Jeruyo,10.592,11.208,17:45,2024-09-09,20:00:00
