Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,La Plata,5.893,8.93,19:45,2024-09-01,01:00:00
2024-09-01 02:00:00,La Plata,5.483,8.93,19:45,2024-09-01,02:00:00
2024-09-01 03:00:00,La Plata,5.233,8.93,19:45,2024-09-01,03:00:00
2024-09-01 04:00:00,La Plata,5.1,8.93,19:45,2024-09-01,04:00:00
2024-09-01 05:00:00,La Plata,5.028,8.93,19:45,2024-09-01,05:00:00
2024-09-01 06:00:00,La Plata,5.075,8.93,19:45,2024-09-01,06:00:00
2024-09-01 07:00:00,La Plata,4.553,8.93,19:45,2024-09-01,07:00:00
2024-09-01 08:00:00,La Plata,4.338,8.93,19:45,2024-09-01,08:00:00
2024-09-01 09:00:00,La Plata,4.783,8.93,19:45,2024-09-01,09:00:00
2024-09-01 10:00:00,La Plata,5.215,8.93,19:45,2024-09-01,10:00:00
2024-09-01 11:00:00,La Plata,5.538,8.93,19:45,2024-09-01,11:00:00
2024-09-01 12:00:00,La Plata,5.675,8.93,19:45,2024-09-01,12:00:00
2024-09-01 13:00:00,La Plata,5.78,8.93,19:45,2024-09-01,13:00:00
2024-09-01 14:00:00,La Plata,5.815,8.93,19:45,2024-09-01,14:00:00
2024-09-01 15:00:00,La Plata,6.08,8.93,19:45,2024-09-01,15:00:00
2024-09-01 16:00:00,La Plata,6.21,8.93,19:45,2024-09-01,16:00:00
2024-09-01 17:00:00,La Plata,6.303,8.93,19:45,2024-09-01,17:00:00
2024-09-01 18:00:00,La Plata,6.545,8.93,19:45,2024-09-01,18:00:00
2024-09-01 19:00:00,La Plata,7.803,8.93,19:45,2024-09-01,19:00:00
2024-09-01 20:00:00,La Plata,8.86,8.93,19:45,2024-09-01,20:00:00
2024-09-01 21:00:00,La Plata,8.823,8.93,19:45,2024-09-01,21:00:00
2024-09-01 22:00:00,La Plata,8.598,8.93,19:45,2024-09-01,22:00:00
