Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Los Troncos Las Misiones - 115,6.796,8.46,19:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Los Troncos Las Misiones - 115,6.441,8.46,19:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Los Troncos Las Misiones - 115,6.227,8.46,19:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Los Troncos Las Misiones - 115,5.986,8.46,19:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Los Troncos Las Misiones - 115,5.885,8.46,19:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Los Troncos Las Misiones - 115,5.795,8.46,19:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Los Troncos Las Misiones - 115,5.131,8.46,19:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Los Troncos Las Misiones - 115,5.029,8.46,19:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Los Troncos Las Misiones - 115,5.243,8.46,19:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Los Troncos Las Misiones - 115,5.441,8.46,19:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Los Troncos Las Misiones - 115,5.567,8.46,19:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Los Troncos Las Misiones - 115,5.788,8.46,19:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Los Troncos Las Misiones - 115,5.76,8.46,19:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Los Troncos Las Misiones - 115,5.87,8.46,19:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Los Troncos Las Misiones - 115,6.089,8.46,19:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Los Troncos Las Misiones - 115,6.216,8.46,19:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Los Troncos Las Misiones - 115,6.305,8.46,19:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Los Troncos Las Misiones - 115,6.343,8.46,19:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Los Troncos Las Misiones - 115,7.99,8.46,19:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Los Troncos Las Misiones - 115,8.341,8.46,19:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Los Troncos Las Misiones - 115,8.081,8.46,19:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Los Troncos Las Misiones - 115,7.672,8.46,19:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Los Troncos Las Misiones - 115,7.131,8.46,19:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Los Troncos Las Misiones - 115,6.628,8.46,19:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Los Troncos Las Misiones - 115,6.175,9.488,19:15,2024-09-02,01:00:00
2024-09-02 02:00:00,Los Troncos Las Misiones - 115,5.894,9.488,19:15,2024-09-02,02:00:00
2024-09-02 03:00:00,Los Troncos Las Misiones - 115,5.75,9.488,19:15,2024-09-02,03:00:00
2024-09-02 04:00:00,Los Troncos Las Misiones - 115,5.63,9.488,19:15,2024-09-02,04:00:00
2024-09-02 05:00:00,Los Troncos Las Misiones - 115,5.618,9.488,19:15,2024-09-02,05:00:00
2024-09-02 06:00:00,Los Troncos Las Misiones - 115,5.852,9.488,19:15,2024-09-02,06:00:00
2024-09-02 07:00:00,Los Troncos Las Misiones - 115,5.63,9.488,19:15,2024-09-02,07:00:00
2024-09-02 08:00:00,Los Troncos Las Misiones - 115,5.991,9.488,19:15,2024-09-02,08:00:00
2024-09-02 09:00:00,Los Troncos Las Misiones - 115,6.214,9.488,19:15,2024-09-02,09:00:00
2024-09-02 10:00:00,Los Troncos Las Misiones - 115,6.724,9.488,19:15,2024-09-02,10:00:00
2024-09-02 11:00:00,Los Troncos Las Misiones - 115,7.028,9.488,19:15,2024-09-02,11:00:00
2024-09-02 12:00:00,Los Troncos Las Misiones - 115,7.417,9.488,19:15,2024-09-02,12:00:00
2024-09-02 13:00:00,Los Troncos Las Misiones - 115,6.92,9.488,19:15,2024-09-02,13:00:00
2024-09-02 14:00:00,Los Troncos Las Misiones - 115,7.573,9.488,19:15,2024-09-02,14:00:00
2024-09-02 15:00:00,Los Troncos Las Misiones - 115,8.264,9.488,19:15,2024-09-02,15:00:00
2024-09-02 16:00:00,Los Troncos Las Misiones - 115,8.384,9.488,19:15,2024-09-02,16:00:00
2024-09-02 17:00:00,Los Troncos Las Misiones - 115,8.473,9.488,19:15,2024-09-02,17:00:00
2024-09-02 18:00:00,Los Troncos Las Misiones - 115,8.641,9.488,19:15,2024-09-02,18:00:00
2024-09-02 19:00:00,Los Troncos Las Misiones - 115,9.198,9.488,19:15,2024-09-02,19:00:00
2024-09-02 20:00:00,Los Troncos Las Misiones - 115,9.411,9.488,19:15,2024-09-02,20:00:00
2024-09-02 21:00:00,Los Troncos Las Misiones - 115,9.158,9.488,19:15,2024-09-02,21:00:00
2024-09-02 22:00:00,Los Troncos Las Misiones - 115,8.736,9.488,19:15,2024-09-02,22:00:00
2024-09-02 23:00:00,Los Troncos Las Misiones - 115,8.098,9.488,19:15,2024-09-02,23:00:00
2024-09-03 00:00:00,Los Troncos Las Misiones - 115,7.414,9.488,19:15,2024-09-03,00:00:00
2024-09-03 01:00:00,Los Troncos Las Misiones - 115,6.888,10.223,18:45,2024-09-03,01:00:00
2024-09-03 02:00:00,Los Troncos Las Misiones - 115,6.459,10.223,18:45,2024-09-03,02:00:00
2024-09-03 03:00:00,Los Troncos Las Misiones - 115,6.197,10.223,18:45,2024-09-03,03:00:00
2024-09-03 04:00:00,Los Troncos Las Misiones - 115,6.038,10.223,18:45,2024-09-03,04:00:00
2024-09-03 05:00:00,Los Troncos Las Misiones - 115,5.981,10.223,18:45,2024-09-03,05:00:00
2024-09-03 06:00:00,Los Troncos Las Misiones - 115,6.076,10.223,18:45,2024-09-03,06:00:00
2024-09-03 07:00:00,Los Troncos Las Misiones - 115,5.787,10.223,18:45,2024-09-03,07:00:00
2024-09-03 08:00:00,Los Troncos Las Misiones - 115,6.198,10.223,18:45,2024-09-03,08:00:00
